Sate name,Sku name,Uom1,Uom2,Weightage coversion 1,Weightage coversion 2
West Bengal,TAO DISH WASH 150 GM (80X1),pc,case,0.150,9.00
Bihar,TAO DISH WASH 150 GM (80X1),pc,case,0.15,9
Jharkhand,TAO DISH WASH 150 GM (80X1),pc,case,0.15,9
West Bengal,TAO DISH WASH 700 GM (12X1),pc,case,0.700,8.40
Bihar,TAO DISH WASH 700 GM (12X1),pc,case,0.7,8.4
Jharkhand,TAO DISH WASH 700 GM (12X1),pc,case,0.7,8.4
West Bengal,TAO DISH WASH 90 GM (144X1),pc,case,0.075,5.4
Bihar,TAO DISH WASH 90 GM (144X1),pc,case,0.075,5.4
Jharkhand,TAO DISH WASH 90 GM (144X1),pc,case,0.075,5.4
West Bengal,TAO DISH WASH 400 GM (400X24),pc,case,0.400,9.60
Bihar,TAO DISH WASH 400 GM (400X24),pc,case,0.4,9.6
Jharkhand,TAO DISH WASH 400 GM (400X24),pc,case,0.4,9.6
West Bengal,PANCH MUKHI SALT 1KG (25KG),pc,case,1.000,25.00
West Bengal,PANCHMUKHI SALT 1/2 KG (25 KG),pc,case,0.500,25.00
West Bengal,TAO 12 GM (900X1),pc,case,0.012,10.80
Bihar,TAO 12 GM (900X1),pc,case,0.012,10.8
Jharkhand,TAO 12 GM (900X1),pc,case,0.012,10.8
West Bengal,TAO 175 GM (61X1),pc,case,0.06,7.2
Bihar,TAO 175 GM (61X1),pc,case,0.06,7.2
Jharkhand,TAO 175 GM (61X1),pc,case,0.06,7.2
West Bengal,TAO 1KG (25X1),pc,case,1.000,25.00
Bihar,TAO 1KG (25X1),pc,case,1,25
Jharkhand,TAO 1KG (25X1),pc,case,1,25
West Bengal,TAO 500 GM (50X1),pc,case,0.500,15.00
Bihar,TAO 500 GM (50X1),pc,case,0.5,15
Jharkhand,TAO 500 GM (50X1),pc,case,0.5,15
West Bengal,TAO 75 GM (122X1),pc,case,0.060,7.20
Bihar,TAO 75 GM (122X1),pc,case,0.06,7.2
Jharkhand,TAO 75 GM (122X1),pc,case,0.06,7.2
West Bengal,TAO PLUS 400 GM (30X1),pc,case,0.400,12.00
Bihar,TAO PLUS 400 GM (30X1),pc,case,0.4,12
Jharkhand,TAO PLUS 400 GM (30X1),pc,case,0.4,12
West Bengal,TAO PLUS 800 GM (24X1),pc,case,0.800,19.20
Bihar,TAO PLUS 800 GM (24X1),pc,case,0.8,19.2
Jharkhand,TAO PLUS 800 GM (24X1),pc,case,0.8,19.2
West Bengal,TAO SCRUBER RS 10/-,pc,case,0.009,4.00
Bihar,TAO SCRUBER RS 10/-,pc,case,0.009,4
Jharkhand,TAO SCRUBER RS 10/-,pc,case,0.009,4
West Bengal,TAO SCRUBER RS 15/-,pc,case,0.028,4.00
Bihar,TAO SCRUBER RS 15/-,pc,case,0.028,4
Jharkhand,TAO SCRUBER RS 15/-,pc,case,0.028,4
West Bengal,TAO SCRUBER RS 5/-,pc,case,0.010,4.00
Bihar,TAO SCRUBER RS 5/-,pc,case,0.01,4
Jharkhand,TAO SCRUBER RS 5/-,pc,case,0.01,4
West Bengal,TAO STEEL WOOL RS 15/-,pc,case,0.028,4.00
Bihar,TAO STEEL WOOL RS 15/-,pc,case,0.028,4
Jharkhand,TAO STEEL WOOL RS 15/-,pc,case,0.028,4
West Bengal,Soda 1kg,pc,case,1.000,25.00
West Bengal,Soda 500g,pc,case,0.500,15.00
West Bengal,Soda 200g,pc,case,0.170,8.50
West Bengal,TAO DISH WASH 200 GM (200X48),pc,case,0.200,9.60
Bihar,TAO DISH WASH 200 GM (200X48),pc,case,0.2,9.6
Jharkhand,TAO DISH WASH 200 GM (200X48),pc,case,0.2,9.6
West Bengal,TAO 1KG (12X1),pc,case,1.000,12.00
Bihar,TAO 1KG (12X1),pc,case,1,12
Jharkhand,TAO 1KG (12X1),pc,case,1,12
West Bengal,TAO 1KG CP(25X1),pc,case,1.000,25.00
Bihar,TAO 1KG CP(25X1),pc,case,1,25
Jharkhand,TAO 1KG CP(25X1),pc,case,1,25
West Bengal,TAO 500 GM CP(50X1),pc,case,0.500,15.00
Bihar,TAO 500 GM CP(50X1),pc,case,0.5,15
Jharkhand,TAO 500 GM CP(50X1),pc,case,0.5,15
West Bengal,TAO PLUS 2.5KG (10X1),pc,case,2.500,25.00
Bihar,TAO PLUS 2.5KG (10X1),pc,case,2.5,25
Jharkhand,TAO PLUS 2.5KG (10X1),pc,case,2.5,25
West Bengal,TAO PLUS 1.5KG (16X1),pc,case,1.500,24.00
Bihar,TAO PLUS 1.5KG (16X1),pc,case,1.5,24
Jharkhand,TAO PLUS 1.5KG (16X1),pc,case,1.5,24
