Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename
,15SK76701412,,0,25,,0,0,Y,0,0,0,0,
,210B0B500360,,0,101,,0,0,Y,0,0,0,0,
,1T1HLMX06948,,0,79,,0,0,Y,0,0,0,0,
,N1E002003560,,0,61,,0,0,Y,0,0,0,0,
,N1E002000460,,0,61,,0,0,Y,0,0,0,0,
,N1E002000560,,0,61,,0,0,Y,0,0,0,0,
,N1E002004560,,0,61,,0,0,Y,0,0,0,0,
,N1E003000160,,0,50,,0,0,Y,0,0,0,0,
,N1E003001060,,0,50,,0,0,Y,0,0,0,0,
,N1E003001160,,0,50,,0,0,Y,0,0,0,0,
,N1E003001260,,0,50,,0,0,Y,0,0,0,0,
,N1EJ2801N160,,0,50,,0,0,Y,0,0,0,0,
,N1E003001360,,0,50,,0,0,Y,0,0,0,0,
,1T2HLMX06948,,0,79,,0,0,Y,0,0,0,0,
,N1E003000960,,0,50,,0,0,Y,0,0,0,0,
,N1E003009160,,0,50,,0,0,Y,0,0,0,0,
,NLFIT0061048,,0,73,,0,0,Y,0,0,0,0,
,NLFIT0001048,,0,73,,0,0,Y,0,0,0,0,
,J2NV21000648,,0,74,,0,0,Y,0,0,0,0,
,NAJVEN205760,,0,64,,0,0,Y,0,0,0,0,
,N2JVEN305760,,0,64,,0,0,Y,0,0,0,0,
,NAJVEN405760,,0,64,,0,0,Y,0,0,0,0,
,NAJVEN305760,,0,64,,0,0,Y,0,0,0,0,
,N20004003660,,0,80,,0,0,Y,0,0,0,0,
,ISYORB006960,,0,106,,0,0,Y,0,0,0,0,
,N20004004760,,0,80,,0,0,Y,0,0,0,0,
,N20005002760,,0,80,,0,0,Y,0,0,0,0,
,N20005003660,,0,80,,0,0,Y,0,0,0,0,
,N20005004760,,0,80,,0,0,Y,0,0,0,0,
,N20006002760,,0,80,,0,0,Y,0,0,0,0,
,N20006003660,,0,80,,0,0,Y,0,0,0,0,
,N20006004760,,0,80,,0,0,Y,0,0,0,0,
,N20007002760,,0,80,,0,0,Y,0,0,0,0,
,N20007003660,,0,80,,0,0,Y,0,0,0,0,
,N20007004760,,0,80,,0,0,Y,0,0,0,0,
,1AJ290012160,,0,59,,0,0,Y,0,0,0,0,
,N20083003660,,0,80,,0,0,Y,0,0,0,0,
,N20084003660,,0,80,,0,0,Y,0,0,0,0,
,N20084003760,,0,80,,0,0,Y,0,0,0,0,
,N20084005760,,0,80,,0,0,Y,0,0,0,0,
,N20085003660,,0,80,,0,0,Y,0,0,0,0,
,N20085004760,,0,80,,0,0,Y,0,0,0,0,
,N20086003660,,0,80,,0,0,Y,0,0,0,0,
,N20086004760,,0,80,,0,0,Y,0,0,0,0,
,N20086005760,,0,80,,0,0,Y,0,0,0,0,
,N20087003660,,0,80,,0,0,Y,0,0,0,0,
,1T1HLBK06948,,0,79,,0,0,Y,0,0,0,0,
,N20087004760,,0,80,,0,0,Y,0,0,0,0,
,N20087005760,,0,80,,0,0,Y,0,0,0,0,
,N20088003660,,0,80,,0,0,Y,0,0,0,0,
,N20088003760,,0,80,,0,0,Y,0,0,0,0,
,N20088004760,,0,80,,0,0,Y,0,0,0,0,
,N20088005760,,0,80,,0,0,Y,0,0,0,0,
,N20322003760,,0,80,,0,0,Y,0,0,0,0,
,N20322003660,,0,80,,0,0,Y,0,0,0,0,
,N20322004760,,0,80,,0,0,Y,0,0,0,0,
,N20322005760,,0,80,,0,0,Y,0,0,0,0,
,1T1HLBK06960,,0,79,,0,0,Y,0,0,0,0,
,N20322000360,,0,80,,0,0,Y,0,0,0,0,
,N20322000460,,0,80,,0,0,Y,0,0,0,0,
,N20322000560,,0,80,,0,0,Y,0,0,0,0,
,N20322000660,,0,80,,0,0,Y,0,0,0,0,
,N20322000760,,0,80,,0,0,Y,0,0,0,0,
,N20323003760,,0,80,,0,0,Y,0,0,0,0,
,N20323003660,,0,80,,0,0,Y,0,0,0,0,
,N20323004760,,0,80,,0,0,Y,0,0,0,0,
,N20323005760,,0,80,,0,0,Y,0,0,0,0,
,N20323000360,,0,80,,0,0,Y,0,0,0,0,
,1T1HLBLU0648,,0,79,,0,0,Y,0,0,0,0,
,N20323000460,,0,80,,0,0,Y,0,0,0,0,
,N20323000560,,0,80,,0,0,Y,0,0,0,0,
,N20323000660,,0,80,,0,0,Y,0,0,0,0,
,N20323000760,,0,80,,0,0,Y,0,0,0,0,
,N2BOBY104760,,0,80,,0,0,Y,0,0,0,0,
,N2BOBY105760,,0,80,,0,0,Y,0,0,0,0,
,N2BOBY103760,,0,80,,0,0,Y,0,0,0,0,
,N20B0B103760,,0,80,,0,0,Y,0,0,0,0,
,N20B0B203760,,0,80,,0,0,Y,0,0,0,0,
,N20B0B803760,,0,80,,0,0,Y,0,0,0,0,
,1T1HLBLU6748,,0,79,,0,0,Y,0,0,0,0,
,N20B0B500360,,0,80,,0,0,Y,0,0,0,0,
,N20B0B500560,,0,80,,0,0,Y,0,0,0,0,
,N2BOBY904760,,0,80,,0,0,Y,0,0,0,0,
,N2BOBGTR0360,,0,80,,0,0,Y,0,0,0,0,
,N2BOBGTR3660,,0,80,,0,0,Y,0,0,0,0,
,N2BOBGTR3760,,0,80,,0,0,Y,0,0,0,0,
,N2BOBGTR0460,,0,80,,0,0,Y,0,0,0,0,
,N2BOBGTR4660,,0,80,,0,0,Y,0,0,0,0,
,N2BOBGTR4760,,0,80,,0,0,Y,0,0,0,0,
,N2BOBGTR0560,,0,80,,0,0,Y,0,0,0,0,
,1T1HLBLU6848,,0,79,,0,0,Y,0,0,0,0,
,N2BOBGTR5760,,0,80,,0,0,Y,0,0,0,0,
,N2BOBGTR0660,,0,80,,0,0,Y,0,0,0,0,
,N2BOBGTR0760,,0,80,,0,0,Y,0,0,0,0,
,N2BOBPNK0360,,0,80,,0,0,Y,0,0,0,0,
,N2BOBPNK3660,,0,80,,0,0,Y,0,0,0,0,
,N2BOBPNK3760,,0,80,,0,0,Y,0,0,0,0,
,N2BOBPNK0460,,0,80,,0,0,Y,0,0,0,0,
,N2BOBPNK4660,,0,80,,0,0,Y,0,0,0,0,
,N2BOBPNK4760,,0,80,,0,0,Y,0,0,0,0,
,N2BOBPNK0560,,0,80,,0,0,Y,0,0,0,0,
,1T1HLBLU0748,,0,79,,0,0,Y,0,0,0,0,
,N2BOBPNK5760,,0,80,,0,0,Y,0,0,0,0,
,N2BOBPNK0660,,0,80,,0,0,Y,0,0,0,0,
,N2BOBPNK0760,,0,80,,0,0,Y,0,0,0,0,
,N2BOBMSC0360,,0,80,,0,0,Y,0,0,0,0,
,N2BOBMSC3660,,0,80,,0,0,Y,0,0,0,0,
