Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit,Prod size,Lead time,Buffer level,Max level marketing,UOM4,UOM5,Gross weight,FG_RM,Oil category,Alias
,15SK76701412,SK 767 BLUE,HAWAI,FW ACCESSORIES,,0,Y,N,,PR,CARTON,12,,,,0,,,,2X4,,,,,,,,,
,15SK76801412,SK 768 BLUE,HAWAI,FW ACCESSORIES,,0,Y,N,,PR,CARTON,12,,,,0,,,,5X6,,,,,,,,,
,21BOBY104760,BOBBY 10,HAWAI,EVA-HAWAI PRINT,,0,Y,N,,PR,CARTON,60,,,,0,,,,4X7,,,,,,,,,
,21BOBY105760,BOBBY 10,HAWAI,EVA-HAWAI PRINT,,0,Y,N,,PR,CARTON,60,,,,0,,,,5X7,,,,,,,,,
,21BOBY103760,BOBBY 10,HAWAI,EVA-HAWAI PRINT,,0,Y,N,,PR,CARTON,60,,,,0,,,,3X7,,,,,,,,,
,210B0B103760,BOBBY 1,HAWAI,EVA-HAWAI PRINT,,0,Y,N,,PR,CARTON,60,,,,0,,,,3X7,,,,,,,,,
,210B0B203760,BOBBY 2,HAWAI,EVA-HAWAI PRINT,,0,Y,N,,PR,CARTON,60,,,,0,,,,3X7,,,,,,,,,
,210B0B803760,BOBBY 8,HAWAI,EVA-HAWAI PRINT,,0,Y,N,,PR,CARTON,60,,,,0,,,,3X7,,,,,,,,,
,210B0B500360,BOBBY 5,HAWAI,EVA-HAWAI PRINT,,0,Y,N,,PR,CARTON,60,,,,0,,,,3,,,,,,,,,
,210B0B500560,BOBBY 5,HAWAI,EVA-HAWAI PRINT,,0,Y,N,,PR,CARTON,60,,,,0,,,,5,,,,,,,,,
,21BOBY904760,BOBBY 9,HAWAI,EVA-HAWAI PRINT,,0,Y,N,,PR,CARTON,60,,,,0,,,,4X7,,,,,,,,,
,11GNMX000260,GENERAL (MULTI),HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,2,,,,,,,,,
,11GNMX000360,GENERAL (MULTI),HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,3,,,,,,,,,
,11GNMX000460,GENERAL (MULTI),HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,4,,,,,,,,,
,11GNMX000560,GENERAL (MULTI),HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,5,,,,,,,,,
,11GNMX003560,GENERAL (MULTI),HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,3X5,,,,,,,,,
,10GOLD000260,GOLD (SKY BLUE),HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,2,,,,,,,,,
,10GOLD000560,GOLD (SKY BLUE),HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,5,,,,,,,,,
,1T1HLR002560,TOPAZ-R 101 (HLTH) RED,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,2X5,,,,,,,,,
,1T1HLR004560,TOPAZ-R 101 (HLTH) RED,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,4X5,,,,,,,,,
,1T1HLB004560,TOPAZ-R 101 (HLTH) BLUE,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,4X5,,,,,,,,,
,1T1HLRB02560,TOPAZ-R 101(HLTH)RED+BLUE,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,2X5,,,,,,,,,
,1T1HLRB04560,TOPAZ-R 101(HLTH)RED+BLUE,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,4X5,,,,,,,,,
,1T1HLBR02560,TOPAZ-R 101(HLTH)BLUE+RED,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,2X5,,,,,,,,,
,1T1HLBR04560,TOPAZ-R 101(HLTH)BLUE+RED,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,4X5,,,,,,,,,
,1T2GB0002560,TOPAZ-R 102 GREEN+BLACK,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,2X5,,,,,,,,,
,1T2GB0004560,TOPAZ-R 102 GREEN+BLACK,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,4X5,,,,,,,,,
,1T2GB0006960,TOPAZ-R 102 GREEN+BLACK,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,6X9,,,,,,,,,
,1T2RB0002560,TOPAZ-R 102 RED+BLACK,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,2X5,,,,,,,,,
,1T2RB0004560,TOPAZ-R 102 RED+BLACK,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,4X5,,,,,,,,,
,1T2RB0006960,TOPAZ-R 102 RED+BLACK,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,6X9,,,,,,,,,
,1T1HLBK02560,TOPAZ-R 101 (HLTH) BLACK,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,2X5,,,,,,,,,
,1T1HLBK04560,TOPAZ-R 101 (HLTH) BLACK,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,4X5,,,,,,,,,
,1T2GB0006948,TOPAZ-R 102 GREEN+BLACK,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,48,,,,0,,,,6X9,,,,,,,,,
,1T2RB0006948,TOPAZ-R 102 RED+BLACK,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,48,,,,0,,,,6X9,,,,,,,,,
,1T2HLMX06848,TOPAZ-R 102 MIX,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,48,,,,0,,,,6X8,,,,,,,,,
,1T2GB0000660,TOPAZ-R 102 GREEN+BLACK,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,6,,,,,,,,,
,1T2RB0000660,TOPAZ-R 102 RED+BLACK,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,6,,,,,,,,,
,1T2HLMX00260,TOPAZ-R 102 MIX,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,2,,,,,,,,,
,1T2HLMX02360,TOPAZ-R 102 MIX,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,2X3,,,,,,,,,
,1T2HLMX00360,TOPAZ-R 102 MIX,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,3,,,,,,,,,
,1T2HLMX03560,TOPAZ-R 102 MIX,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,3X5,,,,,,,,,
,1T2HLMX00460,TOPAZ-R 102 MIX,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,4,,,,,,,,,
,1T2HLMX00560,TOPAZ-R 102 MIX,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,5,,,,,,,,,
,1T2HLMX00648,TOPAZ-R 102 MIX,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,48,,,,0,,,,6,,,,,,,,,
,1T2HLMX06748,TOPAZ-R 102 MIX,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,48,,,,0,,,,6X7,,,,,,,,,
,1T2HLMX00748,TOPAZ-R 102 MIX,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,48,,,,0,,,,7,,,,,,,,,
,1T2HLMX00848,TOPAZ-R 102 MIX,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,48,,,,0,,,,8,,,,,,,,,
,1T2HLMX08948,TOPAZ-R 102 MIX,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,48,,,,0,,,,8X9,,,,,,,,,
,1T2HLMX00948,TOPAZ-R 102 MIX,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,48,,,,0,,,,9,,,,,,,,,
,1T1HLB000560,TOPAZ-R 101 (HLTH) BLUE,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,5,,,,,,,,,
,1T1HLR000260,TOPAZ-R 101 (HLTH) RED,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,2,,,,,,,,,
,1T1HLR000360,TOPAZ-R 101 (HLTH) RED,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,3,,,,,,,,,
,1T1HLR000460,TOPAZ-R 101 (HLTH) RED,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,4,,,,,,,,,
,1T1HLR000560,TOPAZ-R 101 (HLTH) RED,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,5,,,,,,,,,
,1T1HLR003560,TOPAZ-R 101 (HLTH) RED,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,3X5,,,,,,,,,
,1T1HLB000260,TOPAZ-R 101 (HLTH) BLUE,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,2,,,,,,,,,
,1T1HLB000360,TOPAZ-R 101 (HLTH) BLUE,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,3,,,,,,,,,
,1T1HLB000460,TOPAZ-R 101 (HLTH) BLUE,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,4,,,,,,,,,
,1T1HLB003560,TOPAZ-R 101 (HLTH) BLUE,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,3X5,,,,,,,,,
,1T1HLRB00260,TOPAZ-R 101(HLTH)RED+BLUE,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,2,,,,,,,,,
,1T1HLRB00360,TOPAZ-R 101(HLTH)RED+BLUE,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,3,,,,,,,,,
,1T1HLRB00460,TOPAZ-R 101(HLTH)RED+BLUE,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,4,,,,,,,,,
,1T1HLRB00560,TOPAZ-R 101(HLTH)RED+BLUE,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,5,,,,,,,,,
,1T1HLRB03560,TOPAZ-R 101(HLTH)RED+BLUE,HAWAI,RUBBER-HAWAI,,0,Y,N,,PR,CARTON,60,,,,0,,,,3X5,,,,,,,,,
