Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename
,A0006,,0,62,AG,0,0,Y,0,1655.54,0,0,UP
,A0006,,0,62,AG,0,0,Y,0,1655.54,0,0,UP
,A0006,,0,162,AG,0,0,Y,0,1655.54,0,0,UP
,A0006,,0,66,AG,0,0,N,0,1850,0,0,BH
,A0006,,0,66,AG,0,0,Y,0,1850,0,0,WB
,A0006,,0,66,AG,0,0,N,0,0,1713,0,BR
,A0045,,0,100,AG,0,0,Y,0,1068.09,0,0,UP
,A0045,,0,100,AG,0,0,N,0,1111,1029,0,BH
,A0045,,0,96,AG,0,0,Y,0,1015.87,940.62,0,WB
,A0045,,0,96,AG,0,0,Y,0,1015.87,940.62,0,BR
,A0046,,0,100,AG,0,0,N,0,1111,1029,0,BH
,A0046,,0,100,AG,0,0,Y,0,1068.09,0,0,UP
,A0046,,0,96,AG,0,0,Y,0,1015.87,940.62,0,WB
,A0046,,0,96,AG,0,0,Y,0,1015.87,940.62,0,BR
,A0048,,0,100,AG,0,0,Y,0,1121,1038,0,DL
,A0048,,0,100,AG,0,0,N,0,1121,0,0,BH
,A0048,,0,82,AG,0,0,Y,0,875.83,0,0,UP
,A0048,,0,85,AG,0,0,Y,0,899.47,832.84,0,WB
,A0048,,0,85,AG,0,0,Y,0,899.47,832.84,0,BR
,A0392,,0,40,AG,0,0,N,0,1111,1029,0,BH
,A0392,,0,40,AG,0,0,Y,0,1058.2,979.82,0,WB
,A0392,,0,40,AG,0,0,Y,0,1068.09,0,0,UP
,A0392,,0,40,AG,0,0,Y,0,1058.2,979.82,0,BR
,A0477,,0,59.5,AG,0,0,N,0,2000,1852,0,BH
,A0477,,0,59,AG,0,0,Y,0,1873.02,1734.27,0,WB
,A0477,,0,59,AG,0,0,Y,0,1890.52,0,0,UP
,A0477,,0,59,AG,0,0,Y,0,1873.02,1734.27,0,BR
,A0477,,0,56,AG,0,0,Y,0,1884,1745,0,DL
,A0513,,0,98,AG,0,0,N,0,916,0,0,BH
,A0513,,0,98,AG,0,0,Y,0,916,0,0,WB
,A0513,,0,98,AG,0,0,Y,0,872.27,0,0,UP
,A0513,,0,98,AG,0,0,N,0,0,848,0,BR
,A0517,,0,98,AG,0,0,N,0,550,0,0,BH
,A0517,,0,98,AG,0,0,N,0,518.52,480.11,0,WB
,A0517,,0,98,AG,0,0,N,0,518.52,480.11,0,BR
,A0517,,0,98,AG,0,0,Y,0,523.36,0,0,UP
,A0577,,0,100,AG,0,0,N,0,2242,0,0,BH
,A0577,,0,100,AG,0,0,Y,0,2242,0,0,WB
,A0577,,0,100,AG,0,0,N,0,0,2076,0,BR
,A0577,,0,92,AG,0,0,Y,0,2064,1911,0,DL
,A0577,,0,100,AG,0,0,Y,0,2136.18,0,0,UP
,A0579,,0,100,AG,0,0,Y,0,2136.18,0,0,UP
,A0579,,0,100,AG,0,0,N,0,2242,0,0,BH
,A0579,,0,100,AG,0,0,Y,0,2242,0,0,WB
,A0579,,0,100,AG,0,0,N,0,0,2076,0,BR
,A0674,,0,192,AG,0,0,Y,0,1708.95,0,0,UP
,A0674,,0,192,AG,0,0,N,0,1794,0,0,BH
,A0674,,0,192,AG,0,0,Y,0,1693.12,1567.71,0,WB
,A0674,,0,192,AG,0,0,Y,0,1693.12,1567.71,0,BR
,A0799,,0,90,AG,0,0,Y,0,1602.14,0,0,UP
,A0799,,0,89,AG,0,0,N,0,1667,1543,0,BH
,A0799,,0,90,AG,0,0,Y,0,1587.3,1469.72,0,WB
,A0799,,0,90,AG,0,0,Y,0,1587.3,1469.72,0,BR
,A0940,,0,240,AG,0,0,Y,0,2136.18,0,0,UP
,A0940,,0,240,AG,0,0,N,0,2243,0,0,BH
,A0940,,0,240,AG,0,0,Y,0,2116.4,1959.63,0,WB
,A0940,,0,240,AG,0,0,Y,0,2116.4,1959.63,0,BR
,A0948,,0,46,AG,0,0,Y,0,1637.74,0,0,UP
,A0948,,0,46,AG,0,0,N,0,1704,1578,0,BH
