Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit,Prod size,Lead time,Buffer level,Max level marketing,UOM4,UOM5,Gross weight,FG_RM,Oil category,Alias,HSN/SAC,Packing Realization,Statename
,A0006,Guldasta Small (30Dz)-14 sticks,Other,,,0,Y,N,AG,Dozen,PCS,,,Carton,30,0,,,,,,,,,,,,,,,0,
,A0045,Chandan Rooh (12Dz)-12 stick,Regular,,,0,Y,N,AG,Dozen,PCS,,,Carton,12,0,,,,,,,,,,,,,,,0,
,A0046,Gulab Rooh (12Dz)-12 stick,Regular,,,0,Y,N,AG,Dozen,PCS,,,Carton,12,0,,,,,,,,,,,,,,,0,
,A0048,Flora (12 Dz)-9 stick,Regular,,,0,Y,N,AG,Dozen,PCS,,,Carton,12,0,,,,,,,,,,,,,,,0,
,A0392,Arpan Sandal(30 Dz)-10 sticks,Regular,,,0,Y,N,AG,Dozen,PCS,,,Carton,30,0,,,,,,,,,,,,,,,0,
,A0477,Guldasta Medium (36 Dz)-10 stick,Regular,,,0,Y,N,AG,Dozen,PCS,,,Carton,36,0,,,,,,,,,,,,,,,0,
,A0513,Guldasta Big (10DZ),Regular,,,0,Y,N,AG,Dozen,PCS,,,Carton,10,0,,,,,,,,,,,,,,,0,
,A0517,Guldasta Big (6 DZ),Regular,,,0,Y,N,AG,Dozen,PCS,,,Carton,6,0,,,,,,,,,,,,,,,0,
,A0577,Gulabrooh (24 Dz)-12 sticks,Regular,,,0,Y,N,AG,Dozen,PCS,,,Carton,24,0,,,,,,,,,,,,,,,0,
,A0579,Chandanrooh (24 Dz)-12 sticks,Regular,,,0,Y,N,AG,Dozen,PCS,,,Carton,24,0,,,,,,,,,,,,,,,0,
,A0674,Guldasta Pouch-25/-,Pouch,,,0,Y,N,AG,Dozen,PCS,,,Carton,10,0,,,,,,,,,,,,,,,0,
,A0799,Aachman Pouch 10/-,Pouch,,,0,Y,N,AG,Dozen,PCS,,,Carton,20,0,,,,,,,,,,,,,,,0,
,A0940,Achman Pouch 35/-,Pouch,,,0,Y,N,AG,Dozen,PCS,,,Carton,10,0,,,,,,,,,,,,,,,0,
,A0948,Aachman Pouch 5/-,Pouch,,,0,Y,N,AG,Dozen,PCS,,,Carton,40,0,,,,,,,,,,,,,,,0,
,A0951,Guldasta Pouch 5/-,Pouch,,,0,Y,N,AG,Dozen,PCS,,,Carton,40,0,,,,,,,,,,,,,,,0,
,A1010,Kewda Agarbatti MRP 25/-,Regular,,,0,Y,N,AG,Dozen,PCS,,,Carton,12,0,,,,,,,,,,,,,,,0,
,A1017,Mogra 10/- (12Dz)-24 stick,Regular,,,0,Y,N,AG,Dozen,PCS,,,Carton,12,0,,,,,,,,,,,,,,,0,
,A1025,Gulab 10/- (12 DZ)-24 stick,Regular,,,0,Y,N,AG,Dozen,PCS,,,Carton,12,0,,,,,,,,,,,,,,,0,
,A1035,Gulab Pooja batti 65 Gm (25/-),Regular,,,0,Y,N,AG,Dozen,PCS,,,Carton,12,0,,,,,,,,,,,,,,,0,
,A0504,Arpan Tulsi 2/-,Other,,,0,Y,N,AG,Dozen,PCS,,,Carton,60,0,,,,,,,,,,,,,,,0,
