Prod code,Mapped prod code,Is Flash,Flash name,Add subtract val
DRCSO15KGT01,DRCSO15KGT01,Y,DHRUV REFIND COTTON SEED OIL 15 KG TIN,0
DSR15KT00102,DSR15KT00102,Y,Dhruv SOYA 15 Kg Tin,0
AV15KT000034,AV15KT000034,Y,Anchal VP 15 Kg Tin,0
PRPON15K0069,PRPON15K0069,Y,Parv RPO normal 15KG TIN,0
PV6C15KT0150,NV15KT000081,Y,Premium VP 6C 15KG Tin,-15
PV15KT000078,PV15KT000078,Y,Parv Eco VP 15 Kg Tin,0
NV15KT000081,NV15KT000081,Y,Nutri VP 4C 15 Kg Tin,0
DV15KTG00077,DV15KTG00077,Y,Dhruv GOLD Premium VP 15 Kg Tin,0
DV15KT000093,DV15KT000093,Y,Dhruv VP 15 KG Tin,0
AV15KT000035,AV15KT000035,Y,ASL Gen VP 15 Kg Tin,0
ASLVP15LT036,AV15KT000035,Y,ASL Gen VP 15 Ltr Tin,-95
ASOVP15K0076,ASOVP15K0076,Y,Special Olien VP,0
APV15KT00037,APV15KT00037,Y,ASL Premium VP 15 Kg Tin,0
N1RSO15KT098,N1RSO15KT098,Y,NUTRI REF SOYA 15 Kg Tin,0
ARSO15KT0040,ARSO15KT0040,Y,ASL SOYA 15 Kg Tin,0
N1ROP15KT075,N1ROP15KT075,Y,Nutri Palmolien 15 Kg Tin,0
ARPO15KT0038,ARPO15KT0038,Y,ASL Palmolien 15 Kg Tin,0
DRPO15KT0071,DRPO15KT0071,Y,Dhruv Palmolien 15 Kg Tin,0
ARPO15LT0039,ARPO15KT0038,Y,ASL Palmolien 15 Ltr Tin,-155
DV15KB000009,DV15KB000009,Y,Dhruv BLUE BISCUIT 15 K Box,0
AMO15KT00109,AMO15KT00109,Y,Anchal KGMO 15 Kg Tin,0
MCRSBO12X1L007,MCRSBO12X1L007,Y,Mothers choice 1 ltr soya,0
MCSFO12X1001,MCSFO12X1001,Y,FIRST CROP SUNFLOWER OIL 1X12LTR,0
TESTING00001,TESTING00001,N,TESTING,0
