Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit,Prod size,Lead time,Buffer level,Max level marketing,UOM4,UOM5,Gross weight,FG_RM,Oil category,Alias,HSN/SAC,Packing Realization,Statename
,1,DUROPLY,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,2,DURO PUMAPLY,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,3,DUROCON,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,4,DUROMARINE,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,5,DUROCOAT,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,6,DUROMAC,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,7,DUROPLATE,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,8,DUROMAT,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,9,DURODEN,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,10,DUROBURL,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,11,DUROPLUS,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,12,DUROPEARL,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,13,DUROFINE,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,14,DUROLUMBER,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,15,DURODERBY,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,16,DUROTILE,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,17,DUROFLEX,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,18,DUROMICA,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,19,DURO FIRESHIELD,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,20,DUROBORD,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,21,DUROMACBORD,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,22,DUROTEAK,TEAK,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,23,DUROTEAKBORD,TEAK,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,24,DURODOOR,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,25,DURODOOR LITES,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,26,DUROFILM,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,27,DURO PLATINIUM,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,52,PUMAPLUS,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,53,PUMADEN,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,54,PUMAFILM,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,55,PUMALAM,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,56,PUMAMAT,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,57,PUMATILE,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,58,PUMATEAK,TEAK,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,59,PUMACON,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,60,PUMABORD,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,61,PUMATEAKBORD,TEAK,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,71,BONDPLY,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,72,DURO MASTERPIECE,VENEER,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,73,DURO FANTASTEAK,TEAK,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,74,DURO NATURE'S SIGNATURE,VENEER,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,75,DURO TITANIUM,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,76,DURO FABPLY,VENEER,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,77,TOWER SOLITAIRE,TOWER,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,78,TOWER,TOWER,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,82,PROMA DOOR,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
