Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit,Prod size,Lead time,Buffer level,Max level marketing,UOM4,UOM5,Gross weight,FG_RM,Oil category,Alias
,,200 ML BOTTLE,KMP FAMILY,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,500 ML BOTTLE,KMP FAMILY,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,1000 ML BOTTLE,KMP FAMILY,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,500 ML POUCH,KMP FAMILY,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,1000 ML POUCH,KMP FAMILY,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,2000 ML JAR,KMP FAMILY,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,5000 ML JAR,KMP FAMILY,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,15 KG JAR,KMP FAMILY,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,15 KG TIN,KMP FAMILY,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,200 ML BOTTLE,KMP ORYZANOL,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,500 ML BOTTLE,KMP ORYZANOL,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,1000 ML BOTTLE,KMP ORYZANOL,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,500 ML POUCH,KMP ORYZANOL,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,1000 ML POUCH,KMP ORYZANOL,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,15 KG TIN,KMP ORYZANOL,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,15 KG JAR,KMP ORYZANOL,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,1000 ML POUCH,KMP DILSUTRA,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,15 KG TIN,KMP DILSUTRA,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,15 KG JAR,KMP DILSUTRA,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,200 ML BOTTLE,KMP LOVLEE,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,500 ML BOTTLE,KMP LOVLEE,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,1000 ML BOTTLE,KMP LOVLEE,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,500 ML POUCH,KMP LOVLEE,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,1000 ML POUCH,KMP LOVLEE,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,2000 ML JAR,KMP LOVLEE,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,5000 ML JAR,KMP LOVLEE,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,15 KG TIN,KMP LOVLEE,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,15 KG JAR,KMP LOVLEE,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,200 ML BOTTLE,KMP KGMO,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,500 ML BOTTLE,KMP KGMO,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,1000 ML BOTTLE,KMP KGMO,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,500 ML POUCH,KMP KGMO,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,1000 ML POUCH,KMP KGMO,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,2000 ML JAR,KMP KGMO,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,5000 ML JAR,KMP KGMO,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,15 KG TIN,KMP KGMO,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,15 KG JAR,KMP KGMO,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,1000 ML POUCH,KMP RICE,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,200 ML BOTTLE,DC KGMO,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,500 ML BOTTLE,DC KGMO,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,1000 ML BOTTLE,DC KGMO,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,1000 ML POUCH,DC KGMO,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,15 LIT JAR,DC KGMO,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,15 LIT TIN,DC KGMO,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,15 KG TIN,DC KGMO,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,15 KG JAR,DC KGMO,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,200 ML BOTTLE,KMP SOYA,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,500 ML BOTTLE,KMP SOYA,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,1000 ML BOTTLE,KMP SOYA,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,500 ML POUCH,KMP SOYA,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,1000 ML POUCH,KMP SOYA,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,2000 ML JAR,KMP SOYA,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,5000 ML JAR,KMP SOYA,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,15 KG TIN,KMP SOYA,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,1000 ML BOTTLE,KMP SESAME,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,1000 ML BOTTLE,KMP  REFINED SESAME,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
,,100 GM POUCH,SHIVA VANASPATI,,,0,Y,N,EDIBLE OIL,UNIT,,,,,,0,,,,,,,,,,,,,
