Depot code,Route,Freight,acedns,date,Transport mode,Capacity,State code
4000D,"Kattedan",23501,Y,01/08/2019,Truck,16,TG
4000D,"Tadipatri",14500,Y,26/07/2019,Truck,10,AP
9110KP,"KHARDAHA",2800,Y,12/07/2019,Truck,3,WB
4000D,"Indore",54320,Y,02/07/2019,Truck,21,MP
4000D,"Guntakal",18000,Y,28/06/2019,Truck,10,AP
4000D,"Haridwar",97240,Y,24/06/2019,Truck,21,UK
4000D,"Proddatur",10120,Y,19/06/2019,Truck,10,AP
4000D,"Jorhat",162000,Y,17/06/2019,Truck,21,AS
4000D,"Tondierpet",22250,Y,07/06/2019,Truck,16,TN
4000D,"Ulberia",79800,Y,25/05/2019,Truck,21,WB
4000D,"Raiganj",130000,Y,15/05/2019,Truck,21,WB
4000D,"Adoni",19501,Y,14/05/2019,Truck,16,AP
4000D,"CHERALAPALLY",16480,Y,11/05/2019,Truck,10,TG
4000D,"Kothur",57500,Y,23/04/2019,Truck,23,TG
4000D,"Kattedan",57500,Y,20/04/2019,Truck,23,TG
4000D,"SHAMSHEERGUNJ,",24500,Y,18/04/2019,Truck,16,TG
9110KP,"Belgharia",2900,Y,16/04/2019,Truck,3,WB
9110KP,"Howrah",2000,Y,10/04/2019,Truck,3,WB
4000D,"Trichy",26960,Y,10/04/2019,Truck,16,TN
4000D,"Secunderabad",17000,Y,10/04/2019,Truck,10,TG
4000D,"Yellandu",17900,Y,10/04/2019,Truck,10,TG
4000D,"Rudrapur",189000,Y,10/04/2019,Truck,30,UK
9110KP,"Durgapur",3303,Y,10/04/2019,Truck,3,WB
9110KP,"Kolkata",2260,Y,10/04/2019,Truck,3,WB
4000D,"Ranibennur",34701,Y,10/04/2019,Truck,16,KA
9110KP,"Dankuni",2260,Y,10/04/2019,Truck,3,WB
4000D,"Coimbatore",32360,Y,10/04/2019,Truck,16,TN
4000D,"MEDCHAL",25500,Y,10/04/2019,Truck,16,TG
4000D,"Siliguri 2",107200,Y,10/04/2019,Truck,21,WB
4000D,"Mangalore",41900,Y,10/04/2019,Truck,16,KA
4000D,"Mettupalayam",33505,Y,10/04/2019,Truck,16,TN
4000D,"Uppal",23260,Y,10/04/2019,Truck,16,TG
4000D,"Bidar",32320,Y,10/04/2019,Truck,16,KA
4000D,"Hubli",27500,Y,10/04/2019,Truck,16,KA
9110KP,"Baidyabati",2875,Y,10/04/2019,Truck,3,WB
4000D,"Thoothukudi",17000,Y,10/04/2019,Truck,16,TN
4000D,"Kurnool",13600,Y,10/04/2019,Truck,10,AP
4000D,"Thrissur",46320,Y,10/04/2019,Truck,16,KL
4000D,"Nizamabad",25000,Y,10/04/2019,Truck,10,TG
4000D,"Bahadurpura",24009,Y,10/04/2019,Truck,16,TG
4000D,"HOSUR",23520,Y,10/04/2019,Truck,10,TN
4000D,"Nagpur",39601,Y,10/04/2019,Truck,21,MH
9110KP,"Habra",3700,Y,10/04/2019,Truck,3,WB
9110KP,"Patna",1950,Y,10/04/2019,Truck,3,BR
4000D,"Nagawara(Bangalore)",25180,Y,10/04/2019,Truck,16,KA
4000D,"ERNAKULAM(Cochin)",42840,Y,10/04/2019,Truck,16,KL
4000D,"Rajpur(Kolkata)",73800,Y,10/04/2019,Truck,16,WB
4000D,"Jagityal",28000,Y,10/04/2019,Truck,16,TG
4000D,"Hazipur",107600,Y,10/04/2019,Truck,21,BR
4000D,"Muzaffarpur",104600,Y,10/04/2019,Truck,21,BR
4000D,"Bhubaneswar",56800,Y,10/04/2019,Truck,21,OR
4000D,"Puducherry",22450,Y,10/04/2019,Truck,16,PY
4000D,"Shimoga",31700,Y,10/04/2019,Truck,16,KA
4000D,"Patna",96400,Y,10/04/2019,Truck,16,BR
4000D,"Gulbarga",25800,Y,10/04/2019,Truck,16,KA
4000D,"Guwahati",146000,Y,10/04/2019,Truck,21,AS
4000D,"RAMANATHPURAM",16700,Y,10/04/2019,Truck,10,TG
4000D,"Guntur",10620,Y,10/04/2019,Truck,10,AP
4000D,"Kurla",48220,Y,10/04/2019,Truck,16,MH
4000D,"Mysore",26001,Y,10/04/2019,Truck,16,KA
4000D,"Davanagere",31600,Y,10/04/2019,Truck,16,KA
9110KP,"Boral",2890,Y,10/04/2019,Truck,3,WB
4000D,"Mancherial",21800,Y,10/04/2019,Truck,10,TG
4000D,"Piduguralla",12800,Y,10/04/2019,Truck,10,AP
4000D,"Belgaum",33800,Y,10/04/2019,Truck,16,KA
4000D,"Goa",41440,Y,10/04/2019,Truck,16,GA
4000D,"Dhulagarh",79800,Y,10/04/2019,Truck,21,WB
4000D,"MANDAPETA",17041,Y,10/04/2019,Truck,10,AP
4000D,"Tirupati",9520,Y,10/04/2019,Truck,10,AP
4000D,"Begumbazar",23501,Y,10/04/2019,Truck,16,TG
4000D,"Goruguntapalya(Bangalore)",24920,Y,10/04/2019,Truck,16,KA
4000D,"Salem",31518,Y,10/04/2019,Truck,16,TN
4000D,"Bellary",21450,Y,10/04/2019,Truck,16,KA
4000D,"Warangal",19400,Y,10/04/2019,Truck,10,TG
4000D,"Kolkata (B.T.Road)",80400,Y,10/04/2019,Truck,21,WB
4000D,"Gadag",29400,Y,10/04/2019,Truck,16,KA
4000D,"Cuttack",57600,Y,10/04/2019,Truck,21,OR
4000D,"Vijayawada",13765,Y,10/04/2019,Truck,10,AP
4000D,"GOREGAON(Mumbai)",48360,Y,10/04/2019,Truck,16,MH
4000D,"Malakpet(Hyderabad)",23500,Y,10/04/2019,Truck,16,TG
4000D,"Erode(Perundurai Taluk)",32158,Y,10/04/2019,Truck,16,TN
4000D,"Malda",119500,Y,10/04/2019,Truck,21,WB
9110KP,"Uttarpara",2130,Y,10/04/2019,Truck,3,WB
4000D,"Anantapur",14501,Y,10/04/2019,Truck,10,AP
9110KP,"Salar",7300,Y,10/04/2019,Truck,3,WB
4000D,"Jabalpur",56200,Y,10/04/2019,Truck,21,MP
4000D,"Bijapur",28000,Y,10/04/2019,Truck,16,KA
4000D,"Madurai",32810,Y,10/04/2019,Truck,16,TN
4000D,"Aroor",46320,Y,10/04/2019,Truck,16,KL
4000D,"Raichur",22640,Y,10/04/2019,Truck,16,KA
4000D,"RajaiNagar(Bangalore)",23300,Y,10/04/2019,Truck,16,KA
4000D,"Siliguri 1",107200,Y,10/04/2019,Truck,21,WB
4000D,"Yadgir",24600,Y,10/04/2019,Truck,16,KA
4000D,"KAVALA BAIRASANDRA(Bangalore)",24501,Y,10/04/2019,Truck,16,KA
4000D,"Yeswanthpur(Bangalore)",23000,Y,10/04/2019,Truck,16,KA
4000D,"ROYAPETTAH(CHENNAI)",22080,Y,10/04/2019,Truck,16,TN
4000D,"Khurdha",57046,Y,10/04/2019,Truck,21,OR
4000D,"Karimnagar",26600,Y,10/04/2019,Truck,16,TG
4000D,"Berhampur",47560,Y,10/04/2019,Truck,21,OR
4000D,"Tiptur",23500,Y,10/04/2019,Truck,16,KA
9110KP,"Rajpur(Kolkata)",2755,Y,10/04/2019,Truck,4.5,WB
9110KP,"JOYNAGAR",2890,Y,10/04/2019,Truck,3,WB
9110KP,"Kolkata (B.T.Road)",2275,Y,10/04/2019,Truck,3,WB
9201,"HOSUR",25000,Y,11/03/2019,Truck,10,TN
4000D,"Bhubaneswar",57060,Y,11/03/2019,Truck,16,OR
4000D,"KOTTAPURAM",45500,Y,03/10/2018,Truck,16,KL
4000D,"Palakkad",38955,Y,03/10/2018,Truck,16,KL
4000D,"Pondichery",23000,Y,03/10/2018,Truck,16,PY
4000D,"Tirupati",13218,Y,03/10/2018,Truck,16,AP
4000D,"Kozhikode (Calicut)",45000,Y,03/10/2018,Truck,16,KL
