Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit
,,PILLOW COVER,,,,0,Y,N,,Pcs,B/L,500,,,,0,,,
,,DREAMLIGHT & DREAMLIGHT DLX,,,,0,Y,N,,,,,,,,0,,,
,,DREAMLIGHT GIFT PACKING (1+1),,,,0,Y,N,,Pcs,B/L,56,,,,0,,,
,,SAPPHIRE,,,,0,Y,N,,Pcs,B/L,48,,,,0,,,
,,VIOLET,,,,0,Y,N,,Pcs,B/L,80,,,,0,,,
,,ONLY BED SHEET,,,,0,Y,N,,Pcs,B/L,60,,,,0,,,
,,MOONLIGHT,,,,0,Y,N,,Pcs,B/L,56,,,,0,,,
,,SILVER STAR,,,,0,Y,N,,Pcs,B/L,48,,,,0,,,
,,ELIZABETH,,,,0,Y,N,,Pcs,B/L,48,,,,0,,,
,,ATLANTA,,,,0,Y,N,,,,,,,,0,,,
,,GOLD STAR,,,,0,Y,N,,Pcs,B/L,38,,,,0,,,
,,ROYALTY ONLY BEDSHEET,,,,0,Y,N,,,,,,,,0,,,
,,ORCHID,,,,0,Y,N,,Pcs,B/L,30,,,,0,,,
,,IVORY  ONLY BEDSHEET,,,,0,Y,N,,,,,,,,0,,,
,,ELIZABETH DLX,,,,0,Y,N,,Pcs,B/L,48,,,,0,,,
,,BLOSSOM DLX,,,,0,Y,N,,Pcs,B/L,39,,,,0,,,
,,SUNFLOWER,,,,0,Y,N,,Pcs,B/L,30,,,,0,,,
,,FLOWER CITY,,,,0,Y,N,,Pcs,B/L,44,,,,0,,,
,,FLORA,,,,0,Y,N,,Pcs,B/L,44,,,,0,,,
,,BLOSSOM D.C,,,,0,Y,N,,Pcs,B/L,36,,,,0,,,
,,SUNRISE,,,,0,Y,N,,Pcs,B/L,36,,,,0,,,
,,MARI GOLD DLX,,,,0,Y,N,,Pcs,B/L,51,,,,0,,,
,,MADRID,,,,0,Y,N,,Pcs,B/L,36,,,,0,,,
,,DAFFODIL & DAFFODIL DLX,,,,0,Y,N,,Pcs,B/L,39,,,,0,,,
,,SIEANNA,,,,0,Y,N,,Pcs,B/L,36,,,,0,,,
,,VIEANNA,,,,0,Y,N,,Pcs,B/L,36,,,,0,,,
,,MADRID DLX,,,,0,Y,N,,Pcs,B/L,36,,,,0,,,
,,DREAMLIGHT SUPER DLX (BOPP),,,,0,Y,N,,,,0,,,,0,,,
,,LIME LIGHT (BOPP),,,,0,Y,N,,Pcs,B/L,36,,,,0,,,
,,SUNRISE PRO,,,,0,Y,N,,Pcs,B/L,30,,,,0,,,
,,MINU ROYALTY,,,,0,Y,N,,Pcs,B/L,36,,,,0,,,
,,LAVENDER,,,,0,Y,N,,Pcs,B/L,56,,,,0,,,
,,ROYALTY DLX,,,,0,Y,N,,Pcs,B/L,30,,,,0,,,
,,SUPER GOLD,,,,0,Y,N,,Pcs,B/L,40,,,,0,,,
,,SUPER ROYALTY,,,,0,Y,N,,Pcs,B/L,36,,,,0,,,
,,IMPERIO,,,,0,Y,N,,Pcs,B/L,36,,,,0,,,
,,FLORENCE,,,,0,Y,N,,Pcs,B/L,28,,,,0,,,
,,LIBERTY,,,,0,Y,N,,Pcs,B/L,27,,,,0,,,
,,PRIM ROSE,,,,0,Y,N,,Pcs,B/L,36,,,,0,,,
,,MIDNIGHT ROSE,,,,0,Y,N,,Pcs,B/L,32,,,,0,,,
,,MANDRIN,,,,0,Y,N,,Pcs,B/L,21,,,,0,,,
,,PRIM ROSE XL,,,,0,Y,N,,Pcs,B/L,36,,,,0,,,
,,VINTAGE,,,,0,Y,N,,Pcs,B/L,36,,,,0,,,
,,HAZEL,,,,0,Y,N,,Pcs,B/L,28,,,,0,,,
,,VINTAGE (BOPP),,,,0,Y,N,,Pcs,B/L,36,,,,0,,,
,,MANHATON,,,,0,Y,N,,,,0,,,,0,,,
,,VICTORIA,,,,0,Y,N,,Pcs,B/L,36,,,,0,,,
,,VICTORIA (BOPP),,,,0,Y,N,,Pcs,B/L,36,,,,0,,,
,,DIGITALIO,,,,0,Y,N,,Pcs,B/L,24,,,,0,,,
,,LIZA,,,,0,Y,N,,Pcs,B/L,24,,,,0,,,
,,BEDSHEET SPL,,,,0,Y,N,,Pcs,B/L,60,,,,0,,,
,,BEDSHEET DLX,,,,0,Y,N,,Pcs,B/L,48,,,,0,,,
,,SUNDOWN (NEW),,,,0,Y,N,,,,0,,,,0,,,
,,SUNSET (LOOSE),,,,0,Y,N,,Pcs,B/L,48,,,,0,,,
,,SUNDOWN DELUX,,,,0,Y,N,,,,0,,,,0,,,
,,POETIC,,,,0,Y,N,,Pcs,B/L,,,,,0,,,
