Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename,UOM
PUNE,MAXIMO 9W CL B22,,0,64,,0,0,Y,0,0,0,0,,
CHANDIGARH,MAXIMO 9W CL B22,,0,62,,0,0,Y,0,0,0,0,,
DELHI,MAXIMO 9W CL B22,,0,62,,0,0,Y,0,0,0,0,,
HARYANA,MAXIMO 9W CL B22,,0,62,,0,0,Y,0,0,0,0,,
NOIDA,MAXIMO 9W CL B22,,0,62,,0,0,Y,0,0,0,0,,
MUMBAI,MAXIMO 9W CL B22,,0,64,,0,0,Y,0,0,0,0,,
Chennai,MAXIMO 9W CL B22,,0,62,,0,0,Y,0,0,0,0,,
MADHYA PRADESH,MAXIMO 9W CL B22,,0,64,,0,0,Y,0,0,0,0,,
KARNATAKA,MAXIMO 9W CL B22,,0,62,,0,0,Y,0,0,0,0,,
NORTH EAST,MAXIMO 9W CL B22,,0,64,,0,0,Y,0,0,0,0,,
JHARKHAND,MAXIMO 9W CL B22,,0,64,,0,0,Y,0,0,0,0,,
ODISHA,MAXIMO 9W CL B22,,0,64,,0,0,Y,0,0,0,0,,
KERALA,MAXIMO 9W CL B22,,0,62,,0,0,Y,0,0,0,0,,
TAMIL NADU,MAXIMO 9W CL B22,,0,62,,0,0,Y,0,0,0,0,,
GUJARAT,MAXIMO 9W CL B22,,0,64,,0,0,Y,0,0,0,0,,
ANDHRA PRADESH,MAXIMO 9W CL B22,,0,62,,0,0,Y,0,0,0,0,,
BIHAR,MAXIMO 9W CL B22,,0,61,,0,0,Y,0,0,0,0,,
Karnataka B2B,MAXIMO 9W CL B22,,0,67,,0,0,Y,0,0,0,0,,
Bihar B2B,MAXIMO 9W CL B22,,0,67,,0,0,Y,0,0,0,0,,
WB B2B,MAXIMO 9W CL B22,,0,67,,0,0,Y,0,0,0,0,,
Gujarat B2B,MAXIMO 9W CL B22,,0,67,,0,0,Y,0,0,0,0,,
Odisha B2B,MAXIMO 9W CL B22,,0,67,,0,0,Y,0,0,0,0,,
ASSAM B2B,MAXIMO 9W CL B22,,0,67,,0,0,Y,0,0,0,0,,
Kolkata,MAXIMO 9W CL B22,,0,64,,0,0,Y,0,0,0,0,,
WEST BENGAL,MAXIMO 9W CL B22,,0,64,,0,0,Y,0,0,0,0,,
JAMMU & KASHMIR,MAXIMO 9W CL B22,,0,62,,0,0,Y,0,0,0,0,,
CHANDIGARH,MAXIMO 5W CL B22,,0,61,,0,0,Y,0,0,0,0,,
DELHI,MAXIMO 5W CL B22,,0,61,,0,0,Y,0,0,0,0,,
HARYANA,MAXIMO 5W CL B22,,0,61,,0,0,Y,0,0,0,0,,
NOIDA,MAXIMO 5W CL B22,,0,61,,0,0,Y,0,0,0,0,,
MUMBAI,MAXIMO 5W CL B22,,0,63,,0,0,Y,0,0,0,0,,
Chennai,MAXIMO 5W CL B22,,0,61,,0,0,Y,0,0,0,0,,
MADHYA PRADESH,MAXIMO 5W CL B22,,0,63,,0,0,Y,0,0,0,0,,
KARNATAKA,MAXIMO 5W CL B22,,0,61,,0,0,Y,0,0,0,0,,
PUNE,MAXIMO 5W CL B22,,0,63,,0,0,Y,0,0,0,0,,
NORTH EAST,MAXIMO 5W CL B22,,0,63,,0,0,Y,0,0,0,0,,
JHARKHAND,MAXIMO 5W CL B22,,0,63,,0,0,Y,0,0,0,0,,
ODISHA,MAXIMO 5W CL B22,,0,63,,0,0,Y,0,0,0,0,,
KERALA,MAXIMO 5W CL B22,,0,61,,0,0,Y,0,0,0,0,,
TAMIL NADU,MAXIMO 5W CL B22,,0,61,,0,0,Y,0,0,0,0,,
GUJARAT,MAXIMO 5W CL B22,,0,63,,0,0,Y,0,0,0,0,,
ANDHRA PRADESH,MAXIMO 5W CL B22,,0,61,,0,0,Y,0,0,0,0,,
BIHAR,MAXIMO 5W CL B22,,0,60,,0,0,Y,0,0,0,0,,
Karnataka B2B,MAXIMO 5W CL B22,,0,66,,0,0,Y,0,0,0,0,,
Bihar B2B,MAXIMO 5W CL B22,,0,66,,0,0,Y,0,0,0,0,,
WB B2B,MAXIMO 5W CL B22,,0,66,,0,0,Y,0,0,0,0,,
Gujarat B2B,MAXIMO 5W CL B22,,0,66,,0,0,Y,0,0,0,0,,
Odisha B2B,MAXIMO 5W CL B22,,0,66,,0,0,Y,0,0,0,0,,
ASSAM B2B,MAXIMO 5W CL B22,,0,66,,0,0,Y,0,0,0,0,,
Kolkata,MAXIMO 5W CL B22,,0,63,,0,0,Y,0,0,0,0,,
WEST BENGAL,MAXIMO 5W CL B22,,0,63,,0,0,Y,0,0,0,0,,
JAMMU & KASHMIR,MAXIMO 5W CL B22,,0,61,,0,0,Y,0,0,0,0,,
CHANDIGARH,Maximo 5W WL B22,,0,61,,0,0,Y,0,0,0,0,,
DELHI,Maximo 5W WL B22,,0,61,,0,0,Y,0,0,0,0,,
HARYANA,Maximo 5W WL B22,,0,61,,0,0,Y,0,0,0,0,,
NOIDA,Maximo 5W WL B22,,0,61,,0,0,Y,0,0,0,0,,
MUMBAI,Maximo 5W WL B22,,0,63,,0,0,Y,0,0,0,0,,
Chennai,Maximo 5W WL B22,,0,61,,0,0,Y,0,0,0,0,,
MADHYA PRADESH,Maximo 5W WL B22,,0,63,,0,0,Y,0,0,0,0,,
KARNATAKA,Maximo 5W WL B22,,0,61,,0,0,Y,0,0,0,0,,
NORTH EAST,Maximo 5W WL B22,,0,63,,0,0,Y,0,0,0,0,,
JHARKHAND,Maximo 5W WL B22,,0,63,,0,0,Y,0,0,0,0,,
ODISHA,Maximo 5W WL B22,,0,63,,0,0,Y,0,0,0,0,,
PUNE,Maximo 5W WL B22,,0,63,,0,0,Y,0,0,0,0,,
KERALA,Maximo 5W WL B22,,0,61,,0,0,Y,0,0,0,0,,
TAMIL NADU,Maximo 5W WL B22,,0,61,,0,0,Y,0,0,0,0,,
GUJARAT,Maximo 5W WL B22,,0,63,,0,0,Y,0,0,0,0,,
ANDHRA PRADESH,Maximo 5W WL B22,,0,61,,0,0,Y,0,0,0,0,,
BIHAR,Maximo 5W WL B22,,0,60,,0,0,Y,0,0,0,0,,
Karnataka B2B,Maximo 5W WL B22,,0,66,,0,0,Y,0,0,0,0,,
Bihar B2B,Maximo 5W WL B22,,0,66,,0,0,Y,0,0,0,0,,
WB B2B,Maximo 5W WL B22,,0,66,,0,0,Y,0,0,0,0,,
