Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit
,,SPECIAL PAPRI 1kg,SPECIAL PAPRI,,,0,Y,N,,,,,,,,0,,,
,,SPECIAL PAPRI 400gm,SPECIAL PAPRI,,,0,Y,N,,,,,,,,0,,,
,,SPECIAL PAPRI 150gm,SPECIAL PAPRI,,,0,Y,N,,,,,,,,0,,,
,,SPECIAL PAPRI 100gm,SPECIAL PAPRI,,,0,Y,N,,,,,,,,0,,,
,,SPECIAL PAPRI 36gm,SPECIAL PAPRI,,,0,Y,N,,,,,,,,0,,,
,,SPECIAL PAPRI 18gm,SPECIAL PAPRI,,,0,Y,N,,,,,,,,0,,,
,,SWEET & SOUR 1kg,SWEET & SOUR,,,0,Y,N,,,,,,,,0,,,
,,SWEET & SOUR 400gm,SWEET & SOUR,,,0,Y,N,,,,,,,,0,,,
,,SWEET & SOUR 200gm,SWEET & SOUR,,,0,Y,N,,,,,,,,0,,,
,,SWEET & SOUR 100gm,SWEET & SOUR,,,0,Y,N,,,,,,,,0,,,
,,SWEET & SOUR 36gm,SWEET & SOUR,,,0,Y,N,,,,,,,,0,,,
,,SWEET & SOUR 18gm,SWEET & SOUR,,,0,Y,N,,,,,,,,0,,,
,,SALTY 400gm,SALTY,,,0,Y,N,,,,,,,,0,,,
,,SALTY 200gm,SALTY,,,0,Y,N,,,,,,,,0,,,
,,MIRCHI 200gm,MIRCHI,,,0,Y,N,,,,,,,,0,,,
,,MIRCHI 36gm,MIRCHI,,,0,Y,N,,,,,,,,0,,,
,,MIRCHI 18gm,MIRCHI,,,0,Y,N,,,,,,,,0,,,
,,7 P.M 200gm,7 P.M,,,0,Y,N,,,,,,,,0,,,
,,7 P.M 36gm,7 P.M,,,0,Y,N,,,,,,,,0,,,
,,KHATTA MITHA 200gm,KHATTA MITHA,,,0,Y,N,,,,,,,,0,,,
,,KHATTA MITHA 36gm,KHATTA MITHA,,,0,Y,N,,,,,,,,0,,,
,,100% LOVE 150gm,100% LOVE,,,0,Y,N,,,,,,,,0,,,
,,100% LOVE 18gm,100% LOVE,,,0,Y,N,,,,,,,,0,,,
,,BHUJIA 200gm,BHUJIA,,,0,Y,N,,,,,,,,0,,,
,,BHUJIA 36gm,BHUJIA,,,0,Y,N,,,,,,,,0,,,
,,BHUJIA 18gm,BHUJIA,,,0,Y,N,,,,,,,,0,,,
,,ALOO BHUJIA 200gm,ALOO BHUJIA,,,0,Y,N,,,,,,,,0,,,
,,ALOO BHUJIA 18gm,ALOO BHUJIA,,,0,Y,N,,,,,,,,0,,,
,,JEERA GATHIA 200gm,JEERA GATHIA,,,0,Y,N,,,,,,,,0,,,
,,CHAAL BHAJA 200gm,CHAAL BHAJA,,,0,Y,N,,,,,,,,0,,,
,,CHAAL BHAJA 100gm,CHAAL BHAJA,,,0,Y,N,,,,,,,,0,,,
,,CHAAL BHAJA 36gm,CHAAL BHAJA,,,0,Y,N,,,,,,,,0,,,
,,DIET CHIRA 200gm,DIET CHIRA,,,0,Y,N,,,,,,,,0,,,
,,DIET CHIRA 36gm,DIET CHIRA,,,0,Y,N,,,,,,,,0,,,
,,NIMBU MIXTURE 200gm,NIMBU MIXTURE,,,0,Y,N,,,,,,,,0,,,
,,NIMBU MIXTURE 36gm,NIMBU MIXTURE,,,0,Y,N,,,,,,,,0,,,
,,MASALA MURI 150gm,MASALA MURI,,,0,Y,N,,,,,,,,0,,,
,,MASALA MURI 36gm,MASALA MURI,,,0,Y,N,,,,,,,,0,,,
,,MASALA MURI 18gm,MASALA MURI,,,0,Y,N,,,,,,,,0,,,
,,CHIRA BHAJA 200gm,CHIRA BHAJA,,,0,Y,N,,,,,,,,0,,,
,,CHIRA BHAJA 100gm,CHIRA BHAJA,,,0,Y,N,,,,,,,,0,,,
,,CHIRA BHAJA 36gm,CHIRA BHAJA,,,0,Y,N,,,,,,,,0,,,
,,KABULI CHANA 1kg,KABULI CHANA,,,0,Y,N,,,,,,,,0,,,
,,KABULI CHANA 200gm,KABULI CHANA,,,0,Y,N,,,,,,,,0,,,
,,KABULI CHANA 36gm,KABULI CHANA,,,0,Y,N,,,,,,,,0,,,
,,KABULI CHANA 18gm,KABULI CHANA,,,0,Y,N,,,,,,,,0,,,
,,POTATO CHIPS 50gm,POTATO CHIPS,,,0,Y,N,,,,,,,,0,,,
,,POTATO CHIPS 25gm,POTATO CHIPS,,,0,Y,N,,,,,,,,0,,,
,,MOONGDAL 1kg,MOONGDAL,,,0,Y,N,,,,,,,,0,,,
,,MOONGDAL 200gm,MOONGDAL,,,0,Y,N,,,,,,,,0,,,
,,MOONGDAL 100gm,MOONGDAL,,,0,Y,N,,,,,,,,0,,,
,,MOONGDAL 36gm,MOONGDAL,,,0,Y,N,,,,,,,,0,,,
,,MOONGDAL 18gm,MOONGDAL,,,0,Y,N,,,,,,,,0,,,
,,ROYAL CASHEWNUTS 50gm,ROYAL CASHEWNUTS,,,0,Y,N,,,,,,,,0,,,
,,CASHEWNUTS 100gm,CASHEWNUTS,,,0,Y,N,,,,,,,,0,,,
,,CASHEWNUTS 50gm,CASHEWNUTS,,,0,Y,N,,,,,,,,0,,,
,,DHANIA CASHEW 25gm,DHANIA CASHEW,,,0,Y,N,,,,,,,,0,,,
,,CHOWKHAS 200gm,CHOWKHAS,,,0,Y,N,,,,,,,,0,,,
,,NIMKI 200gm,NIMKI,,,0,Y,N,,,,,,,,0,,,
,,SALTED PEANUTS 200gm,SALTED PEANUTS,,,0,Y,N,,,,,,,,0,,,
,,SALTED PEANUTS 100gm,SALTED PEANUTS,,,0,Y,N,,,,,,,,0,,,
,,SALTED PEANUTS 50gm,SALTED PEANUTS,,,0,Y,N,,,,,,,,0,,,
,,SALTED PEANUTS 36gm,SALTED PEANUTS,,,0,Y,N,,,,,,,,0,,,
,,SALTED PEANUTS 18gm,SALTED PEANUTS,,,0,Y,N,,,,,,,,0,,,
,,DHANIA PEANUTS 36gm,DHANIA PEANUTS,,,0,Y,N,,,,,,,,0,,,
,,HING JEERA PEANUTS 36gm,HING JEERA PEANUTS,,,0,Y,N,,,,,,,,0,,,
,,CHOCLATE SONPAPRI,SONPAPRI,,,0,Y,N,,,,,,,,0,,,
,,GHEE SONPAPRI,SONPAPRI,,,0,Y,N,,,,,,,,0,,,
,,RASOGOLLA,RASOGOLLA,,,0,Y,N,,,,,,,,0,,,
,,GULAB JAMUN,GULAB JAMUN,,,0,Y,N,,,,,,,,0,,,
