Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename
,Nut-Bolt-Washer-Gasket for Header Assl. 2,,3,0,0,0,0,Y,0,0,0,0,Rajasthan
,20MM INLINE DRIPPER(4-LPH)ROUND,,0,0,,0,0,Y,0,0,0,0,Rajasthan
,Emmitting Pipe CL-II(12mm 4LPH 40cm) Flat,,8.19,0,,0,0,Y,0,0,0,0,Rajasthan
,Soc 50MM N HDPE Spk MLC,,0,0,,0,0,Y,0,0,0,0,Rajasthan
,40MM PN10 PE100 N,,77.31,0,,0,0,Y,0,0,0,0,Maharashtra
,40MM PN10 PE80,,94.04,0,,0,0,Y,0,0,0,0,Maharashtra
,40mm PN6 PE- 80 N,,61.76,0,,0,0,Y,0,0,0,0,Maharashtra
,40MM PN8 PE100 N,,62.23,0,,0,0,Y,0,0,0,0,Maharashtra
,40MM PN8 PE80 N,,77.2,0,,0,0,Y,0,0,0,0,Maharashtra
,500MM HDPE Pipe End,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM PN10 PE100 N,,115.45,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM PN10 PE100 N-1,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50mm PN10 PE-80 N,,138.79,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM PN12.5 PE100 N,,132.95,0,,0,0,Y,0,0,0,0,Maharashtra
,SOC 50MM N HDPE Spk PCN,,205,0,,0,0,Y,0,0,0,0,Rajasthan
,Drill/Inject Punch 10mm,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM PN12.5 PE-80 N,,167.12,0,,0,0,Y,0,0,0,0,Maharashtra
,50mm PN4 PE- 63 N,,77.02,0,,0,0,Y,0,0,0,0,Maharashtra
,50mm PN6 PE- 80 N,,91.63,0,,0,0,Y,0,0,0,0,Maharashtra
,50mm PN8 PE- 80 N,,117.23,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM PN8 PE-100 N,,94.83,0,,0,0,Y,0,0,0,0,Maharashtra
,63MM PN10 PE-100 N,,182.79,0,,0,0,Y,0,0,0,0,Maharashtra
,63MM PN10 PE100 N1,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,63MM PN12.5 PE100 N,,206.93,0,,0,0,Y,0,0,0,0,Maharashtra
,63mm PN4 PE- 63 N,,118.28,0,,0,0,Y,0,0,0,0,Maharashtra
,SOC 50MM N HDPE Spk Pipe 3mtr,,205,0,,0,0,Y,0,0,0,0,Rajasthan
,63mm PN6 PE- 80 N,,142.83,0,,0,0,Y,0,0,0,0,Maharashtra
,Drill/inject Punch 12mm(Metal),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,63MM PN6 PE100 N,,118.2,0,,0,0,Y,0,0,0,0,Maharashtra
,63mm PN8 PE- 80 N,,181.9,0,,0,0,Y,0,0,0,0,Maharashtra
,63MM PN8 PE-100 N,,151.18,0,,0,0,Y,0,0,0,0,Maharashtra
,63MM PN8 PE100 N1,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,75MM HDPE Feb Tee(PF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,75MM PN10 PE100 N,,258.38,0,,0,0,Y,0,0,0,0,Maharashtra
,75MM PN12.5 PE100 N,,292.86,0,,0,0,Y,0,0,0,0,Maharashtra
,75MM PN12.5 PE100 N1,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,SOC 50MM N HDPE Spk Pipe 5mtr,,465,0,,0,0,Y,0,0,0,0,Rajasthan
,75mm PN4 PE- 63 N,,169.96,0,,0,0,Y,0,0,0,0,Maharashtra
,75mm PN6 PE- 63 N,,240.68,0,,0,0,Y,0,0,0,0,Maharashtra
,Drill/inject Punch 16mm(Metal),,180,0,,0,0,Y,0,0,0,0,Maharashtra
,75mm PN6 PE- 80 N,,203.46,0,,0,0,Y,0,0,0,0,Maharashtra
,75MM PN6 PE100 N,,169.05,0,,0,0,Y,0,0,0,0,Maharashtra
,75mm PN8 PE- 80 N,,257.36,0,,0,0,Y,0,0,0,0,Maharashtra
,75MM PN8 PE100 N,,211.65,0,,0,0,Y,0,0,0,0,Maharashtra
,90MM HDPE MOULDED TEE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,90MM HDPE Pipe End PN6 PE80(Moulded),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,90MM HDPE Pipe End(Moulded),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,SOC 50MM N HDPE Spk Pipe 6mtr,,465,0,,0,0,Y,0,0,0,0,Rajasthan
,90MM PN10 PE-100 N(ISO:4427),,369.71,0,,0,0,Y,0,0,0,0,Maharashtra
,90mm PN6 PE- 80 N,,288.35,0,,0,0,Y,0,0,0,0,Maharashtra
,90mm PN6 PE- 80 N(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Drill/inject Punch 18mm(Metal),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,90MM PN6 PE100 HDPE TEE(FF)90*,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,90MM PN6 PE-100 N,,237.77,0,,0,0,Y,0,0,0,0,Maharashtra
,90MM PN6 PE80 HDPE BEND(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,90MM PN6 PE80 HDPE TEE(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Copper Wire,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN110 PE100 PN 8 HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,SOC 50MM N HDPE Spk Tee,,250,0,,0,0,Y,0,0,0,0,Rajasthan
,DN110 PE100 PN10 HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN110 PE100 PN6 HDPE PIPE(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN110 PE-100 PN6 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN110 PE80 PN6 HDPE PIPE(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Drill/inject Punch 25mm(Metal),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN110 PE80 PN6 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN125 PE100 PN6 HDPE PIPE(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN125 PE100 PN6 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN125 PE100-11.4A (IS:14885),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN125 PE100-7.1A (IS:14885),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,SOC 50MM N Spk Foot Batten,,250,0,,0,0,Y,0,0,0,0,Rajasthan
,DN125 PE80 PN6 HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN125 PE80 PN6 HDPE PIPE(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN125 PE80-11.4A (IS:14885),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN125 PE80-7.1A (IS:14885),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN140 PE100 PN4 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Drill/Inject Punch 3mm(Metal),,2.32,0,,0,0,Y,0,0,0,0,Maharashtra
,DN140 PE100 PN6  HDPE PIPE(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN140 PE100 PN6 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN140 PE100 PN8 HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN140 PE80 PN6 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,SOC 50MM N Spk Latch,,0,0,,0,0,Y,0,0,0,0,Rajasthan
,DN160 PE100 PN10 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN160 PE100 PN12.5 N HDPE PIPE(ISO:4427),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN160 PE100 PN16 N HDPE PIPE(ISO:4427),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN160 PE100 PN6  HDPE PIPE(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN160 PE100 PN6 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN160 PE100 PN8 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Drill/Inject Punch 4mm(Metal),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN160 PE100 PN8 N HDPE PIPE(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN160 PE80 PN6 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN160 PE80 PN6 N HDPE PIPE(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Soc 63MM E-5 HDPE Spk Adopter,,0,0,,0,0,Y,0,0,0,0,Rajasthan
,DN180 PE100 PN6 HDPE PIPE(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN180 PE100 PN6 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN180 PE100 PN8 HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN180 PE80 PN6 HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN180 PE80 PN6 HDPE PIPE(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN200 PE100 PN10 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN200 PE100 PN6 HDPE PIPE(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,16mm Inline Dripper(2.1LPH PCND)Round,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Drill/Inject Punch 8mm(Metal),,1145,0,,0,0,Y,0,0,0,0,Maharashtra
,DN200 PE100 PN6 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Soc 63MM E5 HDPE Spk Bend,,0,0,,0,0,Y,0,0,0,0,Rajasthan
,DN200 PE100 PN8 HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN200 PE80 PN6 HDPE PIPE(FF),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,DN200 PE80 PN6 N HDPE PIPE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
