Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit,Prod size,Lead time,Buffer level,Max level marketing,UOM4,UOM5,Gross weight,FG_RM,Oil category,Alias,HSN/SAC,Packing Realization,Statename
,1C0ADP0001,Mini Spk M/F Adopter 1/2,Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0ARV0001,Air Release Valve 1,Drip,Fittings,,0,N,N,,Pcs,,,,,,0,,,,,,,,,,,,,Air Release Valve 1,,0,
,1C0ARV0002,Air Release Valve 1.5 (HT-89),Drip,Fittings,,0,N,N,,Pcs,,,,,,0,,,,,,,,,,,,,Air Release Valve 1.5,,0,
,1C0ARV0003,Air Release Valve 3/4,Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0BFA0001,Back Flush Assembly for Sand Filter 3,Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0BFA0002,Back Flush Assembly for Sand Filter 2,Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0BFA0003,Back Flush Assembly for Sand Filter 2.5,Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0BFV0001,Butterfly Valve 2,Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0BFV0002,Butterfly Valve 2.5,Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0BFV0003,Butterfly Valve 3,Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0BFV0004,Butterfly Valve 4,Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0BFV0005,Butterfly Valve 5,Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0BFV0006,Butterfly Valve 6,Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0BLVB001,Ball Valve 1/2(Brass),Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0BLVPP01,PP Ball Valve(Flange End) 1,Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0BLVPP02,P. P. Ball Valve 1 Threaded (32mm) M/F,Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0BLVPP03,PP Ball Valve 1.25 Threaded(40mm),Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0BLVPP04,PP Ball Valve 1.5 Threaded(50mm),Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0BLVPP05,P.P. Ball Valve 2 Threaded (63mm),Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0BLVPP06,PP Ball Valve 20/25 mm Solid Threaded(3/4),Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0BLVPP07,P.P. Ball Valve 2.5 Threaded (75mm),Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
,1C0BLVPP08,P.P. Ball Valve 3 Threaded(90mm),Drip,Fittings,,0,Y,N,,Pcs,,,,,,0,,,,,,,,,,,,,,,0,Rajasthan
