Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit,Prod size,Lead time,Buffer level,Max level marketing,UOM4,UOM5,Gross weight,FG_RM,Oil category,Alias,HSN/SAC,Packing Realization,Statename
,,NEOLAYR MOISTURISING LOTION 250ML (Pump),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYR FOOT MOISTURISING CREAM 10GM,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYR FOOT MOISTURISING CREAM 50GM,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYR HAND MOISTURISING CREAM 10GM,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYR HAND MOISTURISING CREAM 50GM,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYR HAND MOISTURISING CREAM 80GM,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYR CG 25 ML (Pocket Spray),,,,0,N,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYR CG 200 ML (with spray pump),,,,0,N,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYR MOISTURISING LOTION 50ML,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYR HAND WASH 200ML,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYR CG 25ML POCKET SPRAY,,,,0,N,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYR CALAMINE 50 ML,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYR CALAMINE 10 ML,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYR SUNSCREEN 50GM,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYR SUNSCREEN 10GM,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYRe HAND SANITIZER 100 ML,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYRe HAND SANITIZER 200 ML SPRAY,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYRe HAND SANITIZER 500 ML PUMP,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYRe HAND SANITIZER 5 LTR,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEEM FACE WASH 50ML,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEEM FACE WASH 15ML,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,LEMON FACE WASH 50ML,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,LEMON FACE WASH 15ML,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,PAPAYA FACE WASH 50ML,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,PAPAYA FACE WASH 15ML,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,ORANGE FACE WASH 50ML,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,ORANGE FACE WASH 15ML,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,CHARCOAL FACE WASH 50ML,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,CHARCOAL FACE WASH 15ML,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYR LIP CARE 10 GM,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NML 50ML JAR (12+3),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYR LIP CARE MINI 5 GM JAR (18+2),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,LIP CARE MINI JAR (18+2),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEEM - CHARCOAL FACE WASH COMBO,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,TRIFALA FACE WASH COMBO,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
,,NEOLAYR LITE,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,
