Destination Code,Destination Name
DES02409,"1 KILO"
DES02133,"1 KILO (EX-FACTORY)"
DES00001,"12 MILE (KAM)"
DES07229,"14TH MILE"
DES02134,"14TH MILE (EX-FACTORY)"
DES02135,"14TH MILE (MEG)"
DES05588,"16 MILES"
DES07230,"16 Miles (Ex Malda)"
DES05589,"18 MILES"
DES07231,"18 MILES (EX-MALDA)"
DES05159,"19 BEESHA"
DES05590,"21 MILE"
DES07232,"21 Mile (Ex Malda)"
DES05455,"2ND MILE AREA"
DES10962,"3RD MILE (DIMAPUR)"
DES10967,"3RD MILE (DIMAPUR)"
DES10973,"3RD MILE (DIMAPUR)"
DES11174,"3RD MILE (DIMAPUR)"
DES02410,"4 KILO"
DES02136,"4 KILO (EX-FACTORY)"
DES11175,"4TH MILE (DIMAPUR)"
DES10963,"4TH MILE (DIMAPUR)"
DES10968,"4TH MILE (DIMAPUR)"
DES07233,"58 GATE"
DES04233,"58 GATE (EX-DANKUNI)"
DES07234,"58, NO. Gate"
DES04246,"58, NO. GATE (EX-DANKUNI)"
DES05477,"585 ENGRS PARK"
DES10964,"7TH MILE (DIMAPUR)"
DES10969,"7TH MILE (DIMAPUR)"
DES10971,"7TH MILE (DIMAPUR)"
DES10974,"7TH MILE (DIMAPUR)"
DES10976,"7TH MILE (DIMAPUR)"
DES11176,"7TH MILE (DIMAPUR)"
DES05021,"7TH MILE (SAT MILE)"
DES05106,"7TH MILE DUMUKHA"
DES05591,"8 MILE"
DES07235,"8 MILE (Ex Malda)"
DES01617,"82 MILE"
DES02137,"8TH MILE (EX-FACTORY)"
DES02411,"8TH MILE (JH)"
DES10487,"8TH MILE GAYZING"
DES07236,"9TH MILE"
DES02138,"9TH MILE (EX-FACTORY)"
DES07238,"AACHRA(EX RAGHUNATHGANJ)"
DES07237,"AACHRA(EX- BERHAMPORE)"
DES00687,"AAHATGURI"
DES01291,"AAHULI"
DES01298,"AALO (AP)"
DES05269,"AAMBARI"
DES05268,"AAMBARI(SLG)"
DES07239,"Aamragarh"
DES04074,"AAMRAGARH EX BURDWAN"
DES07241,"AANDHI(EX RAGHUNATHGANJ)"
DES07240,"AANDHI(EX- BERHAMPORE)"
DES07243,"AANDUL BERIA(EX RAGHUNATHGANJ)"
DES07242,"AANDUL BERIA(EX- BERHAMPORE)"
DES07244,"ABAD"
DES03895,"ABAD (EX-SAITHIA)"
DES07245,"ABDARPUR"
DES03896,"ABDARPUR (EX-SAITHIA)"
DES07246,"ABDULLAPUR"
DES07247,"ABDULPUR"
DES03897,"ABDULPUR (EX-SAITHIA)"
DES03898,"ABHADANGA (EX-SAITHIA)"
DES07248,"ABHAYAPURI"
DES07249,"ABHAYAPURI (BY RAIL)"
DES02955,"ABHAYPUR(EX LAKHISARAI)"
DES07250,"ABHINASHPUR"
DES03899,"ABHINASHPUR (EX-SAITHIA)"
DES07251,"ABHIRAMPUR"
DES04486,"ABHIRAMPUR (EX MDNP)"
DES00002,"ABHOYPUR"
DES05221,"ABUTARA"
DES05006,"ADABARI"
DES07252,"ADABARI (HAJO)"
DES03021,"ADAMPUR (EX NAUGACHIA)"
DES02708,"ADAMPUR(EX BHAGALPUR)"
DES07253,"ADARKONA"
DES05337,"ADHIKARI"
DES05592,"ADINA(MLD)"
DES07254,"ADINA(MLD) (Ex Malda)"
DES07255,"Adisaptagram"
DES04389,"ADISAPTAGRAM ( EX MOGRA)"
DES11276,"ADOKGRE"
DES07256,"ADRA"
DES04807,"ADRA (EX-PURULIA)"
DES03800,"AFRAD EX SIWAN"
DES07257,"AGARPARA"
DES03801,"AGARPARA (EX- COSPR)"
DES01595,"AGARTALA"
DES07258,"AGARTALA (Frm Jrnya)"
DES01596,"AGARTALA DUMP"
DES11030,"AGARTALA DUMP 1"
DES11031,"AGARTALA DUMP 1"
DES11033,"AGARTALA DUMP 1"
DES11035,"AGARTALA DUMP 1"
DES11036,"AGARTALA DUMP 1"
DES11038,"AGARTALA DUMP 1"
DES11040,"AGARTALA DUMP 1"
DES11041,"AGARTALA DUMP 1"
DES11042,"AGARTALA DUMP 1"
DES11043,"AGARTALA DUMP 1"
DES11045,"AGARTALA DUMP 1"
DES11047,"AGARTALA DUMP 1"
DES11049,"AGARTALA DUMP 1"
DES11051,"AGARTALA DUMP 1"
DES11053,"AGARTALA DUMP 1"
DES11055,"AGARTALA DUMP 1"
DES11057,"AGARTALA DUMP 1"
DES11058,"AGARTALA DUMP 1"
DES11060,"AGARTALA DUMP 1"
DES11062,"AGARTALA DUMP 1"
DES11064,"AGARTALA DUMP 1"
DES11066,"AGARTALA DUMP 1"
DES11067,"AGARTALA DUMP 1"
DES11069,"AGARTALA DUMP 1"
DES11070,"AGARTALA DUMP 1"
DES11071,"AGARTALA DUMP 1"
DES11072,"AGARTALA DUMP 1"
DES11073,"AGARTALA DUMP 1"
DES11074,"AGARTALA DUMP 1"
DES11076,"AGARTALA DUMP 1"
DES11078,"AGARTALA DUMP 1"
DES11079,"AGARTALA DUMP 1"
DES11080,"AGARTALA DUMP 1"
DES11081,"AGARTALA DUMP 1"
DES11082,"AGARTALA DUMP 1"
DES11086,"AGARTALA DUMP 1"
DES10544,"AGARTALA DUMP 1"
DES10546,"AGARTALA DUMP 1"
DES10550,"AGARTALA DUMP 1"
DES10551,"AGARTALA DUMP 1"
DES10552,"AGARTALA DUMP 1"
DES10554,"AGARTALA DUMP 1"
DES10556,"AGARTALA DUMP 1"
DES10557,"AGARTALA DUMP 1"
DES10559,"AGARTALA DUMP 1"
DES10561,"AGARTALA DUMP 1"
DES10564,"AGARTALA DUMP 1"
DES10568,"AGARTALA DUMP 1"
DES10570,"AGARTALA DUMP 1"
DES10572,"AGARTALA DUMP 1"
DES10573,"AGARTALA DUMP 1"
DES10574,"AGARTALA DUMP 1"
