Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename
,,,0,2.9,,0,0,Y,0,0,0,0,
,,,0,3,,0,0,Y,0,0,0,0,
,,,0,3.8,,0,0,Y,0,0,0,0,
,,,0,2.5,,0,0,Y,0,0,0,0,
,,,0,1.99,,0,0,Y,0,0,0,0,
,,,0,3.3,,0,0,Y,0,0,0,0,
,,,0,3.6,,0,0,Y,0,0,0,0,
,,,0,3.4,,0,0,Y,0,0,0,0,
,,,0,3.2,,0,0,Y,0,0,0,0,
,,,0,2.8,,0,0,Y,0,0,0,0,
,,,0,2.2,,0,0,Y,0,0,0,0,
,,,0,2.5,,0,0,Y,0,0,0,0,
,,,0,1.8,,0,0,Y,0,0,0,0,
,,,0,1.73,,0,0,Y,0,0,0,0,
,,,0,1.95,,0,0,Y,0,0,0,0,
,,,0,1.95,,0,0,Y,0,0,0,0,
,,,0,2.05,,0,0,Y,0,0,0,0,
,,,0,1.9,,0,0,Y,0,0,0,0,
,,,0,1.9,,0,0,Y,0,0,0,0,
,,,0,1.54,,0,0,Y,0,0,0,0,
,,,0,1.6,,0,0,Y,0,0,0,0,
,,,0,1.66,,0,0,Y,0,0,0,0,
,,,0,1.64,,0,0,Y,0,0,0,0,
,,,0,3.1,,0,0,Y,0,0,0,0,
,,,0,3.3,,0,0,Y,0,0,0,0,
,,,0,3.3,,0,0,Y,0,0,0,0,
,,,0,147,,0,0,Y,0,0,0,0,
,,,0,134,,0,0,Y,0,0,0,0,
,,,0,120,,0,0,Y,0,0,0,0,
,,,0,16,,0,0,Y,0,0,0,0,
,,,0,7.43,,0,0,Y,0,0,0,0,
,,,0,1.5,,0,0,Y,0,0,0,0,
,,,0,66,,0,0,Y,0,0,0,0,
,,,0,71,,0,0,Y,0,0,0,0,
,,,0,68,,0,0,Y,0,0,0,0,
,,,0,6.41,,0,0,Y,0,0,0,0,
,,,0,80,,0,0,Y,0,0,0,0,
