DNS Customer Code,Customer Name,Phone no,Route code,Route Name,Emp Code name,acedns,Credit Limit,Credit Days,Current Balance,Black list,TD,Branch code,Cust type,rds tag,Sauda validity period,Address,Landline no,Owner name,Owner phone,Cust class,Weekly closing day,Coverage type,TIN,PAN,District,Minimum stock,Bank name,Bank account number,Email,Visit Day,State,Monthly Potential,Sauda limit,Incoterms,Loadability ton,Transport mode,Sauda type,Zone,Visit sequence,Appointment date,date_of_birth,date_of_anniversary,whatsapp_no,beneficiary_name,IFS_code,pin,Base lattitude,Base longitude
187310,"A B M Sales Corporation (City Center 1)",-,,"1-Kolkata",Vacant ISP 1,Y,0,,0,N,0,,R,"A B M Sales Corporation - Admin",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,22.4473238,88.3921247
187312,"A B M Sales Corporation (City Center 2)",9681743450,,"1-Kolkata",Vacant ISP 108,Y,0,,0,N,0,,R,"A B M Sales Corporation - Admin",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,22.6227701,88.4504044
-,"A B M Sales Corporation - Admin",9830038001,,"1-Kolkata",Hari Shaw,Y,0,,0,N,0,,D,"",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,0,0
266712,"A.H. Communication (Mi Store)",9007164825,,"1-Kolkata",Vacant ISP 203,Y,0,,0,N,0,,R,"",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,2000-00-00,2000-00-00,2000-00-00,,,,,0,0
195680,"A.K.Cellulars",9903123495,,"1-Kolkata",Akbar Khan,Y,0,,0,N,0,,R,"",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,22.4960814,88.3736296
213108,"Aanchal Telecom-(Ballygunge)",-,,"1-Kolkata",Vacant ISP 27,Y,0,,0,N,0,,R,"Aanchal Telecom-Admin)",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,22.5467549,88.3488587
187059,"Aanchal Telecom-(Lake Road)",7044955401,,"1-Kolkata",Vinay Kumar,Y,0,,0,N,0,,R,"Aanchal Telecom-Admin)",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,22.5168526,88.3488244
200231,"Aanchal Telecom-(Metro Plaza)",8116225287,,"1-Kolkata",Taniya Singha,Y,0,,0,N,0,,R,"Aanchal Telecom-Admin)",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,22.5467566,88.349009
-,"Aanchal Telecom-Admin)",9830219995,,"1-Kolkata",Rahul Agarwal,Y,0,,0,N,0,,D,"",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,0,0
218741,"ABC Floors Pvt Ltd",,,"1-Kolkata",Vacant ISP 42,Y,0,,0,N,0,,R,"",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,22.5725495,88.3513145
187060,"Akash Telecom- [Ret.]-Osr",8697908844,,"2-S24",Goutam Panda,Y,0,,0,N,0,,R,"",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,22.4139352,88.4330355
187061,"Alhabib Mobile Store",8777768834,,"1-Kolkata",Vacant ISP 106,Y,0,,0,N,0,,R,"",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,22.5480068,88.2873877
194666,"Alisha Mobile Centre",7478593330,,"2-S24",Zahir Hossain Sardar,Y,0,,0,N,0,,R,"",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,22.342858,88.6082564
187062,"Alvista Electronics [Ret]-Osr",8100209578,,"1-Kolkata",Wasim Sardar,Y,0,,0,N,0,,R,"",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,22.4479217,88.3918109
219584,"Anandalok Mobile",-,,"2-S24",Vacant ISP 44,Y,0,,0,N,0,,R,"",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,0,0
187063,"Aroras Dp Electronics Pvt. Ltd.-(Ret)",7278205786,,"1-Kolkata",Subrata Purakayastha,Y,0,,0,N,0,,R,"",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,22.569213,88.4332388
193468,"Audio Vision",-,,"1-Kolkata",Dipannita Bhowmick,Y,0,,0,N,0,,R,"",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,22.4832132,88.3534382
187314,"Ayush Communication (Ballygunge Phari)",7980647843,,"1-Kolkata",Vacant Isp 117,Y,0,,0,N,0,,R,"Ayush Communication - Admin",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,22.5271676,88.3660297
200233,"Ayush Communication (Picnic Garden)",9073218414,,"1-Kolkata",Anirban Das.,Y,0,,0,N,0,,R,"Ayush Communication - Admin",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,22.5286217,88.3821736
-,"Ayush Communication - Admin",9830817293,,"1-Kolkata",Anirudha,Y,0,,0,N,0,,D,"",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,22.5034435,88.3389011
187065,"B S Electronics",8240373909,,"1-Kolkata",Vacant ISP 36,Y,0,,0,N,0,,R,"",,"",,"",,,,,,,,0,,,,,,0,0,,0,,,,0,0000-00-00,0000-00-00,0000-00-00,,,,,22.5671653,88.3545484
