COMPANY NAME,Product Name in SFA,Branch Code,Branch Name,Active,PRODUCT TYPE
,ACC HPC,EW05,PATNA,yes,OTHER COMPETITOR
,SHREE,EW05,PATNA,yes,OTHER COMPETITOR
,BANGUR,EW05,PATNA,yes,OTHER COMPETITOR
,ACC F2R,EW05,PATNA,yes,OTHER COMPETITOR
,DALMIA,EW05,PATNA,yes,OTHER COMPETITOR
,AMBUJA PLUS,EW05,PATNA,yes,OTHER COMPETITOR
,RAMCO,EW05,PATNA,yes,OTHER COMPETITOR
,JSW,EW05,PATNA,yes,OTHER COMPETITOR
,AMBUJA,EW05,PATNA,yes,OTHER COMPETITOR
,NUVOCO DOUBLE BULL,EW05,PATNA,yes,OTHER COMPETITOR
,NUVOCO CONCRETO,EW05,PATNA,yes,OTHER COMPETITOR
,NUVOCO DURAGUARD,EW05,PATNA,yes,OTHER COMPETITOR
,ULTRATECH,EW05,PATNA,yes,OTHER COMPETITOR
,ULTRATECH PREMIUM,EW05,PATNA,yes,OTHER COMPETITOR
,ULTRATECH SUPER,EW05,PATNA,yes,OTHER COMPETITOR
,DALMIA DSP,EW05,PATNA,yes,OTHER COMPETITOR
,AMBUJA ADSTAR,EW05,PATNA,yes,OTHER COMPETITOR
,ACC ADSTAR,EW05,PATNA,yes,OTHER COMPETITOR
,STAR WEATHER SHIELD (TRADE),EW05,PATNA,yes,OTHER COMPETITOR
,STAR DHALAI MASTER TRADE,EW05,PATNA,yes,OPTIONAL STAR
,STAR CEMENT PPC,EW05,PATNA,yes,OPTIONAL STAR
,STAR CEMENT PPC(ADSTAR),EW05,PATNA,yes,MANDATORY STAR
