Branch_Code,Branch_Name,Branch_Location,Comp_Code (fk)/Comp_Name,Branch_State,Branch_Email_ID,Branch_Accounts_Email_ID,Alternative_Email_ID,plant name
A101,GUWAHATI,,,ASSAM,,,,
A102,LOWER ASSAM,,,ASSAM,,,,
A103,TURA,,,MEGHALAYA-TURA,,,,
A104,NAGAON,,,ASSAM,kishukeshav@starcement.co.in,,,
A105,TEZPUR,,,ASSAM,,,,
A106,LAKHIMPUR,,,ASSAM,,,,
A107,AP- BANDERDEWA,,,ARUNACHAL PRADESH,,,,
A108,AP- LEKHABALI,,,ARUNACHAL PRADESH,,,,
A109,AP- BHALUKPONG,,,ARUNACHAL PRADESH,,,,
A110,AP- TINSUKIA SIDE,,,ARUNACHAL PRADESH,,,,
A112,JORHAT,,,ASSAM,,,,
A113,GOLAGHAT,,,ASSAM,,,,
A114,SIBSAGAR,,,ASSAM,,,,
A115,DIBRUGARH,,,ASSAM,,,,
B001,AGARTALA,,,TRIPURA,,,,
B002,DHARMANAGAR,,,TRIPURA,,,,
B003,AIZWAL,,,MIZORAM,,,,
B004,SILCHAR,,,ASSAM-SILCHAR,,,,
B005,SHILLONG,,,MEGHALAYA,,,,
B006,JAINTIA HILLS,,,MEGHALAYA,,,,
C001,MANIPUR,,,MANIPUR,,,,
C002,NAGALAND,,,NAGALAND,,,,
DN01,COOCHBIHAR,,,NORTH BENGAL,,,,
DN02,ALIPURDUAR,,,NORTH BENGAL,,,,
DN03,JALPAIGURI,,,NORTH BENGAL,,,,
DN04,DARJEELING,,,NORTH BENGAL,,,,
DN05,SIKKIM,,,NORTH BENGAL,,,,
DN06,UTTAR DINAJPUR,,,NORTH BENGAL,,,,
DN07,DAKSHIN DINAJPUR,,,NORTH BENGAL,,,,
DN08,MALDA,,,NORTH BENGAL,,,,
DN09,MURSHIDABAD,,,NORTH BENGAL,,,,
DS01,BIRBHUM,,,SOUTH BENGAL,,,,
DS02,BURDWAN,,,SOUTH BENGAL,,,,
DS03,RANIGANJ,,,SOUTH BENGAL,,,,
DS04,BANKURA,,,SOUTH BENGAL,,,,
DS05,PURULIYA,,,SOUTH BENGAL,,,,
DS06,KOLKATA (COSSIPORE-1),,,SOUTH BENGAL,,,,
DS07,KOLKATA (COSSIPORE-2),,,SOUTH BENGAL,,,,
DS08,KRISHNANAGAR,,,SOUTH BENGAL,,,,
DS09,MOGRA,,,SOUTH BENGAL,,,,
DS10,KALIGHAT,,,SOUTH BENGAL,,,,
DS11,KOL(SHM/DANKUNI),,,SOUTH BENGAL,,,,
DS12,EAST MIDNAPORE,,,SOUTH BENGAL,,,,
DS13,WEST MIDNAPORE,,,SOUTH BENGAL,,,,
EE01,KISHANGANJ,,,BIHAR,,,,
EE02,KATIHAR & PURNIA,,,BIHAR,,,,
EE03,SAHARSA,,,BIHAR,,,,
EE04,BHAGALPUR,,,BIHAR,,,,
EE05,LAXISARAI,,,BIHAR,,,,
EE06,BEGUSARAI,,,BIHAR,,,,
EE07,KHAGARIA,,,BIHAR,,,,
EE08,SAMASTIPUR,,,BIHAR,,,,
EW01,MUZAFFARPUR,,,BIHAR,,,,
EW02,DARBHANGA,,,BIHAR,,,,
EW03,SIWAN,,,BIHAR,,,,
EW04,CHAPRA,,,BIHAR,,,,
EW05,PATNA,,,BIHAR,,,,
EW06,SARAI,,,BIHAR,,,,
EW07,GAYA,,,BIHAR,,,,
EW08,WARSHALIGANJ,,,BIHAR,,,,
F001,DHANBAD,,,JHARKHAND,,,,
F002,TATA,,,JHARKHAND,,,,
F003,RANCHI,,,JHARKHAND,,,,
F004,DEOGHAR,,,JHARKHAND,,,,
DN10,RAGHUNATHGANJ,,,NORTH BENGAL,,,,
DN11,COSSIMBAZAR,,,NORTH BENGAL,,,,
