depot code ,destination code ,freight,acedns,date
A101,DES00001,,,
A101,DES00002,,,
A101,DES00003,,,
A101,DES00004,,,
A101,DES00005,,,
A101,DES00006,,,
A101,DES00007,,,
A101,DES00008,,,
A101,DES00009,,,
A101,DES00010,,,
A101,DES00011,,,
A101,DES00012,,,
A101,DES00013,,,
A101,DES00014,,,
A101,DES00015,,,
A101,DES00016,,,
A101,DES00017,,,
A101,DES00018,,,
A101,DES00019,,,
A101,DES00020,,,
A101,DES00021,,,
A101,DES00022,,,
A101,DES00023,,,
A101,DES00024,,,
A101,DES00025,,,
A101,DES00026,,,
A101,DES00027,,,
A101,DES00028,,,
A101,DES00029,,,
A101,DES00030,,,
A101,DES00031,,,
A101,DES00032,,,
A101,DES00033,,,
A101,DES00034,,,
A101,DES00035,,,
A101,DES00036,,,
A101,DES00037,,,
A101,DES00038,,,
A101,DES00039,,,
A101,DES00040,,,
A101,DES00041,,,
A101,DES00042,,,
A101,DES00043,,,
A101,DES00044,,,
A101,DES00045,,,
A101,DES00046,,,
A101,DES00047,,,
A101,DES00048,,,
A101,DES00049,,,
A101,DES00050,,,
A101,DES00051,,,
A101,DES00052,,,
A101,DES00053,,,
A101,DES00054,,,
A101,DES00055,,,
A101,DES00056,,,
A101,DES00057,,,
A101,DES00058,,,
A101,DES00059,,,
A101,DES00060,,,
A101,DES00061,,,
A101,DES00062,,,
A101,DES00063,,,
A101,DES00064,,,
A101,DES00065,,,
A101,DES00066,,,
A101,DES00067,,,
A101,DES00068,,,
A101,DES00069,,,
A101,DES00070,,,
A101,DES00071,,,
A101,DES00072,,,
A101,DES00073,,,
A101,DES00074,,,
A101,DES00075,,,
A101,DES00076,,,
A101,DES00077,,,
A101,DES00078,,,
A101,DES00079,,,
A101,DES00080,,,
A101,DES00081,,,
A101,DES00082,,,
A101,DES00083,,,
A101,DES00084,,,
A101,DES00085,,,
A101,DES00086,,,
A101,DES00087,,,
A101,DES00088,,,
A101,DES00089,,,
A101,DES00090,,,
A101,DES00091,,,
A101,DES00092,,,
A101,DES00093,,,
A101,DES00094,,,
A101,DES00095,,,
A101,DES00096,,,
A101,DES00097,,,
A101,DES00098,,,
A101,DES00099,,,
A101,DES00100,,,
A101,DES00101,,,
A101,DES00102,,,
A101,DES00103,,,
A101,DES00104,,,
A101,DES00105,,,
A101,DES00106,,,
A101,DES00107,,,
A101,DES00108,,,
A101,DES00109,,,
A101,DES00110,,,
A101,DES00111,,,
A101,DES00112,,,
A101,DES00113,,,
A101,DES00114,,,
A101,DES00115,,,
A101,DES00116,,,
A101,DES00117,,,
A101,DES00118,,,
A101,DES00119,,,
A101,DES00120,,,
A101,DES00121,,,
A101,DES00122,,,
A101,DES00123,,,
A101,DES00124,,,
A101,DES00125,,,
A101,DES00126,,,
A101,DES00127,,,
A101,DES00128,,,
A101,DES00129,,,
A101,DES00130,,,
A101,DES00131,,,
A101,DES00132,,,
A101,DES00133,,,
A101,DES00134,,,
A101,DES00135,,,
A101,DES00136,,,
A101,DES00137,,,
A101,DES00138,,,
A101,DES00139,,,
A101,DES00140,,,
A101,DES00141,,,
A101,DES00142,,,
A101,DES00143,,,
A101,DES00144,,,
A101,DES00145,,,
A101,DES00146,,,
A101,DES00147,,,
A101,DES00148,,,
A101,DES00149,,,
A101,DES00150,,,
A101,DES00151,,,
A101,DES00152,,,
A101,DES00153,,,
A101,DES00154,,,
A101,DES00155,,,
A101,DES00156,,,
A101,DES00157,,,
A101,DES00158,,,
A101,DES00159,,,
A101,DES00160,,,
A101,DES00161,,,
A101,DES00162,,,
A101,DES00163,,,
A101,DES00164,,,
A101,DES00165,,,
A101,DES00166,,,
A101,DES00167,,,
A101,DES00168,,,
A101,DES00169,,,
A101,DES00170,,,
A101,DES00171,,,
A101,DES00172,,,
A101,DES00173,,,
A101,DES00174,,,
A101,DES00175,,,
A101,DES00176,,,
A101,DES00177,,,
A101,DES00178,,,
A101,DES00179,,,
A101,DES00180,,,
A101,DES00181,,,
A101,DES00182,,,
A101,DES00183,,,
A101,DES00184,,,
A101,DES00185,,,
A101,DES00186,,,
A101,DES00187,,,
A101,DES00188,,,
A101,DES00189,,,
A101,DES00190,,,
A101,DES00191,,,
A101,DES00192,,,
A101,DES00193,,,
A101,DES00194,,,
A101,DES00195,,,
A101,DES00196,,,
A101,DES00197,,,
A101,DES00198,,,
A101,DES00199,,,
A101,DES00200,,,
A101,DES00201,,,
A101,DES00202,,,
A101,DES00203,,,
A101,DES00204,,,
A101,DES00205,,,
A101,DES00206,,,
A101,DES00207,,,
A101,DES00208,,,
A101,DES00209,,,
A101,DES00210,,,
A101,DES00211,,,
A101,DES00212,,,
A101,DES00213,,,
A101,DES00214,,,
A101,DES00215,,,
A101,DES00216,,,
A101,DES00217,,,
A101,DES00218,,,
A101,DES00219,,,
A101,DES00220,,,
A101,DES00221,,,
A101,DES00222,,,
A101,DES00223,,,
A101,DES00224,,,
A101,DES00225,,,
A101,DES00226,,,
A101,DES00227,,,
A101,DES00228,,,
A101,DES00229,,,
A101,DES00230,,,
A101,DES00231,,,
A101,DES00232,,,
A101,DES00233,,,
A101,DES00234,,,
A101,DES00235,,,
A101,DES00236,,,
A101,DES00237,,,
A101,DES00238,,,
A101,DES00239,,,
A101,DES00240,,,
A101,DES00241,,,
A101,DES00242,,,
A101,DES00243,,,
A101,DES00244,,,
A101,DES00245,,,
A101,DES00246,,,
A101,DES00247,,,
A101,DES00248,,,
A101,DES00249,,,
A101,DES00250,,,
A101,DES00251,,,
A101,DES00252,,,
A101,DES00253,,,
A101,DES00254,,,
A101,DES00255,,,
A101,DES00256,,,
A101,DES00257,,,
A101,DES00258,,,
A101,DES00259,,,
A101,DES00260,,,
A101,DES00261,,,
A101,DES00262,,,
A102,DES00263,,,
A102,DES00264,,,
A102,DES00265,,,
A102,DES00266,,,
A102,DES00267,,,
A102,DES00268,,,
A102,DES00269,,,
A102,DES00270,,,
A102,DES00271,,,
A102,DES00272,,,
A102,DES00273,,,
A102,DES00274,,,
A102,DES00275,,,
