COMPANY NAME,Product Name in SFA,Branch Code,Branch Name,Active (yes),PRODUCT TYPE
STAR CEMENT,STAR CEMENT ANTIRUST,NTWB,DIRECT-NON TRADE (WB),yes,OPTIONAL STAR
SHREE,SHREE,NTWB,DIRECT-NON TRADE (WB),yes,OTHER COMPETITOR
ACC,ACC HPC,NTWB,DIRECT-NON TRADE (WB),yes,OTHER COMPETITOR
ULTRATECH,ULTRATECH,NTWB,DIRECT-NON TRADE (WB),yes,BENCHMARK COMPETITOR
ACC,ACC F2R,NTWB,DIRECT-NON TRADE (WB),yes,OTHER COMPETITOR
ULTRATECH,ULTRATECH PREMIUM,NTWB,DIRECT-NON TRADE (WB),yes,OTHER COMPETITOR
BANGUR,BANGUR,NTWB,DIRECT-NON TRADE (WB),yes,OTHER COMPETITOR
ULTRATECH,ULTRATECH SUPER,NTWB,DIRECT-NON TRADE (WB),yes,OTHER COMPETITOR
AMBUJA,AMBUJA PLUS,NTWB,DIRECT-NON TRADE (WB),yes,OTHER COMPETITOR
DALMIA,DALMIA DSP,NTWB,DIRECT-NON TRADE (WB),yes,OTHER COMPETITOR
AMBUJA,AMBUJA ADSTAR,NTWB,DIRECT-NON TRADE (WB),yes,OTHER COMPETITOR
ACC,ACC ADSTAR,NTWB,DIRECT-NON TRADE (WB),yes,OTHER COMPETITOR
DALMIA,DALMIA,NTWB,DIRECT-NON TRADE (WB),yes,OTHER COMPETITOR
JSW,JSW,NTWB,DIRECT-NON TRADE (WB),yes,OTHER COMPETITOR
AMBUJA,AMBUJA,NTWB,DIRECT-NON TRADE (WB),yes,OTHER COMPETITOR
NUVOCO,NUVOCO DOUBLE BULL,NTWB,DIRECT-NON TRADE (WB),yes,OTHER COMPETITOR
STAR CEMENT,STAR CEMENT PPC,NTWB,DIRECT-NON TRADE (WB),yes,OPTIONAL STAR
NUVOCO,NUVOCO CONCRETO,NTWB,DIRECT-NON TRADE (WB),yes,OTHER COMPETITOR
STAR CEMENT,STAR CEMENT PPC(ADSTAR),NTWB,DIRECT-NON TRADE (WB),yes,MANDATORY STAR
RAMCO,RAMCO,NTWB,DIRECT-NON TRADE (WB),yes,OTHER COMPETITOR
NUVOCO,NUVOCO DURAGUARD,NTWB,DIRECT-NON TRADE (WB),yes,OTHER COMPETITOR
