dns_branch_code,dns_destination_code,destination_name,acedns
DN01,DES10241,PIPLAY - EX SIKKIM,Y
DN01,DES10242,RANGPO - EX SIKKIM,Y
DN01,DES10243,SIKKIM (EX SILIGURI),Y
DN01,DES10244,MAJHITAR DUMP (SIKKIM),Y
DN01,DES10245,BAXIRHAT,Y
DN01,DES10246,DASPARA(SLG),Y
DN01,DES10247,Dhaprahat ,Y
DN01,DES10248,DINHATA(SLG),Y
DN01,DES10249,KALIAGANJ - SLG,Y
DN01,DES10250,PHASIDEWA,Y
DN01,DES10251,RAMGANJ(SLG),Y
DN01,DES10252,Rampur SLG,Y
DN01,DES10253,RANGAPANI,Y
DN01,DES10254,Sevoke (Helipad to Sevoke Baza,Y
DN01,DES10255,SILIGURI(SLG),Y
DN01,DES10256,SONAPUR(ISLAMPUR)(SLG),Y
DN01,DES10257,BOXIRHUT DUMP,Y
DN01,DES10258,DARJELLING MORE DUMP,Y
DN01,DES10259,SILIGURI 1 DUMP,Y
DN01,DES10260,SILIGURI 2 DUMP,Y
DN01,DES10261,SILIGURIDUMP 2,Y
DN01,DES10262,FULBARI DUMP,Y
DN02,DES10241,PIPLAY - EX SIKKIM,Y
DN02,DES10242,RANGPO - EX SIKKIM,Y
DN02,DES10243,SIKKIM (EX SILIGURI),Y
DN02,DES10244,MAJHITAR DUMP (SIKKIM),Y
DN02,DES10245,BAXIRHAT,Y
DN02,DES10246,DASPARA(SLG),Y
DN02,DES10247,Dhaprahat ,Y
DN02,DES10248,DINHATA(SLG),Y
DN02,DES10249,KALIAGANJ - SLG,Y
DN02,DES10250,PHASIDEWA,Y
DN02,DES10251,RAMGANJ(SLG),Y
DN02,DES10252,Rampur SLG,Y
DN02,DES10253,RANGAPANI,Y
DN02,DES10254,Sevoke (Helipad to Sevoke Baza,Y
DN02,DES10255,SILIGURI(SLG),Y
DN02,DES10256,SONAPUR(ISLAMPUR)(SLG),Y
DN02,DES10257,BOXIRHUT DUMP,Y
DN02,DES10258,DARJELLING MORE DUMP,Y
DN02,DES10259,SILIGURI 1 DUMP,Y
DN02,DES10260,SILIGURI 2 DUMP,Y
DN02,DES10261,SILIGURIDUMP 2,Y
DN02,DES10262,FULBARI DUMP,Y
DN03,DES10241,PIPLAY - EX SIKKIM,Y
DN03,DES10242,RANGPO - EX SIKKIM,Y
DN03,DES10243,SIKKIM (EX SILIGURI),Y
DN03,DES10244,MAJHITAR DUMP (SIKKIM),Y
DN03,DES10245,BAXIRHAT,Y
DN03,DES10246,DASPARA(SLG),Y
DN03,DES10247,Dhaprahat ,Y
DN03,DES10248,DINHATA(SLG),Y
DN03,DES10249,KALIAGANJ - SLG,Y
DN03,DES10250,PHASIDEWA,Y
DN03,DES10251,RAMGANJ(SLG),Y
DN03,DES10252,Rampur SLG,Y
DN03,DES10253,RANGAPANI,Y
DN03,DES10254,Sevoke (Helipad to Sevoke Baza,Y
DN03,DES10255,SILIGURI(SLG),Y
DN03,DES10256,SONAPUR(ISLAMPUR)(SLG),Y
DN03,DES10257,BOXIRHUT DUMP,Y
DN03,DES10258,DARJELLING MORE DUMP,Y
DN03,DES10259,SILIGURI 1 DUMP,Y
DN03,DES10260,SILIGURI 2 DUMP,Y
DN03,DES10261,SILIGURIDUMP 2,Y
DN03,DES10262,FULBARI DUMP,Y
DN04,DES10241,PIPLAY - EX SIKKIM,Y
DN04,DES10242,RANGPO - EX SIKKIM,Y
DN04,DES10243,SIKKIM (EX SILIGURI),Y
DN04,DES10244,MAJHITAR DUMP (SIKKIM),Y
DN04,DES10245,BAXIRHAT,Y
DN04,DES10246,DASPARA(SLG),Y
DN04,DES10247,Dhaprahat ,Y
DN04,DES10248,DINHATA(SLG),Y
DN04,DES10249,KALIAGANJ - SLG,Y
DN04,DES10250,PHASIDEWA,Y
DN04,DES10251,RAMGANJ(SLG),Y
DN04,DES10252,Rampur SLG,Y
DN04,DES10253,RANGAPANI,Y
DN04,DES10254,Sevoke (Helipad to Sevoke Baza,Y
DN04,DES10255,SILIGURI(SLG),Y
DN04,DES10256,SONAPUR(ISLAMPUR)(SLG),Y
DN04,DES10257,BOXIRHUT DUMP,Y
DN04,DES10258,DARJELLING MORE DUMP,Y
DN04,DES10259,SILIGURI 1 DUMP,Y
DN04,DES10260,SILIGURI 2 DUMP,Y
DN04,DES10261,SILIGURIDUMP 2,Y
DN04,DES10262,FULBARI DUMP,Y
DN05,DES10241,PIPLAY - EX SIKKIM,Y
DN05,DES10242,RANGPO - EX SIKKIM,Y
DN05,DES10243,SIKKIM (EX SILIGURI),Y
DN05,DES10244,MAJHITAR DUMP (SIKKIM),Y
DN05,DES10245,BAXIRHAT,Y
DN05,DES10246,DASPARA(SLG),Y
DN05,DES10247,Dhaprahat ,Y
DN05,DES10248,DINHATA(SLG),Y
DN05,DES10249,KALIAGANJ - SLG,Y
DN05,DES10250,PHASIDEWA,Y
DN05,DES10251,RAMGANJ(SLG),Y
DN05,DES10252,Rampur SLG,Y
DN05,DES10253,RANGAPANI,Y
DN05,DES10254,Sevoke (Helipad to Sevoke Baza,Y
DN05,DES10255,SILIGURI(SLG),Y
DN05,DES10256,SONAPUR(ISLAMPUR)(SLG),Y
DN05,DES10257,BOXIRHUT DUMP,Y
DN05,DES10258,DARJELLING MORE DUMP,Y
DN05,DES10259,SILIGURI 1 DUMP,Y
DN05,DES10260,SILIGURI 2 DUMP,Y
DN05,DES10261,SILIGURIDUMP 2,Y
DN05,DES10262,FULBARI DUMP,Y
