dns_branch_code,dns_destination_code,destination_name,acedns
A101,DES00001,12 MILE (KAM),Y
A101,DES00002,ABHOYPUR,Y
A101,DES00003,AJARA,Y
A101,DES00004,AMSING JORABAT (KAM),Y
A101,DES00005,BAJARA,Y
A101,DES00006,BAMUNI GAON (KAM),Y
A101,DES00007,BANGALIPARA,Y
A101,DES00008,BARAMBOI (KAM),Y
A101,DES00009,BARBHAG - BIJULI GHAT,N
A101,DES00010,BARBHAG - DAMODAR DHAM,N
A101,DES00011,BARBHAG - KAMAR KUCHI,N
A101,DES00012,BARBHAG - KAVIA,N
A101,DES00013,BARBHAG - KOYA,N
A101,DES00014,BARKHETRI - ADABARI,N
A101,DES00015,BARKHETRI - CHARABARI,N
A101,DES00016,BARKHETRI - LOHARKATHA,N
A101,DES00017,BARKHETRI_1 - BARTALA,N
A101,DES00018,BARKHETRI_1 - BORI,N
A101,DES00019,BARKHETRI_1 - CHATLA,N
A101,DES00020,BARKHETRI_1 - KAPALHARI,N
A101,DES00021,BARKHETRI_1 - KAPLABORI,N
A101,DES00022,BARKHETRI_1 - MUKALMUA,N
A101,DES00023,BARKHETRI_1 - RAMPUR (MUKALMA),N
A101,DES00024,BARKHETRI_KHANDBARI - BARLIARPUR,N
A101,DES00025,BARKHETRI_KHANDBARI - DAULASAL,N
A101,DES00026,BARKHETRI_KHANDBARI - KHANDBARI,N
A101,DES00027,BARNI DUMP,Y
A101,DES00028,BENGALIPARA_GORESWAR - AMRESH NAGAR,N
A101,DES00029,BENGALIPARA_GORESWAR - ANDHRA GHAT,N
A101,DES00030,BENGALIPARA_GORESWAR - BENGALIPARA (GORESWAR),N
A101,DES00031,BENGALIPARA_GORESWAR - SOAGPUR / SUATPUR,N
A101,DES00032,BEZRA - BALIKUCHI,N
A101,DES00033,BEZRA - FULING,N
A101,DES00034,BEZRA - GASHBARI,N
A101,DES00035,BEZRA - MANDAKANTA,N
A101,DES00036,BEZRA - SHOLAMARI,N
A101,DES00037,BIDHIA_JAJIKONA - BAGAL CHOWK,N
A101,DES00038,BIDHIA_JAJIKONA - MUKTAPUR,N
A101,DES00039,BIDHIA_JAJIKONA - SUTARGAON,N
A101,DES00040,BIDHIA_JAJIKONA 1 - BEJERA,N
A101,DES00041,BIDHIA_JAJIKONA 1 - NANORA,N
A101,DES00042,BIDHIA_JAJIKONA 1 - TRILOKYA CHOWK,N
A101,DES00043,BIJOLI,Y
A101,DES00044,BOKO - BAMUNIGAON,N
A101,DES00045,BOKO - BHALUKGHATA,N
A101,DES00046,BOKO - BOKO,N
A101,DES00047,BOKO - GOHALCONA,N
A101,DES00048,BOKO - HAHEM TINALI,N
A101,DES00049,BOKO - JAMBARI,N
A101,DES00050,BOKO - KOMAPATULI,N
A101,DES00051,BOKO - LAMPARA,N
A101,DES00052,BOKO - SINGARA,N
A101,DES00053,BOKO - SUKUNIA,N
A101,DES00054,BOKO 1 - BONDIPARA,N
A101,DES00055,BOKO 1 - HAHEM,N
A101,DES00056,BOKO 1 - MALANG TINALI,N
A101,DES00057,BOKO 1 - RAJAPARA,N
A101,DES00058,BONGARA (GHY),Y
A101,DES00059,BORIGOG_BONBHAG - ARIKUCHI,N
A101,DES00060,BORIGOG_BONBHAG - BORKHOLA,N
A101,DES00061,BORKA (GHY),Y
A101,DES00062,BULLUT BAZAR (GHY),Y
A101,DES00063,CHAMARIA - ANDAMANA BAZAR,N
A101,DES00064,CHAMARIA - BADLA BAZAR,N
A101,DES00065,CHAMARIA - BALIJHAR,N
A101,DES00066,CHAMARIA - CHAMARIA,N
A101,DES00067,CHAMARIA - DEKACHANG,N
A101,DES00068,CHAMARIA - DEKAPARA,N
A101,DES00069,CHAMARIA - HEKARA,N
A101,DES00070,CHAMARIA - JAMLAI,N
A101,DES00071,CHAMARIA - MALIBARI NEW,N
A101,DES00072,CHAMARIA - MALIBARI OLD,N
A101,DES00073,CHAMARIA - MANDIRA,N
A101,DES00074,CHAMARIA - NAGARBERA,N
A101,DES00075,CHAMARIA - TOPAMARI,N
A101,DES00076,CHANDRAPUR - BONDA,N
A101,DES00077,CHANDRAPUR - CHANDRAPUR,N
A101,DES00078,CHANDRAPUR - N.E.ROOFING BONDA,N
A101,DES00079,CHANDRAPUR - PANIKHETI,N
A101,DES00080,CHANDRAPUR(HILL SIDE) - CHANDRAPUR HILL SIDE,N
A101,DES00081,CHANDRAPUR(HILL SIDE) - PANIKHETI(HILL SIDE),N
A101,DES00082,CHARABARI (GHY),Y
A101,DES00083,CHAYANI BORDUAR - BORIHAT,N
A101,DES00084,CHAYANI BORDUAR - LAHOR GHAT,N
A101,DES00085,CHAYANI BORDUAR - MANIYARI,N
A101,DES00086,CHAYANI BORDUAR - MIRZA,N
A101,DES00087,CHAYANI BORDUAR - PALASBARI,N
A101,DES00088,CHAYANI BORDUAR L - BAGAN BAZAR,N
A101,DES00089,CHAYANI BORDUAR L - GARLIK,N
A101,DES00090,CHAYANI BORDUAR L - JAROBARI,N
A101,DES00091,CHAYANI BORDUAR L - RANI BARI,N
A101,DES00092,CHAYANI BORDUAR L - SONDUBHI,N
A101,DES00093,CHAYGAON,Y
A101,DES00094,CHAYGAON - CHHAYGAON,N
A101,DES00095,CHAYGAON - GOBORDHAN,N
A101,DES00096,CHAYGAON - GUMI,N
A101,DES00097,CHENGA - BOHARI / TARABARI,N
A101,DES00098,CHENGA - CHENGA,N
A101,DES00099,CHENGA - KONGRA,N
A101,DES00100,CHENGA - KUKARPAR,N
A101,DES00101,CHENGA - MAJDIA,N
A101,DES00102,CHENGA - NAOGAON,N
A101,DES00103,CHEPTI (GHY),Y
A101,DES00104,DEMOW (GUWAHATI),Y
A101,DES00105,DHUBGURI (GHY),Y
A101,DES00106,DIMORIA,N
A101,DES00107,DIMORIA - 12 MILE,N
A101,DES00108,DIMORIA - BERNIHAT,N
A101,DES00109,DIMORIA - JORABAT,N
A101,DES00110,DIMORIA - KAMAKUCHI,N
A101,DES00111,DIMORIA - NAZIRA GHAT,N
A101,DES00112,DIMORIA - NINETH MILE HILL SIDE,N
A101,DES00113,DIMORIA - SONAPUR,N
A101,DES00114,DIMORIA 1 - AMSING JORABAT,N
A101,DES00115,DIMORIA 1 - CHAMTA / TETILIA,N
A101,DES00116,DIMORIA 1 - DIGARU,N
A101,DES00117,DIMORIA 1 - KALANGPAR,N
A101,DES00118,DIMORIA 1 - MALIABARI,N
A101,DES00119,DIMORIA L - KHETRI,N
A101,DES00120,DULAHAL,Y
A101,DES00121,DUMUNI CHOWKI,Y
A101,DES00122,EX- FACTORY (GGU),Y
A101,DES00123,GMC 1 - BAMUNIMAIDAN,N
A101,DES00124,GMC 1 - BHANGAGARH,N
A101,DES00125,GMC 1 - BIRKUCHI,N
A101,DES00126,GMC 1 - CRISTIAN BASTI,N
A101,DES00127,GMC 1 - GANESHGURI,N
A101,DES00128,GMC 1 - GUWAHATI HIGHCOURT,N
A101,DES00129,GMC 1 - HENGRABARI,N
A101,DES00130,GMC 1 - KHARGULI,N
A101,DES00131,GMC 1 - NARENGI TINALI,N
A101,DES00132,GMC 1 - PALTAN BAZAR,N
A101,DES00133,GMC 1 - PATHARQUARY,N
A101,DES00134,GMC 1 - SATHGAON,N
A101,DES00135,GMC 1 - SHAKTI,N
A101,DES00136,GMC 1 - SIX MILE,N
A101,DES00137,GMC 1 - TARUN NAGAR,N
A101,DES00138,GMC 1 - ZOO ROAD,N
A101,DES00139,GMC 2 - BETKUCHI,N
A101,DES00140,GMC 2 - BHARALUMUKH,N
