customer_code(fk)/customer_name,emp_code/emp_name,Invoice Id,Invoice Date,Invoice amount,Due amount
A006,11001462;1101165;1101176;1200038;1101229;1200180;1101258,ILBD/00784/21-22,26-05-2021,47748,47748
A006,11001462;1101165;1101176;1200038;1101229;1200180;1101258,ILBD/00796/21-22,26-05-2021,47748,47748
A006,11001462;1101165;1101176;1200038;1101229;1200180;1101258,ILBD/00776/21-22,25-05-2021,47748,47748
A006,11001462;1101165;1101176;1200038;1101229;1200180;1101258,ILBD/00779/21-22,25-05-2021,47748,47748
A006,11001462;1101165;1101176;1200038;1101229;1200180;1101258,ILBD/00783/21-22,25-05-2021,47748,47748
A006,11001462;1101165;1101176;1200038;1101229;1200180;1101258,ILKL/00322/21-22,24-05-2021,190991,190991
A006,11001462;1101165;1101176;1200038;1101229;1200180;1101258,ILKL/00325/21-22,24-05-2021,243513,243513
A006,11001462;1101165;1101176;1200038;1101229;1200180;1101258,ILBD/00734/21-22,18-05-2021,47748,47748
A006,11001462;1101165;1101176;1200038;1101229;1200180;1101258,ILBD/00730/21-22,17-05-2021,47748,47748
A006,11001462;1101165;1101176;1200038;1101229;1200180;1101258,ILBD/00731/21-22,17-05-2021,47748,12668.96
A007,1101245;1200139;1100718;1101083,IGFX/09097/22-EX,27-05-2021,108348,108348
A007,1101245;1200139;1100718;1101083,IGFX/09134/22-EX,27-05-2021,108348,108348
A007,1101245;1200139;1100718;1101083,IGFX/08961/22-EX,26-05-2021,108348,108348
A007,1101245;1200139;1100718;1101083,IGFX/08978/22-EX,26-05-2021,108348,108348
A007,1101245;1200139;1100718;1101083,IGFX/08799/22-EX,25-05-2021,108348,108348
A007,1101245;1200139;1100718;1101083,IGFX/08649/22-EX,24-05-2021,108348,108348
A007,1101245;1200139;1100718;1101083,IGFX/08404/22-EX,23-05-2021,135435,135435
A007,1101245;1200139;1100718;1101083,IGFX/08515/22-EX,23-05-2021,108348,108348
A007,1101245;1200139;1100718;1101083,IGFX/08302/22-EX,22-05-2021,108348,108348
A007,1101245;1200139;1100718;1101083,IGFX/08099/22-EX,20-05-2021,108348,56441.91
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/09006/22-EX,26-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/09009/22-EX,26-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08670/22-EX,25-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08749/22-EX,25-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08752/22-EX,25-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08759/22-EX,25-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08774/22-EX,25-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,ILL3/00054/21-22,25-05-2021,67417,67417
A010,AEMP000799000505;1100565;1200139;1100722,ILL3/00056/21-22,25-05-2021,67417,67417
A010,AEMP000799000505;1100565;1200139;1100722,ILL3/00057/21-22,25-05-2021,71912,71912
A010,AEMP000799000505;1100565;1200139;1100722,ILL3/00043/21-22,24-05-2021,67417,67417
A010,AEMP000799000505;1100565;1200139;1100722,ILL3/00044/21-22,24-05-2021,67417,67417
A010,AEMP000799000505;1100565;1200139;1100722,ILL3/00045/21-22,24-05-2021,71912,71912
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08554/22-EX,24-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08578/22-EX,24-05-2021,179780,179780
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08586/22-EX,24-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08592/22-EX,24-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08598/22-EX,24-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08666/22-EX,24-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08408/22-EX,23-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08417/22-EX,23-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08418/22-EX,23-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08419/22-EX,23-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,ILL3/00037/21-22,23-05-2021,67417,67417
A010,AEMP000799000505;1100565;1200139;1100722,ILL3/00038/21-22,23-05-2021,71912,71912
A010,AEMP000799000505;1100565;1200139;1100722,ILL3/00040/21-22,23-05-2021,67417,67417
A010,AEMP000799000505;1100565;1200139;1100722,ILL3/00030/21-22,22-05-2021,67417,67417
A010,AEMP000799000505;1100565;1200139;1100722,ILL3/00031/21-22,22-05-2021,71912,71912
A010,AEMP000799000505;1100565;1200139;1100722,ILL3/00033/21-22,22-05-2021,67417,67417
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08336/22-EX,22-05-2021,62923,62923
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08337/22-EX,22-05-2021,44945,44945
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08366/22-EX,22-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08371/22-EX,22-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08383/22-EX,22-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08398/22-EX,22-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08399/22-EX,22-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08159/22-EX,21-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08180/22-EX,21-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08194/22-EX,21-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08201/22-EX,21-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08219/22-EX,21-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08253/22-EX,21-05-2021,62923,62923
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08254/22-EX,21-05-2021,44945,44945
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08255/22-EX,21-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08274/22-EX,21-05-2021,134835,134835
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08294/22-EX,21-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08297/22-EX,21-05-2021,179780,179780
A010,AEMP000799000505;1100565;1200139;1100722,IG1B/01362/22-EX,21-05-2021,71912,71912
A010,AEMP000799000505;1100565;1200139;1100722,IG1B/01364/22-EX,21-05-2021,67417,67417
A010,AEMP000799000505;1100565;1200139;1100722,IG1B/01365/22-EX,21-05-2021,67417,67417
A010,AEMP000799000505;1100565;1200139;1100722,IG1B/01348/22-EX,20-05-2021,67417,67417
A010,AEMP000799000505;1100565;1200139;1100722,IG1B/01349/22-EX,20-05-2021,71912,71912
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08033/22-EX,20-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08038/22-EX,20-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08077/22-EX,20-05-2021,179780,179780
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08091/22-EX,20-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08104/22-EX,20-05-2021,67417,67417
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08108/22-EX,20-05-2021,107868,107868
A010,AEMP000799000505;1100565;1200139;1100722,IGFX/08119/22-EX,20-05-2021,107868,107868
