customer_code(fk)/customer_name,emp_code/emp_name,Invoice Id,Invoice Date,Invoice amount,Due amount
WBA094,1100764,IDKG/00893/18-19,25-01-2019,74160,74160
WBA094,1100764,JGWK/00887/18-19,10-01-2019,8960,8960
WBA094,1100764,IDKG/00796/18-19,15-12-2018,98880,41780
NEA170,1100304,IGFX/01540/20-EX,13-04-2019,123300,123300
NEA170,1100304,IGFX/43828/19-EX,25-03-2019,123300,1374
BHA038,1100387,PCGB/02950/17-18,15-02-2018,234635,199835
NEA199,1101085,IGFX/41211/19-EX,08-03-2019,164800,151593
NEA178,1100295,IGDS/00187/19-20,21-04-2019,315700,286478
NEA028,AEMP000592000329;1100664,IGFX/07624/20-EX,30-05-2019,169600,169600
NEA028,AEMP000592000329;1100664,IGFX/06613/20-EX,23-05-2019,169600,169600
NEA028,AEMP000592000329;1100664,IGFX/05785/20-EX,15-05-2019,169600,169600
NEA028,AEMP000592000329;1100664,IGFX/04515/20-EX,05-05-2019,166400,124996
A006,1100435,ILBD/01196/19-20,03-06-2019,46420,46420
A006,1100435,ILBD/01187/19-20,02-06-2019,42200,42200
A006,1100435,ILBD/01188/19-20,02-06-2019,42200,42200
A006,1100435,ILBD/01126/19-20,30-05-2019,42200,42200
A006,1100435,ILBD/01127/19-20,30-05-2019,42200,42200
A006,1100435,ILBD/01114/19-20,29-05-2019,42200,42200
A006,1100435,ILBD/01107/19-20,29-05-2019,42200,42200
A006,1100435,ILBD/01108/19-20,29-05-2019,42200,42200
A006,1100435,ILBD/01120/19-20,29-05-2019,42200,42200
A006,1100435,ILBD/01066/19-20,26-05-2019,42200,42200
A006,1100435,ILBD/01056/19-20,25-05-2019,42200,42200
A006,1100435,ILBD/01036/19-20,23-05-2019,42200,42200
A006,1100435,ILBD/01035/19-20,23-05-2019,42200,42200
A006,1100435,ILBD/00988/19-20,21-05-2019,42200,42200
A006,1100435,ILBD/00995/19-20,21-05-2019,42200,42200
A006,1100435,ILBD/00976/19-20,20-05-2019,42200,42200
A006,1100435,ILBD/00979/19-20,20-05-2019,42200,42200
A006,1100435,ILBD/00987/19-20,20-05-2019,42200,42200
A006,1100435,ILBD/00966/19-20,19-05-2019,42200,42200
A006,1100435,ILBD/00951/19-20,18-05-2019,42200,42200
A006,1100435,ILBD/00952/19-20,18-05-2019,42200,42200
A006,1100435,ILBD/00953/19-20,18-05-2019,42200,42200
A006,1100435,ILBD/00957/19-20,18-05-2019,42200,42200
A006,1100435,ILBD/00939/19-20,17-05-2019,42200,42200
A006,1100435,ILBD/00940/19-20,17-05-2019,42200,42200
A006,1100435,ILBD/00941/19-20,17-05-2019,42200,42200
A006,1100435,ILBD/00948/19-20,17-05-2019,42200,42200
A006,1100435,ILBD/00910/19-20,14-05-2019,42200,42200
A006,1100435,ILBD/00914/19-20,14-05-2019,42200,42200
A006,1100435,ILBD/00884/19-20,12-05-2019,42200,42200
A006,1100435,ILBD/00885/19-20,12-05-2019,42200,42200
A006,1100435,ILBD/00875/19-20,11-05-2019,42200,12063
WBA032,CMCL_206,IDDS/00490/19-20,29-05-2019,74400,74400
WBA032,CMCL_206,IDDS/00395/19-20,15-05-2019,37200,37200
WBA032,CMCL_206,IDDS/00341/19-20,09-05-2019,119040,119040
WBA032,CMCL_206,IDDS/00335/19-20,08-05-2019,119040,119040
WBA032,CMCL_206,IDDS/00336/19-20,08-05-2019,119040,119040
WBA032,CMCL_206,IDDS/00337/19-20,08-05-2019,44640,44640
WBA032,CMCL_206,IDDS/00338/19-20,08-05-2019,38200,38200
WBA032,CMCL_206,JGWK/00110/19-20,30-04-2019,31020,26105
NEA045,1101047;1200178,ILCB/00288/19-20,03-06-2019,84000,84000
NEA045,1101047;1200178,ILCB/00282/19-20,01-06-2019,210000,210000
NEA045,1101047;1200178,ILCB/00283/19-20,01-06-2019,201600,201600
NEA045,1101047;1200178,ILCB/00275/19-20,31-05-2019,176400,176400
NEA045,1101047;1200178,ILCB/00279/19-20,31-05-2019,67200,67200
NEA045,1101047;1200178,ILCB/00267/19-20,29-05-2019,180600,910
NEA024,1100295,IGLL/00150/19-20,24-05-2019,45500,45500
NEA024,1100295,IGLL/00149/19-20,24-05-2019,45500,36090
A259,1100387,JGPK/00018/19-20,14-05-2019,6430,6430
A259,1100387,JGPK/00354/18-19,31-03-2019,1200,1200
A259,1100387,IGBG/00343/18-19,14-03-2019,52650,52650
A259,1100387,IGUV/00210/18-19,07-03-2019,178500,161079.5
A007,1101145,IGFX/08065/20-EX,03-06-2019,125700,125700
A007,1101145,IGFX/07883/20-EX,02-06-2019,125700,125700
A007,1101145,IGFX/07596/20-EX,30-05-2019,125700,125700
A007,1101145,IGFX/07460/20-EX,29-05-2019,125700,20962
WBA072,AEMP000799000100,ILSG/01498/19-20,01-06-2019,23700,23700
WBA072,AEMP000799000100,ILSG/01499/19-20,01-06-2019,23700,23700
WBA072,AEMP000799000100,ILSG/01465/19-20,31-05-2019,48600,48600
WBA072,AEMP000799000100,ILSG/01449/19-20,31-05-2019,24300,24300
WBA072,AEMP000799000100,ILSG/01414/19-20,29-05-2019,24300,24300
WBA072,AEMP000799000100,IGSL/01226/19-20,28-05-2019,24300,24300
WBA072,AEMP000799000100,IGSL/01080/19-20,25-05-2019,24300,24300
WBA072,AEMP000799000100,IGSL/01104/19-20,25-05-2019,24300,24300
WBA072,AEMP000799000100,IGSL/00938/19-20,21-05-2019,24300,24300
WBA072,AEMP000799000100,ILSG/01273/19-20,20-05-2019,24300,24300
WBA072,AEMP000799000100,ILSG/01200/19-20,17-05-2019,24300,24300
WBA072,AEMP000799000100,ILSG/01164/19-20,15-05-2019,24300,24188.25
BHA058,1101152,JGPK/00018/19-20,14-05-2019,24570,24570
BHA058,1101152,JGPK/00354/18-19,31-03-2019,1800,1800
BHA058,1101152,IGKV/01180/18-19,28-03-2019,141600,73014
BHA036,1100387,PCGB/02951/17-18,15-02-2018,466803,426803
A071,1100304,IGFX/07869/20-EX,01-06-2019,209500,209500
A071,1100304,IGFX/07431/20-EX,29-05-2019,209500,98698
A156,1100790,IGFX/07903/20-EX,02-06-2019,126900,126900
A156,1100790,IGFX/07311/20-EX,28-05-2019,126900,58040
WBA077,CMCL_129,IGRI/00024/19-20,29-05-2019,118500,116799
A195,CMCL_221,IDDS/00544/19-20,03-06-2019,117760,117760
A195,CMCL_221,IDDS/00545/19-20,03-06-2019,37800,37800
A195,CMCL_221,IDDS/00549/19-20,03-06-2019,154560,154560
A195,CMCL_221,IDRG/00336/19-20,31-05-2019,51800,51800
A195,CMCL_221,IDRG/00348/19-20,31-05-2019,74000,74000
