customer_code(fk)/customer_name,emp_code/emp_name,Invoice Id,Invoice Date,Invoice amount,Due amount
A212,AEMP000799000100,JGWK/00956/17-18,31-03-2018,147978,147978
A212,AEMP000799000100,JGWK/00644/17-18,16-02-2018,7100,7100
A212,AEMP000799000100,ISDS/01217/17-18,25-11-2017,124800,51504
BHA023,1100480,JDWK/00377/17-18,21-02-2018,264918,168306
NEA170,1100304,IGFX/04407/19-EX,04-05-2018,120900,120900
NEA170,1100304,IGFX/03578/19-EX,27-04-2018,80600,30170
BHA038,1100201,PCGB/02950/17-18,15-02-2018,234635,224635
NEA120,1100435,ILSL/01149/18-19,15-05-2018,19800,19800
NEA120,1100435,ILSL/01165/18-19,15-05-2018,39600,39600
NEA120,1100435,ILSL/01095/18-19,13-05-2018,19800,19800
NEA120,1100435,ILSL/01088/18-19,13-05-2018,39600,39600
NEA120,1100435,ILSL/01089/18-19,13-05-2018,39600,39600
NEA120,1100435,ILBD/00544/18-19,12-05-2018,39600,39600
NEA120,1100435,ILSL/01062/18-19,12-05-2018,41100,41100
NEA120,1100435,ILKL/00550/18-19,12-05-2018,79200,79200
NEA120,1100435,ILSL/01063/18-19,12-05-2018,41100,41100
NEA120,1100435,ILSL/01083/18-19,12-05-2018,19800,19800
NEA120,1100435,ILSL/01061/18-19,11-05-2018,19800,19800
NEA120,1100435,ILSL/00993/18-19,07-05-2018,19800,19800
NEA120,1100435,ILSL/00979/18-19,05-05-2018,19800,19800
NEA120,1100435,ILSL/00960/18-19,04-05-2018,39600,39600
NEA120,1100435,ILSL/00961/18-19,04-05-2018,41100,41100
NEA120,1100435,ILSL/00926/18-19,03-05-2018,19800,19800
NEA120,1100435,ILSL/00930/18-19,03-05-2018,41100,41100
NEA120,1100435,ILSL/00920/18-19,03-05-2018,19800,19800
NEA120,1100435,ILSL/00887/18-19,02-05-2018,19800,19800
NEA120,1100435,ILSL/00888/18-19,02-05-2018,19800,19800
NEA120,1100435,ILSL/00894/18-19,02-05-2018,19800,19800
