Branch Code,Branch Name,April,April Achv.,May,May Achv.,June,June Achv.,July,July Achv.,August,August Achv.,September,September Achv.,October,October Achv.,November,November Achv.,December,December Achv.,January,January Achv.,February,February Achv.,March,March Achv.
DN01,COOCHBIHAR,11000,9768,9500,6854,9000,6823,8000,2326,7500,6339,7500,6393,8500,7432,8500,5502,11000,6663,10500,6796,11000,,12000,
DN02,ALIPURDUAR,2000,2132,1900,1412,1700,1191,1600,445,1500,1260,1700,1381,1900,1363,1900,1075,2100,1176,2100,1374,2200,,2300,
DN03,JALPAIGURI,6500,6691,6200,5987,5700,5513,5500,2061,5500,4961,5800,5549,5800,5499,6000,5799,6200,6156,6200,6513,6500,,7300,
DN04,DARJEELING,2500,2850,2500,2902,2300,2887,2200,1756,2200,3341,2400,3294,2400,2895,2600,3138,2900,3124,2600,3998,2700,,2900,
DN05,SIKKIM,3200,4268,3100,3489,3000,3425,2800,3044,2800,4015,3000,4183,3100,2473,3200,1900,3300,2518,3200,3164,3200,,3400,
DN06,UTTAR DINAJPUR,4100,2265,4100,2205,3800,2145,3700,1405,3600,1738,3900,1663,4000,1693,4000,2113,4200,1205,4100,1904,4000,,4500,
DN07,DAKSHIN DINAJPUR,2100,1211,2100,1126,2100,1029,1800,380,1600,376,1800,666,1900,556,2100,666,2200,610,2200,886,2100,,2200,
DN08,MALDA,3400,3116,3400,2336,3400,3118,3200,2260,3100,1555,3200,1630,3400,2040,3500,2145,3600,1589,3500,2315,3500,,3600,
DN09,MURSHIDABAD,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,
DS01,BIRBHUM,2700,2404,2700,2006,2600,2805,2500,2340,2400,2348,2600,2228,2700,2236,2800,1750,3000,2051,2800,1478,2800,,3000,
DS02,BURDWAN,1800,1086,1800,1066,1700,1400,1600,1044,1500,1010,1700,1083,1800,1041,1800,1013,2100,928,1900,1007,1900,,2100,
DS03,RANIGANJ,2300,667,2300,970,2300,1209,2200,971,2100,761,2300,1120,2300,823,2400,623,2500,858,2300,921,2300,,2500,
DS04,BANKURA,1800,668,1800,951,1700,1147,1600,1047,1600,1001,1700,1007,1800,718,1800,737,2000,641,1900,452,1900,,2100,
DS05,PURULIYA,600,0,600,0,600,0,500,0,600,0,700,112,700,160,700,48,800,112,700,128,700,,800,
DS12,EAST MIDNAPORE,2200,775,2100,872,2100,1405,2100,789,1900,669,2100,732,2100,585,2200,491,2400,470,2400,666,2500,,2400,
DS13,WEST MIDNAPORE,2000,716,2000,925,1900,1408,1800,1148,1700,990,1900,1019,2000,1014,2100,1001,2200,1004,2200,845,2100,,2200,
DS06,Kolkata (Cossipore) - 1,4500,1671,4400,3015,4300,2494,4200,2009,4000,2764,4200,2158,4300,1306,4500,2120,4600,1835,4500,1467,4500,,4800,
DS07,Kolkata (Cossipore) - 2,3500,832,3400,782,3300,1088,3300,826,3000,702,3300,735,3300,513,3500,646,4000,609,3700,739,3700,,4000,
DS08,Krishnanagar,4100,3059,4000,3220,3800,3034,3700,1710,3500,749,3800,726,4000,720,4100,508,4600,330,4500,314,4500,,4600,
DS10,KALIGHAT,5600,2141,5600,2776,5400,2948,5400,2028,5200,1335,5500,1668,5500,1396,5600,1700,6000,1339,5700,1309,5700,,6000,
DS11,KOL(SHM/DANKUNI),1700,692,1700,1000,1600,1873,1500,1241,1300,1174,1600,1128,1700,869,1700,1068,2000,1081,1800,1095,1800,,2000,
DS09,MOGRA,3500,1642,3400,1719,3400,2014,3100,1280,3000,1177,3200,1137,3500,938,3700,1043,4000,1200,3600,873,3600,,4000,
EE01,KISHANGANJ,3000,2675,3600,2813,3600,2915,3300,1361,3200,2289,3200,2524,3200,2541,3200,2869,4000,2726,4500,3083,4500,,5000,
EE02,KATIHAR & PURNIA,3500,2060,3700,2554,3800,3222,3400,1922,3400,2303,3200,2057,3300,1903,3600,1533,4300,2158,4800,1965,4800,,4800,
EE03,SAHARSA,1800,821,1800,751,1800,907,1800,831,1800,677,1800,721,1800,865,1900,461,2500,700,3000,728,3000,,3900,
EE04,BHAGALPUR,3000,2352,3000,2113,3000,2102,2800,2701,2200,1704,2800,1708,2800,2031,2900,1154,3500,1253,4000,773,4000,,4400,
EE05,LAXISARAI,1000,702,800,1010,700,1190,600,933,500,646,400,751,0,649,0,397,0,277,0,229,0,,0,
EE06,BEGUSARAI,3500,1283,3800,2359,3800,2735,3600,2402,3100,1870,3100,1646,3100,1961,3500,1099,4000,692,4500,1779,5000,,5500,
EE08,Samastipur,1500,504,1500,534,1500,688,1500,1001,1400,582,1300,507,1300,246,1300,225,1500,121,2000,144,2000,,2000,
EW01,Muzaffarpur,2900,1702,2900,1350,2900,3076,2900,2904,2900,2630,3000,1913,3200,2355,3500,1060,4000,1502,4500,1216,4500,,4500,
EW02,Darbhanga,1500,391,1500,753,1500,926,1400,651,1300,476,1400,319,1500,335,1800,341,2000,83,2100,64,2300,,2900,
EW06,SARAI,1400,580,1400,1038,1400,1019,1200,1101,1200,1168,1300,1049,1500,811,1600,474,2100,422,2300,367,2600,,3100,
EW03,Siwan,900,418,900,513,1200,477,900,980,800,461,800,626,800,520,800,361,1000,270,1400,325,1400,,1500,
EW04,Chapra,1000,387,1000,492,1100,698,900,721,900,497,1100,526,900,484,1100,407,1300,446,1500,366,1600,,2000,
EW05,Patna,3600,970,3600,2675,3600,3669,3000,3715,3000,2427,3000,2468,3300,2612,3700,1901,4800,1155,5500,1156,5800,,7000,
EW07,GAYA,2800,3345,2800,3335,2800,3285,2800,2344,2800,2634,2800,2319,2800,2891,2800,1793,2800,2309,3300,1267,3500,,3500,
EW08,WARSHALIGANJ,2200,1381,2200,1725,2200,2270,2200,1079,2200,1569,2200,1700,2200,1628,2200,1020,2200,1144,2500,882,2500,,3000,
F001,Dhanbad,1800,1005,1700,885,1600,1262,1400,1201,1300,1134,1500,1816,1500,1500,2000,1653,2200,1409,2300,740,2400,,2900,
F002,Tata,1800,1802,1700,2001,1600,2021,1400,1551,1300,1233,1500,1827,1500,2701,2000,2504,2200,2102,2300,1641,2400,,2900,
F003,Ranchi,1600,1055,1600,1447,1400,1609,1200,1721,1200,1506,1300,2067,1400,2687,1800,2866,2000,2782,2100,1580,2200,,2700,
F004,Deoghar,1500,862,1400,1126,1300,1190,1100,1251,1100,1417,1200,1316,1300,1350,1700,1503,1800,1669,1800,896,1900,,2400,
A101,GUWAHATI,12000,10010,11000,11519,10000,10529,8000,6738,7500,7668,7500,6895,7500,7892,8500,8571,10000,8219,12000,7621,13000,,15000,
A102,LOWER ASSAM,20000,20099,17000,17127,14000,14098,10000,7412,10000,15136,10000,11070,11000,14354,12000,13799,13000,13370,18000,14865,21000,,24000,
A103,TURA,2000,1877,1600,1670,1500,1420,1500,779,1500,1080,1500,1240,1500,1221,1600,1698,1800,1244,2000,1392,2100,,2200,
A104,NAGAON,7000,6174,6800,5875,6500,4345,5000,3296,5000,4347,5000,3740,5500,4276,6000,4435,7500,4632,9000,4563,9500,,10200,
A105,TEZPUR,7500,6096,7500,5981,6500,5277,6000,3643,5500,4906,5500,3674,5800,4850,6300,4039,7000,5313,8000,5884,9000,,9400,
A106,LAKHIMPUR,10000,7885,10000,7807,8000,6564,7000,3940,6000,5646,6000,4794,6000,6065,7000,6999,9000,6944,11000,7546,12000,,12000,
A107,AP- BANDERDEWA,1500,843,1500,1584,1200,1828,1200,1002,1000,1405,1000,897,1000,1178,1000,1619,1400,1558,1500,1562,1700,,2000,
A108,AP- LEKHABALI,1400,1226,1400,1429,1000,1449,1000,792,1000,1029,800,458,1000,754,1000,1054,1400,1214,1600,943,1600,,1800,
A109,AP- BHALUKPONG,300,69,300,16,300,37,300,47,300,96,500,38,500,11,500,53,500,21,500,21,500,,500,
