Branch Code,Branch Name,April,April Achv.,May,May Achv.,June,June Achv.,July,July Achv.,August,August Achv.,September,September Achv.,October,October Achv.,November,November Achv.,December,December Achv.,January,January Achv.,February,February Achv.,March,March Achv.
DN01,COOCHBIHAR,14059,125,13590,6775,13120,8615,11248,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DN02,ALIPURDUAR,6710,25,5740,2572,4800,3162,4800,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DN03,JALPAIGURI,12500,210,12450,7237,12500,7023,9380,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DN04,DARJEELING,10025,90,9530,5521,9025,6367,8135,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DN05,SIKKIM,5700,0,5700,1052,5700,823,5100,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DN06,UTTAR DINAJPUR,8827,50,8700,4050,7950,3635,7550,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DN07,DAKSHIN DINAJPUR,2040,90,2040,651,1755,569,1755,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DN08,MALDA,4624,20,4440,833,3601,1113,3951,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DN09,MURSHIDABAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS01,BIRBHUM,1152,0,1348,612,1072,731,962,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS02,BURDWAN,1110,205,1150,737,916,994,851,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS03,RANIGANJ,440,0,480,187,492,224,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS04,BANKURA,462,73,472,106,422,235,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS05,PURULIYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS12,EAST MIDNAPORE,463,0,483,120,498,143,432,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS13,WEST MIDNAPORE,801,0,787,133,776,210,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS06,Kolkata (Cossipore) - 1,994,0,946,232,960,337,737,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS07,Kolkata (Cossipore) - 2,975,0,890,220,785,306,554,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS08,Krishnanagar,466,0,426,354,380,353,300,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS10,KALIGHAT,650,0,650,794,650,796,620,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS11,KOL(SHM/DANKUNI),956,0,737,145,669,207,423,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS09,MOGRA,715,0,684,317,577,250,431,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE01,KISHANGANJ,6775,0,6775,4468,6190,5466,4525,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE02,KATIHAR & PURNIA,4450,0,4545,2413,4660,2958,3780,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE03,SAHARSA,765,0,825,834,860,873,570,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE04,BHAGALPUR,1540,36,1540,889,1480,932,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE05,LAXISARAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE06,BEGUSARAI,2330,38,2375,246,2400,395,2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE08,Samastipur,300,0,275,25,300,125,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW01,Muzaffarpur,2130,32,1940,640,1710,619,1510,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW02,Darbhanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW06,SARAI,430,0,430,75,410,50,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW03,Siwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW04,Chapra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05,Patna,840,12,840,40,850,50,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW07,GAYA,0,0,0,199,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW08,WARSHALIGANJ,0,0,0,185,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
