Branch Code,April Dealer Target,April Dealer Achv,May Dealer Target,May Dealer Achv,June Dealer Target,June Dealer Achv,July Dealer Target,July Dealer Achv,August Dealer Target,August Dealer Achv,September Dealer Target,September Dealer Achv,October Dealer Target,October Dealer Achv,November Dealer Target,November Dealer Achv,December Dealer Target,December Dealer Achv,January Dealer Target,January Dealer Achv,February Dealer Target,February Dealer Achv,March Dealer Target,March Dealer Achv
A101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DN01,0,0,0,0,0,0,0,0,0,0,4,2,3,3,4,2,4,0,0,0,0,0,0,0
DN02,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0
DN03,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,3,2,1,0,0,0,0,0,0
DN04,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,2,3,1,0,0,0,0,0,0
DN05,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,2,0,0,0,0,0,0,0
DN06,0,0,0,0,0,0,0,0,0,0,2,0,7,3,7,3,7,1,0,0,0,0,0,0
DN07,0,0,0,0,0,0,0,0,0,0,4,1,6,3,6,2,4,0,0,0,0,0,0,0
DN08,0,0,0,0,0,0,0,0,0,0,3,0,7,5,8,3,8,2,0,0,0,0,0,0
DN10,0,0,0,0,0,0,0,0,0,0,4,1,5,2,5,2,5,0,0,0,0,0,0,0
DN11,0,0,0,0,0,0,0,0,0,0,6,1,7,7,7,3,7,2,0,0,0,0,0,0
EE01,0,0,0,0,0,0,0,0,0,0,8,0,6,3,5,3,5,0,0,0,0,0,0,0
EE03,0,0,0,0,0,0,0,0,0,0,8,1,10,3,10,1,9,2,0,0,0,0,0,0
EE04,0,0,0,0,0,0,0,0,0,0,9,3,10,3,10,2,9,1,0,0,0,0,0,0
EE06,0,0,0,0,0,0,0,0,0,0,3,3,10,1,10,3,10,4,0,0,0,0,0,0
EE08,0,0,0,0,0,0,0,0,0,0,4,0,8,3,10,2,10,3,0,0,0,0,0,0
EE09,0,0,0,0,0,0,0,0,0,0,2,1,4,1,4,0,3,1,0,0,0,0,0,0
EE10,0,0,0,0,0,0,0,0,0,0,1,2,4,0,4,0,3,1,0,0,0,0,0,0
EW01,0,0,0,0,0,0,0,0,0,0,5,0,10,4,10,6,10,4,0,0,0,0,0,0
EW05,0,0,0,0,0,0,0,0,0,0,0,4,12,4,12,3,12,0,0,0,0,0,0,0
EW06,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,1,7,2,0,0,0,0,0,0
