Destination Code,Destination Name,ex_for_type
DES07228,BAJIAGAON,FOR
DES07227,JURIA,FOR
DES07226,BARHAMPUR,FOR
DES07225,KHAGORIJAN (NAGAON),FOR
DES07224,KHAGORIJAN,FOR
DES07223,ROHA (CHAPARMUKH),FOR
DES07222,MAYONG (MORIGAON),FOR
DES07221,MAYONG,FOR
DES07220,DIMORIA L,FOR
DES07219,DIMORIA 2,FOR
DES07189,NEWSANGBAR,FOR
DES07188,DIYUNG VELLEY 1,FOR
DES07187,DIYUNG VELLEY,FOR
DES07186,JATINGA VELLEY,FOR
DES07185,HARANGAJAO,FOR
DES07176,LUMBAJAON,FOR
DES07175,BAITHALAGSU,FOR
DES07174,DHALPUKHURI (LANKA),FOR
DES07173,BOKOLIA (DENGAON),FOR
DES07172,BINNAKANDI ( JOGIJAN),FOR
DES07171,BINNAKANDI  (JOGIJAN),FOR
DES07170,BINNAKANDI,FOR
DES07169,JUGIJAN,FOR
DES07168,KATHIATOLI(RAJAGAON),FOR
DES07167,KALIBOR (HARMATI),FOR
DES07166,KALIABOR (HARMATI),FOR
DES07165,KALIBOR (AMGURI),FOR
DES07164,KALAIBOR (AMGURI),FOR
DES07163,KALIBOR,FOR
DES07162,KALIABOR,FOR
DES06343,KAMPUR,FOR
DES06342,RANGBANG,FOR
DES06341,KATHIATOLI,FOR
DES06340,RANGALOO,FOR
DES06339,RAJAALI,FOR
DES06338,MISSA,FOR
DES06337,SALANA,FOR
DES06336,AMONI,FOR
DES06335,AMBAGAN,FOR
DES06334,LAWKHOWA,FOR
DES06333,RUPOHI,FOR
DES06332,SAMAGURI,FOR
DES06331,BALUCHAR BAZAR,FOR
DES06330,DOGAON BAZAR,FOR
DES06329,JURIA CHARALI,FOR
DES06328,RAIDONGIA,FOR
DES06327,SARUPATHAR,FOR
DES06326,NONOI,FOR
DES06325,PURANIGODAM,FOR
DES06324,CHALCHALI,FOR
DES06323,URIAGAON,FOR
DES06322,DIMORUGURI (ITAKHOLI),FOR
DES06321,UDAMARI,FOR
DES06320,NAGAON,FOR
DES06319,HAIBORGAON,FOR
DES06318,SENSUA,FOR
DES06317,KOPAHARA,FOR
DES06316,BARAPUJIA,FOR
DES06315,BABEJIA,FOR
DES06314,DEMOW,FOR
DES06313,PHULGURI,FOR
DES06312,JAJORI SIMULTOL,FOR
DES06311,CHAPARMUKH,FOR
DES06310,ROHA,FOR
DES06309,THEKARAGURI,FOR
DES06308,DHARAMTUL,FOR
DES06307,MORIGAON,FOR
DES06306,BACHARA GHAT,FOR
DES06305,CHARON BILL,FOR
DES06304,JHARGAON,FOR
DES06303,MAYANG,FOR
DES06302,TELAHI,FOR
DES06301,NELLI,FOR
DES06300,HP MILL,FOR
DES06299,JAGI ROAD,FOR
DES06298,TOPATOLI,FOR
DES06297,DIMORIA,FOR
DES06296,DHUBGURI,FOR
DES06295,ULUNI,FOR
DES06120,MAIBONG,FOR
DES06119,LANTING,FOR
DES06118,DIAKHO,FOR
DES06117,MUPA,FOR
DES06116,MIGRINDESHA,FOR
DES06115,MULKOI,FOR
DES06114,PHIDING,FOR
DES06113,DAOTOHAJA,FOR
DES06112,MAHUR,FOR
DES06111,HARENGAJAO,FOR
DES06110,MIYANGKRO,FOR
DES06109,RADZOL,FOR
DES06108,JATINGA,FOR
DES06107,HALFLONG,FOR
DES06047,DIPHU,FOR
DES06046,MANJA,FOR
DES06045,MANDERDISHA,FOR
DES06044,LUMDING,FOR
DES06043,HAMREN,FOR
DES06042,DONKAMOKAM,FOR
DES06041,BAITHLANGSU,FOR
DES06040,DAYANGMUKH,FOR
DES06039,KHERONI,FOR
DES06038,NAKHUTI,FOR
DES06037,LASKAR PATHAR,FOR
DES06036,KARIKHONA,FOR
DES06035,LANKA,FOR
DES06034,DHALPUKHURI,FOR
DES06033,KAPASBARI,FOR
DES06032,BOKOLIA,FOR
DES06031,HOWRA GHAT,FOR
DES06030,HOWRA GHAT TINALI,FOR
DES06029,KAKI-2,FOR
DES06028,KAKI,FOR
DES06027,UDALI,FOR
DES06026,DEBOSTHAN,FOR
DES06025,BORBOHA,FOR
DES06024,LENGING,FOR
DES06023,DENGAON,FOR
DES06022,PARKHOA,FOR
DES06021,JAMUNAMUKH,FOR
DES06020,JOGIJAN,FOR
DES06019,JORAPUKHURI,FOR
DES06018,SANKARDEV NAGAR,FOR
DES06017,BARHAWAR,FOR
DES06016,CHOUDHURY BAZAR,FOR
DES06015,MURAJHAR,FOR
DES06014,JAYNAGAR,FOR
DES06013,NILBAGAN,FOR
DES06012,NAMDOBOKA,FOR
DES06011,DOBOKA,FOR
DES06010,RANIPUKHURI,FOR
DES06009,BHALUKMARI,FOR
DES06008,HOJAI,FOR
DES06007,ISLAM NAGAR,FOR
DES06006,KACHUA,FOR
DES06005,LUTUMARI,FOR
DES06004,RAJAGAON,FOR
DES06003,SIMALGURI,FOR
DES06002,BAGORI,FOR
DES06001,NAOJAN,FOR
DES06000,HARMATI,FOR
DES05999,KUTHORI,FOR
DES05998,FALUGURI,FOR
DES05997,AMGURI,FOR
DES05996,RANGGHAR,FOR
DES05995,JAKHALABANDHA,FOR
DES05994,HATBOR,FOR
DES05993,KOLIABOR,FOR
DES05992,SILGHAT,FOR
DES05991,NALTALI,FOR
DES05990,KOLIABOR TINALI,FOR
DES05989,BARPATHIA,FOR
DES05713,VALUKA,FOR
DES05712,UTTAR KUMEDPUR,FOR
DES05711,TULSIHATTA,FOR
DES05710,SWARUPGANJ(MLD),FOR
DES05709,SUSTANI MORE,FOR
DES05708,SUJAPUR,FOR
DES05707,SREEPUR,FOR
DES05706,SOVANAGAR,FOR
DES05705,SHANKARTOLA GHAT,FOR
DES05704,SHAHBAZPUR,FOR
DES05703,SERSAHI,FOR
DES05702,SATTARI,FOR
DES05701,SAMSI,FOR
DES05700,SAHAPUR(MLD),FOR
DES05699,RATUA,FOR
DES05698,RATHBARI SODHLA PUR,FOR
DES05697,RAJNAGAR(MLD),FOR
DES05696,RAJARHAT(MLD),FOR
DES05695,PUKHURIA,FOR
DES05694,POPRA,FOR
DES05693,PIASBARI,FOR
DES05692,PAYKHANA MORE,FOR
DES05691,PARBOTI DANGA,FOR
DES05690,PANCHANANDAPUR,FOR
DES05689,PAKUA HAT,FOR
DES05688,PACHPARA,FOR
DES05687,OLD 18 MILE,FOR
DES05686,NIMAISARA,FOR
DES05685,NAZIRPUR(MLD),FOR
DES05684,NARAYAN PUR,FOR
DES05683,NALDUBI,FOR
DES05682,NALAGOLA,FOR
DES05681,NABABGANJ,FOR
DES05680,N.T.P.C. MORE,FOR
DES05679,MUCHIA,FOR
DES05678,MOYNA(MLD),FOR
DES05677,MOTHABARI,FOR
DES05676,MOKDAMPUR,FOR
DES05675,MOHODIPUR,FOR
DES05674,MODIPUKUR,FOR
DES05673,MILKY,FOR
DES05672,MEHERPUR(MLD),FOR
DES05671,MATHURAPUR,FOR
DES05670,MATHURAPUR,FOR
DES05669,MANIKCHAK,FOR
DES05668,MANGALBARI,FOR
DES05667,MALDA,FOR
DES05666,MALATIPUR,FOR
DES05665,MALAHAR,FOR
DES05664,MAKDUMPUR,EX
DES05663,MAKAIYA,FOR
DES05662,MAHARAJNAGAR,FOR
DES05661,MAHANANDATOLA,FOR
DES05660,MAHANANDA PALLI,FOR
DES05659,MAHADIPUR,FOR
DES05658,MADHAB NAGAR,FOR
DES05657,LOLABAG,FOR
DES05656,LAKHIPUR(WB),FOR
DES05655,KUSHIDA,FOR
DES05654,KUMEDPUR(MLD),FOR
DES05653,KUMBHIRA,FOR
DES05652,KUMARGANJ(MLD),FOR
DES05651,KORIALI,FOR
DES05650,KHOPAKATHI,FOR
DES05649,KHARBA,FOR
DES05648,KASHIMBAZAR,FOR
DES05647,KARIALI,FOR
DES05646,KANUA,FOR
DES05645,KANCHANTAIRE MALDA,FOR
DES05644,KAN PUKUR,FOR
DES05643,KALIGRAM,FOR
DES05642,KALIACHAK,FOR
DES05641,K.B.S.SCHOOL,FOR
DES05640,JHALJHALIA-ENGLISHBAR,FOR
DES05639,JATRADANGA,FOR
DES05638,JALALPUR(WB),FOR
DES05637,JADUPUR,FOR
DES05636,HARISHCHANDRAPUR,FOR
DES05635,HABIBPUR,FOR
DES05634,GOROKHPUR,FOR
DES05633,GOPRAHAT,FOR
DES05632,GOLAPGANJ,FOR
DES05631,GOLAMORE,FOR
DES05630,GOBRAHAT,FOR
DES05629,GHORAI PARA,FOR
DES05628,GAZOLE,FOR
DES05627,GANGAPRASAD,FOR
DES05626,GALIMPUR,FOR
DES05625,FARAKKA PLANT,FOR
DES05624,FARAKKA,FOR
DES05623,ENGLISH BAZAR,FOR
DES05622,EKLAKHI,FOR
DES05621,DHULAORI,FOR
DES05620,DEBIPUR,FOR
DES05619,DALIMPUR,FOR
DES05618,CHARSUJAPUR,FOR
DES05617,CHANDRAPARA,FOR
DES05616,CHANCHAL,FOR
DES05615,CHAMAGRAM,FOR
DES05614,BULBULCHANDI,FOR
DES05613,BIRAMPUR-RATHBARI,FOR
DES05612,BHARTITARY,FOR
DES05611,BHALUKA BAZAR,FOR
DES05610,BHAGABANPUR-MLD,FOR
DES05609,BHADWO,FOR
DES05608,BARODUARY,FOR
DES05607,BAMONGOLA,FOR
DES05606,BALUCHAR,FOR
DES05605,BALIADANGA,FOR
DES05604,BAISHNABNAGAR,FOR
DES05603,BAHARAL,FOR
DES05602,BABLA(MLD),FOR
DES05601,ASHAPUR,FOR
DES05600,ARJUN PUR,FOR
DES05599,ARAPUR,FOR
DES05598,ARABINDO PARK,FOR
DES05597,AMRITI,FOR
DES05596,ALAM PUR,FOR
DES05595,ALAL,FOR
DES05594,AIHYO,FOR
DES05593,AHURA,FOR
DES05592,ADINA(MLD),FOR
DES05591,8 MILE,FOR
DES05590,21 MILE,FOR
DES05589,18 MILES,FOR
DES05588,16 MILES,FOR
DES05587,UMARPUR,FOR
DES05586,TRIMOHINI (MUR),FOR
DES05585,TEGOHARI,FOR
DES05584,SHERPUR (MUR),FOR
DES05583,SHEKHPARA,FOR
DES05582,SANYASIDANGA,FOR
DES05581,SAMMATINAGAR,FOR
DES05580,SALAR,FOR
DES05579,SAGARPARA,FOR
DES05578,SAGARDIGHI,FOR
DES05577,REZINAGAR,FOR
DES05576,RANINAGAR,FOR
DES05575,RAGHUNATHGANG,FOR
DES05574,POLSONDA,FOR
DES05573,PANCHGRAM (MUR),FOR
DES05572,NABAGRAM,FOR
DES05571,MOREGRAM,FOR
DES05570,MURSHIDABAD(BERHAMPORE) DUMP,EX
DES05569,MIRZAPUR,FOR
DES05568,MADNA,FOR
DES05567,LALGOLA,FOR
DES05566,LALBAG,FOR
DES05565,LAL KHANDIA,FOR
DES05564,KORNA SUBORNA,FOR
DES05563,KANDI,FOR
DES05562,JIBANTI,FOR
DES05561,JIAGANJ,FOR
DES05560,JANGIPUR,FOR
DES05559,JALANGI,FOR
DES05558,ISLAMPUR (MUR),FOR
DES05557,HARIHARPARA,FOR
DES05556,FARAKKA (MURSHIDABAD),FOR
DES05555,DOMKAL,FOR
DES05554,DHULIAN,FOR
DES05553,DAKBUNGLOW,FOR
DES05552,CHANDER MORE,FOR
DES05551,BHARATPUR,FOR
DES05550,BHAGABANGOLA,FOR
DES05549,BELDANGA,FOR
DES05548,BALIA,FOR
DES05547,AZIMGANJ,FOR
DES05546,AURANGABAD,FOR
DES05545,AHIRON,FOR
DES05544,BOTAL BARI,FOR
DES05543,PANISALA,FOR
DES05542,JHITKA,FOR
DES05541,PAMOL HAT,FOR
DES05540,SAMAJPUR,FOR
DES05539,GOPALPUR (DLK),FOR
DES05538,JHILJHILI (VIA GOALPOKHER),FOR
DES05537,SOLPARA,FOR
DES05536,KALLOPARA,FOR
DES05535,JHARBARI (SOLPARA),FOR
DES05534,DHALTOLA,FOR
DES05533,TUNGIDIGHI,FOR
DES05532,SURJAPUR,FOR
DES05531,SONAPUR (ISLAMPUR),FOR
DES05530,SAHAPUR-UDP,FOR
DES05529,RASKHOYAHAT,FOR
DES05528,RASAKHOA,FOR
DES05527,RAMGANJ,FOR
DES05526,RAIGANJ TOWN,FOR
DES05525,RAIGANJ,FOR
DES05524,PANJIPARA,FOR
DES05523,KARANDIGHI,FOR
DES05522,KANKI,FOR
DES05521,KALIAGANJ (SLG),FOR
DES05520,KALIAGANJ,FOR
DES05519,KALAGACHI,FOR
DES05518,KACHHAKALI,FOR
DES05517,JANTA HAT,FOR
DES05516,ITAHAR,FOR
DES05515,ISLAMPUR,FOR
DES05514,HEMTABAD,FOR
DES05513,GOAL POKHOR,FOR
DES05512,GOALPOKHOR,FOR
DES05511,GOAGAON,FOR
DES05510,DURGAPUR-ITAHAR,FOR
DES05509,DOMOHANA,FOR
DES05508,DHARAMPUR,FOR
DES05507,DEBIGANJ,FOR
DES05506,DASPARA,FOR
DES05505,DALKOHLA,FOR
DES05504,DALKHOLA,FOR
DES05503,CHOPRA,FOR
DES05502,CHAKULIA,FOR
DES05501,BINDOL,FOR
DES05500,SONAPUR (ISLAMPUR) (SLG),FOR
DES05499,DASPARA (SLG),FOR
DES05498,RAMGANJ (SLG),FOR
DES05497,KACHCHAKALI(SLG),FOR
DES05496,RADHABARI,FOR
DES05495,SEVOKE BAZAR,FOR
DES05494,MADHUBAN ARMY CAMP,FOR
DES05493,MADHUBAN PARK,FOR
DES05492,JOTIAKALI,FOR
DES05491,S.W.C. BABUPARA,FOR
DES05490,BANDHUNAGAR,FOR
DES05489,TALMA,FOR
DES05488,BHELAKOPA,FOR
DES05487,CHELIBARI,FOR
DES05486,SUKNA,FOR
DES05485,SALBARI(SLG),FOR
DES05484,NEW RANGIA,FOR
DES05483,LICHUPUKRI,FOR
DES05482,SEVOKE (HELIPAD TO SEVOKE BAZAR),FOR
DES05481,SALUGARA BAZAR/HALIPAD,FOR
DES05480,OM BHANDAR GODOWN/GOWALAPATTI,FOR
DES05479,AGRASEN RD.,FOR
DES05478,NAYA BAZAAR(SLG),FOR
DES05477,585 ENGRS PARK,FOR
DES05476,BENGDUBI,FOR
DES05475,MES,FOR
DES05474,GHORAR MORE,FOR
DES05473,BIDHANROAD,FOR
DES05472,ASHRAMPARA,FOR
DES05471,MATIGARA(SLG),FOR
DES05470,SHIV MANDIR,FOR
DES05469,PAUL PARA,FOR
DES05468,DAGAPUR(UP TO PANCHNOI RIVER),FOR
DES05467,DARJEELINGMORE,FOR
DES05466,DUDHIA,FOR
DES05465,PATTI COLONY,FOR
DES05464,GURUNGBASTI,FOR
DES05463,PRADHAN NAGAR,FOR
DES05462,CHAMPASARIMORE,FOR
DES05461,HAIDERPARA,FOR
DES05460,HAKIMPARA,FOR
DES05459,SUBHASHPALLY,FOR
DES05458,GHUGHMALI,FOR
DES05457,EASTERN BY PASS,FOR
DES05456,ASHIGARH,FOR
DES05455,2ND MILE AREA,FOR
DES05454,SOUTH COLONY,FOR
DES05453,W/H FULBARI,FOR
DES05452,LAKE TOWN BASAK,FOR
DES05451,DESBANDHUPARA,FOR
DES05450,HALDIMILL,FOR
DES05449,SHAKTIGARH,FOR
DES05448,BENFED,FOR
DES05447,FULBAR,FOR
DES05446,JALPAIMORE,FOR
DES05445,GOSALA,FOR
DES05444,JHANKARMORE,FOR
DES05443,CENTRAL BANK,FOR
DES05442,TINBATTI,FOR
DES05441,MORE SERVICE,FOR
DES05440,GREF,FOR
DES05439,TOWN STATION,FOR
DES05438,SEVOKE ROAD AREA,FOR
DES05437,IOW TO NORTH JN,FOR
DES05436,WEIGHT BRIDGE AND BACK,FOR
DES05435,I.O.W.,FOR
DES05434,NJP (LOCAL),FOR
DES05433,SAHPUR,FOR
DES05432,KALIAGANJ,FOR
DES05431,KUMANI T.E,FOR
DES05430,KACHCHAKALI,FOR
DES05429,OREPAKURI,FOR
DES05428,MEHEDIPUR,FOR
DES05427,GUNJARIA,FOR
DES05426,SAONPUR (CHIPATA ),FOR
DES05425,"GUMPTU, BHUTAN (CLINK )",FOR
DES05424,CHUKMARI (MNG),FOR
DES05423,KARLAVALLEY T.E,FOR
DES05422,KILLKOTT T.E,FOR
DES05421,GOALGACHI T.E,FOR
DES05420,DIMDIMA T.E,FOR
DES05419,BIRPARA T.E,FOR
DES05418,TULSIPARA T.E,FOR
DES05417,DUMCHIPARA T.E,FOR
DES05416,HANTUPARA T.E,FOR
DES05415,LANKAPARA T.E,FOR
DES05414,WASABARI,FOR
DES05413,SUKTABARI,FOR
DES05412,SAILI,FOR
DES05411,SAMSING,FOR
DES05410,SALKUMAR,FOR
DES05409,SHILBARIHAT,FOR
DES05408,SANKOSH,FOR
DES05407,SAMUKTALA,FOR
DES05406,SONAPUR (APDJ),FOR
DES05405,SONAPUR (NH-34),FOR
DES05404,SISUBARI,FOR
DES05403,SALBARI (F),FOR
DES05402,RAMPUR,FOR
DES05401,RANINAGAR SLG,FOR
DES05400,RAMDHAMALI,FOR
DES05399,RANIRHAT,FOR
DES05398,RAMGANJ SLG,FOR
DES05397,PANITANKI,FOR
DES05396,ODLABARI (SLG),FOR
DES05395,ODLABARI,FOR
DES05394,NATABARI,FOR
DES05393,NAYERHAT,FOR
DES05392,NIMATI,FOR
DES05391,MANDALGHAT,FOR
DES05390,MEKHLIGANJ,FOR
DES05389,LAKGHATA,FOR
DES05388,LATHAGURI,FOR
DES05387,KUMARGRAM,FOR
DES05386,KALCHINI,FOR
DES05385,KALAGACH,FOR
DES05384,KRANTIHAT,FOR
DES05383,KHAPRAIL,FOR
DES05382,KHAPRAIL(SLG),FOR
DES05381,KHAPRAIL (SLG),FOR
DES05380,JATESHWAR,FOR
DES05379,JAIGAON,FOR
DES05378,JAIMALDA,FOR
DES05377,HAZRAHAT,FOR
DES05376,HAPTIAGACH,FOR
DES05375,HARIBOLAHA,FOR
DES05374,HAMILTONGAN,FOR
DES05373,HANSKHOA,FOR
DES05372,GUKUSDANGA,FOR
DES05371,GAIRKATA,FOR
DES05370,GALGALIA,FOR
DES05369,GHUGHUDANGA,FOR
DES05368,GORUBATHAN(SLG),FOR
DES05367,GORUBATHAN,FOR
DES05366,GORUBATHAN,FOR
