Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename,UOM
,TAO DETERGENT BAR 90 GM (144X1),,3.26,0,,0,0,Y,0,0,0,0,,
,TAO DISH WASH 150 GM (80X1),,6.52,0,,0,0,Y,0,0,0,0,West Bengal,PC
,TAO DISH WASH 150 GM (80X1),,391.14,0,,0,0,Y,0,0,0,0,West Bengal,CASE
,TAO DISH WASH 150 GM (80X1),,391.14,0,,0,0,Y,0,0,0,0,,
,TAO DISH WASH 150 GM (80X1),,6.52,0,,0,0,Y,0,0,0,0,,PC
,TAO DISH WASH 150 GM (80X1),,391.14,0,,0,0,Y,0,0,0,0,,CASE
,TAO DISH WASH 700 GM (12X1),,34.70540759,0,,0,0,Y,0,0,0,0,West Bengal,PC
,TAO DISH WASH 700 GM (12X1),,416.464891,0,,0,0,Y,0,0,0,0,West Bengal,CASE
,TAO DISH WASH 700 GM (12X1),,367.2316384,0,,0,0,Y,0,0,0,0,Andhra Pradesh,
,TAO DISH WASH 700 GM (12X1),,30.60263653,0,,0,0,Y,0,0,0,0,Andhra Pradesh,PC
,TAO DISH WASH 700 GM (12X1),,367.2316384,0,,0,0,Y,0,0,0,0,Andhra Pradesh,CASE
,TAO DISH WASH 700 GM (12X1),,367.2316384,0,,0,0,Y,0,0,0,0,,
,TAO DISH WASH 700 GM (12X1),,34.70540759,0,,0,0,Y,0,0,0,0,Bihar,PC
,TAO DISH WASH 700 GM (12X1),,416.464891,0,,0,0,Y,0,0,0,0,Bihar,CASE
,TAO DISH WASH 700 GM (12X1),,34.70540759,0,,0,0,Y,0,0,0,0,Jharkhand,PC
,TAO DISH WASH 700 GM (12X1),,416.464891,0,,0,0,Y,0,0,0,0,Jharkhand,CASE
,TAO DISH WASH 700 GM (12X1),,30.60263653,0,,0,0,Y,0,0,0,0,,PC
,TAO DISH WASH 700 GM (12X1),,367.2316384,0,,0,0,Y,0,0,0,0,,CASE
,TAO DISH WASH 90 GM (144X1),,3.26,0,,0,0,Y,0,0,0,0,West Bengal,PC
,TAO DISH WASH 90 GM (144X1),,234.43,0,,0,0,Y,0,0,0,0,West Bengal,CASE
,TAO DISH WASH 90 GM (144X1),,3.26,0,,0,0,Y,0,0,0,0,Bihar,PC
,TAO DISH WASH 90 GM (144X1),,234.43,0,,0,0,Y,0,0,0,0,Bihar,CASE
,TAO DISH WASH 90 GM (144X1),,3.26,0,,0,0,Y,0,0,0,0,Jharkhand,PC
,TAO DISH WASH 90 GM (144X1),,234.43,0,,0,0,Y,0,0,0,0,Jharkhand,CASE
,TAO DISH WASH 90 GM (144X1),,234.43,0,,0,0,Y,0,0,0,0,,
,TAO DISH WASH 90 GM (144X1),,3.26,0,,0,0,Y,0,0,0,0,,PC
,TAO DISH WASH 90 GM (144X1),,234.43,0,,0,0,Y,0,0,0,0,,CASE
,TAO DISH WASH 400 GM (400X24),,21.27185903,0,,0,0,Y,0,0,0,0,West Bengal,PC
,TAO DISH WASH 400 GM (400X24),,510.5246166,0,,0,0,Y,0,0,0,0,West Bengal,CASE
,TAO DISH WASH 400 GM (400X24),,452.41,0,,0,0,Y,0,0,0,0,Andhra Pradesh,
,TAO DISH WASH 400 GM (400X24),,18.85,0,,0,0,Y,0,0,0,0,Andhra Pradesh,PC
,TAO DISH WASH 400 GM (400X24),,452.41,0,,0,0,Y,0,0,0,0,Andhra Pradesh,CASE
,TAO DISH WASH 400 GM (400X24),,21.27185903,0,,0,0,Y,0,0,0,0,Bihar,PC
,TAO DISH WASH 400 GM (400X24),,510.5246166,0,,0,0,Y,0,0,0,0,Bihar,CASE
,TAO DISH WASH 400 GM (400X24),,21.27185903,0,,0,0,Y,0,0,0,0,Jharkhand,PC
,TAO DISH WASH 400 GM (400X24),,510.5246166,0,,0,0,Y,0,0,0,0,Jharkhand,CASE
,TAO DISH WASH 400 GM (400X24),,452.41,0,,0,0,Y,0,0,0,0,,
,TAO DISH WASH 400 GM (400X24),,18.85,0,,0,0,Y,0,0,0,0,,PC
,TAO DISH WASH 400 GM (400X24),,452.41,0,,0,0,Y,0,0,0,0,,CASE
,TAO FLOOR CLEANER 500 ML (24X1),,32.28,0,,0,0,Y,0,0,0,0,,
,PANCH MUKHI SALT 1KG (25KG),,8.6,0,,0,0,Y,0,0,0,0,West Bengal,PC
,PANCH MUKHI SALT 1KG (25KG),,215,0,,0,0,Y,0,0,0,0,West Bengal,CASE
,PANCH MUKHI SALT 1KG (25KG),,8.6,0,,0,0,Y,0,0,0,0,Andhra Pradesh,PC
,PANCH MUKHI SALT 1KG (25KG),,215,0,,0,0,Y,0,0,0,0,Andhra Pradesh,CASE
,PANCH MUKHI SALT 1KG (25KG),,215,0,,0,0,Y,0,0,0,0,Andhra Pradesh,
,PANCH MUKHI SALT 1KG (25KG),,8.6,0,,0,0,Y,0,0,0,0,Bihar,PC
,PANCH MUKHI SALT 1KG (25KG),,215,0,,0,0,Y,0,0,0,0,Bihar,CASE
,PANCH MUKHI SALT 1KG (25KG),,8.6,0,,0,0,Y,0,0,0,0,Jharkhand,PC
,PANCH MUKHI SALT 1KG (25KG),,215,0,,0,0,Y,0,0,0,0,Jharkhand,CASE
,PANCH MUKHI SALT 1KG (25KG),,8.6,0,,0,0,Y,0,0,0,0,,PC
,PANCH MUKHI SALT 1KG (25KG),,215,0,,0,0,Y,0,0,0,0,,CASE
,PANCH MUKHI SALT 1KG (25KG),,215,0,,0,0,Y,0,0,0,0,,
,PANCHMUKHI SALT 1/2 KG (25 KG),,4.56,0,,0,0,Y,0,0,0,0,West Bengal,PC
,PANCHMUKHI SALT 1/2 KG (25 KG),,228,0,,0,0,Y,0,0,0,0,West Bengal,CASE
,PANCHMUKHI SALT 1/2 KG (25 KG),,4.56,0,,0,0,Y,0,0,0,0,Andhra Pradesh,PC
,PANCHMUKHI SALT 1/2 KG (25 KG),,228,0,,0,0,Y,0,0,0,0,Andhra Pradesh,CASE
,PANCHMUKHI SALT 1/2 KG (25 KG),,228,0,,0,0,Y,0,0,0,0,Andhra Pradesh,
,PANCHMUKHI SALT 1/2 KG (25 KG),,4.56,0,,0,0,Y,0,0,0,0,Bihar,PC
,PANCHMUKHI SALT 1/2 KG (25 KG),,228,0,,0,0,Y,0,0,0,0,Bihar,CASE
,PANCHMUKHI SALT 1/2 KG (25 KG),,4.56,0,,0,0,Y,0,0,0,0,Jharkhand,PC
,PANCHMUKHI SALT 1/2 KG (25 KG),,228,0,,0,0,Y,0,0,0,0,Jharkhand,CASE
,PANCHMUKHI SALT 1/2 KG (25 KG),,4.56,0,,0,0,Y,0,0,0,0,,PC
,PANCHMUKHI SALT 1/2 KG (25 KG),,228,0,,0,0,Y,0,0,0,0,,CASE
,PANCHMUKHI SALT 1/2 KG (25 KG),,228,0,,0,0,Y,0,0,0,0,,
,SODA LOOSE,,0,0,,0,0,N,0,0,0,0,,
,TAO 12 GM (900X1),,542.1,0,,0,0,Y,0,0,0,0,,
,TAO 12 GM (900X1),,0.6,0,,0,0,Y,0,0,0,0,West Bengal,PC
,TAO 12 GM (900X1),,542.1,0,,0,0,Y,0,0,0,0,West Bengal,CASE
,TAO 12 GM (900X1),,542.1,0,,0,0,N,0,0,0,0,West Bengal,
,TAO 12 GM (900X1),,0.6,0,,0,0,Y,0,0,0,0,Bihar,PC
,TAO 12 GM (900X1),,542.1,0,,0,0,Y,0,0,0,0,Bihar,CASE
,TAO 12 GM (900X1),,0.6,0,,0,0,Y,0,0,0,0,Jharkhand,PC
,TAO 12 GM (900X1),,542.1,0,,0,0,Y,0,0,0,0,Jharkhand,CASE
,TAO 12 GM (900X1),,542.1,0,,0,0,N,0,0,0,0,Andhra Pradesh,
