Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit,Prod size,Lead time,Buffer level,Max level marketing,UOM4,UOM5,Gross weight,FG_RM,Oil category,Alias,HSN/SAC,Packing Realization,Statename
,,TAO DETERGENT BAR 90 GM (144X1),DETERGENT CAKE,,,0,N,Y,,PC,CASE,1,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO DISH WASH 150 GM (80X1),DETERGENT CAKE,,,0,N,N,,PC,CASE,60,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO DISH WASH 700 GM (12X1),DETERGENT CAKE,,,0,Y,N,,PC,CASE,12,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO DISH WASH 90 GM (144X1),DETERGENT CAKE,,,0,N,N,,PC,CASE,72,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO DISH WASH 400 GM (400X24),DETERGENT CAKE,,,0,Y,N,,PC,CASE,24,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO FLOOR CLEANER 500 ML (24X1),FLOOR CLEANER,,,0,N,Y,,PC,CASE,1,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,PANCH MUKHI SALT 1KG (25KG),SALT PRODUCTS,,,0,Y,N,,PC,CASE,25,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,PANCHMUKHI SALT 1/2 KG (25 KG),SALT PRODUCTS,,,0,Y,N,,PC,CASE,50,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,SODA LOOSE,SODA PRODUCTS,,,0,N,Y,,PC,CASE,1,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO 12 GM (900X1),TAO,,,0,Y,N,,PC,CASE,900,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO 175 GM (61X1),TAO,,,0,N,N,,PC,CASE,60,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO 1KG (25X1),TAO,,,0,Y,N,,PC,CASE,25,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO 500 GM (50X1),TAO,,,0,N,N,,PC,CASE,30,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO 75 GM (122X1),TAO,,,0,N,N,,PC,CASE,120,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO PLUS 400 GM (30X1),TAO PLUS,,,0,Y,N,,PC,CASE,30,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO PLUS 800 GM (24X1),TAO PLUS,,,0,N,N,,PC,CASE,24,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO SCRUBER RS 10/-,SCRUBBER,,,0,Y,N,,PC,CASE,432,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO SCRUBER RS 15/-,SCRUBBER,,,0,Y,N,,PC,CASE,144,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO SCRUBER RS 5/-,SCRUBBER,,,0,Y,N,,PC,CASE,420,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO STEEL WOOL RS 15/-,SCRUBBER,,,0,Y,N,,PC,CASE,144,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,Soda 1kg,SODA PRODUCTS,,,0,Y,N,,PC,CASE,25,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,Soda 500g,SODA PRODUCTS,,,0,Y,N,,PC,CASE,30,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,Soda 200g,SODA PRODUCTS,,,0,Y,N,,PC,CASE,50,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO TOILET CLEANER 500 ML ( 24 X1),TOILET CLEANER,,,0,N,Y,,PC,CASE,1,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO DISH WASH 200 GM (200X48),DETERGENT CAKE,,,0,Y,N,,PC,CASE,48,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO 1KG (12X1),TAO,,,0,N,N,,PC,CASE,12,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,Toilet & Floor Cleaner - Combo Pack,Combo Pack,,,0,N,Y,,PC,CASE,1,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO 2.5KG (10X1),TAO,,,0,N,Y,,PC,CASE,1,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO 2.5KG (10X1),TAO PLUS,,,0,N,Y,,PC,CASE,1,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO 1.5KG (16X1),TAO PLUS,,,0,N,Y,,PC,CASE,1,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO 2.5KG-Lid (10X1),TAO PLUS,,,0,N,Y,,PC,CASE,1,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO 1KG CP(25X1),TAO,,,0,N,N,,PC,CASE,25,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,Active Multi Pack,TAO,,,0,N,N,,CASE,CASE,1,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,Plus Multi Pack,TAO PLUS,,,0,N,N,,CASE,CASE,1,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,Mix Multi Pack,TAO MIX,,,0,N,N,,CASE,CASE,1,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,Mix Multi Pack - Lid,TAO MIX,,,0,N,N,,CASE,CASE,1,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO 500 GM CP(50X1),TAO,,,0,Y,N,,PC,CASE,30,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO PLUS 2.5KG (10X1),TAO PLUS,,,0,N,N,,PC,CASE,10,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO PLUS 1.5KG (16X1),TAO PLUS,,,0,N,N,,PC,CASE,16,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO PLUS 2.5KG-Lid (10X1),TAO PLUS,,,0,Y,N,,PC,CASE,10,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO PLUS 1.5KG-Tub (16X1),TAO PLUS,,,0,Y,N,,PC,CASE,16,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO PLUS 2.5KG-Tub (10X1),TAO PLUS,,,0,Y,N,,PC,CASE,10,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO ACTIVE 2.5KG (10X1),TAO,,,0,Y,N,,PC,CASE,10,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO PLUS 1.5KG-Lid(16X1),TAO PLUS,,,0,Y,N,,PC,CASE,16,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO PLUS 2.5KG-Stool (10X1),TAO PLUS,,,0,Y,N,,PC,CASE,10,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO ACTIVE 400GM (30X1),TAO,,,0,Y,N,,PC,CASE,30,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO DISH WASH 145 GM + 25 GM (60X1),DETERGENT CAKE,,,0,N,N,,PC,CASE,60,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO PLUS 2.5 KG Container with Lid (10X1),TAO PLUS,,,0,Y,N,,PC,CASE,10,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO 110 GM (60X1),TAO,,,0,Y,N,,PC,CASE,60,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO 500 GM (30X1),TAO,,,0,Y,N,,PC,CASE,30,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO 50 GM (120X1),TAO,,,0,Y,N,,PC,CASE,120,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO PLUS 750 GM (24X1),TAO PLUS,,,0,Y,N,,PC,CASE,24,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO DISH WASH 200 GM-SCREBBER (200X48),DETERGENT CAKE,,,0,Y,N,,PC,CASE,48,,,,0,,,,,,,,,,,,,,,0,West Bengal
,,TAO DISH WASH 135 GM + 25 GM (60X1),DETERGENT CAKE,,,0,Y,N,,PC,CASE,60,,,,0,,,,,,,,,,,,,,,0,West Bengal
