Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit,Prod size,Lead time,Buffer level,Max level marketing,UOM4,UOM5,Gross weight,FG_RM,Oil category,Alias,HSN/SAC,Packing Realization,Statename
,AKV15KB00001,ANCHAL KOOL VANASPATI 15 KG BOX,BKY DIV 1,BAKERY PRODUCTS,,0,N,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,Anchal Kool RPKO VP,,1516,32,
,AMC15KB00002,ANCHAL MARGARINE CAKE 15 KG BOX,BKY DIV 1,BAKERY PRODUCTS,,0,N,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,Margerine,,1517,32,
,ASV15KB00003,ANCHAL SPECIAL VANASPATI 15 KG BOX,BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,,,1516,35,
,AV14KB000004,ANCHAL VANASPATI 14 KG BOX,BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,14,BP,MT,0.014,0,,,,,3,1.5,,14,1,14,FG,ANCHAL AEREATED 14 KG,,1516,32,
,AV15KBC00005,ANCHAL VANASPATI 15 KG BOX CLASSIC,BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,,,1516,35,
,AV15KBM00006,ANCHAL VANASPATI 15 KG BOX (M),BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,ANCHAL M,,1516,32,
,AV15KBP00007,ANCHAL VANASPATI 15 KG BOX PREMIUM,BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,,,1516,35,
,AV15KBPG0008,ANCHAL VANASPATI 15 KG BOX PREMIUM GOLD,BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,,,1516,35,
,DV15KB000009,DHRUV VANASPATI 15 KG BOX,BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,,,1516,35,
,DV15KBB10010,DHRUV VANASPATI 15 KG BOX (B1),BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,DHRUV BISCUIT BLUE,,1516,32,
,DV15KBB20011,DHRUV VANASPATI 15 KG BOX (B2),BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,DHRUV BISCUIT BLUE,,1516,32,
,DV15KBB30012,DHRUV VANASPATI 15 KG BOX (B3),BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,DHRUV BISCUIT BLUE,,1516,32,
,DV15KBC00013,DHRUV VANASPATI 15 KG BOX CLASSIC,BKY DIV 1,BAKERY PRODUCTS,,0,N,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,NOT active,,1516,32,
,DV15KBG00014,DHRUV VANASPATI 15 KG BOX GENERAL,BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,,,1516,35,
,DV15KBP00015,DHRUV VANASPATI 15 KG BOX (PQ),BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,DPQ Biscuit,,1516,32,
,DV15KBP00016,DHRUV VANASPATI 15 KG BOX PREMIUM,BKY DIV 1,BAKERY PRODUCTS,,0,N,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,NOT active,,1516,32,
,DV15KBS00017,DHRUV VANASPATI 15 KG BOX SPL,BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,DHRUV SPL PUFF YELLOW,,1516,32,
,DV15KBSP1018,DHRUV VANASPATI 15 KG BOX SPL (P1),BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,DHRUV SPL PUFF YELLOW,,1516,32,
,DV15KBSP2019,DHRUV VANASPATI 15 KG BOX SPL (P2),BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,DHRUV SPL PUFF YELLOW,,1516,32,
,DV15KBSP3020,DHRUV VANASPATI 15 KG BOX SPL (P3),BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,DHRUV SPL PUFF YELLOW,,1516,32,
,DV15KBSP4021,DHRUV VANASPATI 15 KG BOX SPL (P4),BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,DHRUV SPL PUFF YELLOW,,1516,32,
,DV15KBS00022,DHRUV VANASPATI 15 KG BOX SUPER,BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,DHRUV SUPER PUFF RED,,1516,32,
,DV15KBSP1023,DHRUV VANASPATI 15 KG BOX SUPER (P1),BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,DHRUV SUPER PUFF RED,,1516,32,
,DV15KBSP2024,DHRUV VANASPATI 15 KG BOX SUPER (P2),BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,DHRUV SUPER PUFF RED,,1516,32,
,DV15KBSP3025,DHRUV VANASPATI 15 KG BOX SUPER (P3),BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,DHRUV SUPER PUFF RED,,1516,32,
,DV15KBSP4026,DHRUV VANASPATI 15 KG BOX SUPER (P4),BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,DHRUV SUPER PUFF RED,,1516,32,
,DV15KBY00027,DHRUV VANASPATI 15 KG BOX (Y),BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,DHRUV YELLOW BISCUIT,,1516,32,
,PV15KB000028,PARV VANASPATI 15 KG BOX,BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,,,1516,35,
,PV15KBS00029,PARV VANASPATI 15 KG BOX (SPL),BKY DIV 1,BAKERY PRODUCTS,,0,Y,N,Bakery,Case,Kg,15,BP,MT,0.015,0,,,,,3,1.5,,15,1,15,FG,PARV SPL PUFF,,1516,32,
