Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename,UOM
,ELECTRIC BLUE,,1845,0,,0,0,Y,0,0,0,0,,Pcs
,ELECTRIC BLUE,,2575,0,,0,0,Y,0,0,0,0,,Pcs
,BLACK,,2575,0,,0,0,Y,0,0,0,0,,Pcs
,FOREST GREEN,,2575,0,,0,0,Y,0,0,0,0,,Pcs
,ELECTRIC BLUE,,3862.5,0,,0,0,Y,0,0,0,0,,Pcs
,TURKIS GREEN,,3862.5,0,,0,0,Y,0,0,0,0,,Pcs
,BLACK,,3862.5,0,,0,0,Y,0,0,0,0,,Pcs
,FOREST GREEN,,3862.5,0,,0,0,Y,0,0,0,0,,Pcs
,ELECTRIC BLUE,,5150,0,,0,0,Y,0,0,0,0,,Pcs
,TURKIS GREEN,,5150,0,,0,0,Y,0,0,0,0,,Pcs
,BLACK,,5150,0,,0,0,Y,0,0,0,0,,Pcs
,FOREST GREEN,,5150,0,,0,0,Y,0,0,0,0,,Pcs
,ELECTRIC BLUE,,7725,0,,0,0,Y,0,0,0,0,,Pcs
,BLACK,,7725,0,,0,0,Y,0,0,0,0,,Pcs
,ELECTRIC BLUE,,10300,0,,0,0,Y,0,0,0,0,,Pcs
,BLACK,,10300,0,,0,0,Y,0,0,0,0,,Pcs
,FOREST GREEN,,10300,0,,0,0,Y,0,0,0,0,,Pcs
,ELECTRIC BLUE,,16050,0,,0,0,Y,0,0,0,0,,Pcs
,BLACK,,16050,0,,0,0,Y,0,0,0,0,,Pcs
,FOREST GREEN,,2205,0,,0,0,Y,0,0,0,0,,Pcs
,ELECTRIC BLUE,,3175,0,,0,0,Y,0,0,0,0,,Pcs
,ORANGE,,3175,0,,0,0,Y,0,0,0,0,,Pcs
,ROSE PINK,,3175,0,,0,0,Y,0,0,0,0,,Pcs
,CORAL GREEN,,3175,0,,0,0,Y,0,0,0,0,,Pcs
,TURKIS GREEN,,3175,0,,0,0,Y,0,0,0,0,,Pcs
,FOREST GREEN,,3175,0,,0,0,Y,0,0,0,0,,Pcs
,AQUA BLUE,,3175,0,,0,0,Y,0,0,0,0,,Pcs
,WHITE,,3250,0,,0,0,Y,0,0,0,0,,Pcs
,ELECTRIC BLUE,,4762.5,0,,0,0,Y,0,0,0,0,,Pcs
,ORANGE,,4762.5,0,,0,0,Y,0,0,0,0,,Pcs
,ROSE PINK,,4762.5,0,,0,0,Y,0,0,0,0,,Pcs
,CORAL GREEN,,4762.5,0,,0,0,Y,0,0,0,0,,Pcs
,TURKIS GREEN,,4762.5,0,,0,0,Y,0,0,0,0,,Pcs
,FOREST GREEN,,4762.5,0,,0,0,Y,0,0,0,0,,Pcs
,AQUA BLUE,,4762.5,0,,0,0,Y,0,0,0,0,,Pcs
,WHITE,,4875,0,,0,0,Y,0,0,0,0,,Pcs
,ELECTRIC BLUE,,6350,0,,0,0,Y,0,0,0,0,,Pcs
,ORANGE,,6350,0,,0,0,Y,0,0,0,0,,Pcs
,ROSE PINK,,6350,0,,0,0,Y,0,0,0,0,,Pcs
,CORAL GREEN,,6350,0,,0,0,Y,0,0,0,0,,Pcs
,TURKIS GREEN,,6350,0,,0,0,Y,0,0,0,0,,Pcs
,FOREST GREEN,,6350,0,,0,0,Y,0,0,0,0,,Pcs
,AQUA BLUE,,6350,0,,0,0,Y,0,0,0,0,,Pcs
,WHITE,,6500,0,,0,0,Y,0,0,0,0,,Pcs
,ELECTRIC BLUE,,9525,0,,0,0,Y,0,0,0,0,,Pcs
,AQUA BLUE,,9525,0,,0,0,Y,0,0,0,0,,Pcs
,ELECTRIC BLUE,,12700,0,,0,0,Y,0,0,0,0,,Pcs
,ELECTRIC BLUE,,3475,0,,0,0,Y,0,0,0,0,,Pcs
,ORANGE,,3475,0,,0,0,Y,0,0,0,0,,Pcs
,ROSE PINK,,3475,0,,0,0,Y,0,0,0,0,,Pcs
,CORAL GREEN,,3475,0,,0,0,Y,0,0,0,0,,Pcs
,TURKIS GREEN,,3475,0,,0,0,Y,0,0,0,0,,Pcs
,FOREST GREEN,,3475,0,,0,0,Y,0,0,0,0,,Pcs
,AQUA BLUE,,3475,0,,0,0,Y,0,0,0,0,,Pcs
