Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit,Prod size,Lead time,Buffer level,Max level marketing,UOM4,UOM5,Gross weight,FG_RM,Oil category,Alias,HSN/SAC,Packing Realization,Statename
,,ELECTRIC BLUE,layer 2,Ltr 300,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
,,ELECTRIC BLUE,layer 2,Ltr 500,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
,,BLACK,layer 2,Ltr 500,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
,,FOREST GREEN,layer 2,Ltr 500,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
,,ELECTRIC BLUE,layer 2,Ltr 750,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
,,TURKIS GREEN,layer 2,Ltr 750,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
,,BLACK,layer 2,Ltr 750,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
,,FOREST GREEN,layer 2,Ltr 750,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
,,ELECTRIC BLUE,layer 2,Ltr 1000,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
,,TURKIS GREEN,layer 2,Ltr 1000,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
,,BLACK,layer 2,Ltr 1000,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
,,FOREST GREEN,layer 2,Ltr 1000,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
,,ELECTRIC BLUE,layer 2,Ltr 1500,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
,,BLACK,layer 2,Ltr 1500,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
,,ELECTRIC BLUE,layer 2,Ltr 2000,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
,,BLACK,layer 2,Ltr 2000,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
,,FOREST GREEN,layer 2,Ltr 2000,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
,,ELECTRIC BLUE,layer 2,Ltr 3000,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
,,BLACK,layer 2,Ltr 3000,,0,Y,N,,PC,,,,,,0,,,,,,,,,,,,,,,0,
