Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename
West Bengal,dnv123,,0,160,,0,0,Y,0,152.3809524,145.1247166,0,
West Bengal,dnv1234567,,0,104,,0,0,Y,0,785,1005,0,
ROI,dnv123,,0,105,,0,0,Y,0,786,1006,0,
ROI,dnv1234,,0,106,,0,0,Y,0,787,1007,0,
ROI,dnv12345,,0,107,,0,0,Y,0,788,1008,0,
ROI,dnv123456,,0,108,,0,0,Y,0,789,1009,0,
ROI,dnv1234567,,0,109,,0,0,Y,0,790,1010,0,
ROI,dnv123,,0,110,,0,0,Y,0,791,1011,0,
ROI,dnv1234,,0,111,,0,0,Y,0,792,1012,0,
ROI,dnv12345,,0,112,,0,0,Y,0,793,1013,0,
ROI,dnv123456,,0,113,,0,0,Y,0,794,1014,0,
West Bengal,dnv1234,,0,1.6585,,0,0,Y,0,1.55,1.462264151,0,
ROI,dnv1234567,,0,114,,0,0,Y,0,795,1015,0,
NE,dnv123,,0,115,,0,0,Y,0,796,1016,0,
NE,dnv1234,,0,116,,0,0,Y,0,797,1017,0,
NE,dnv12345,,0,117,,0,0,Y,0,798,1018,0,
NE,dnv123456,,0,118,,0,0,Y,0,799,1019,0,
NE,dnv1234567,,0,119,,0,0,Y,0,800,1020,0,
NE,dnv123,,0,120,,0,0,Y,0,801,1021,0,
NE,dnv1234,,0,121,,0,0,Y,0,802,1022,0,
NE,dnv12345,,0,122,,0,0,Y,0,803,1023,0,
NE,dnv123456,,0,123,,0,0,Y,0,804,1024,0,
West Bengal,dnv12345,,0,334.4755,,0,0,Y,0,331,312.2641509,0,
NE,dnv1234567,,0,124,,0,0,Y,0,805,1025,0,
West Bengal,dnv123456,,0,331.444,,0,0,Y,0,328,309.4339623,0,
West Bengal,dnv1234567,,0,788.19,,0,0,Y,0,780,1000,0,
West Bengal,dnv123,,0,100,,0,0,Y,0,781,1001,0,
West Bengal,dnv1234,,0,101,,0,0,Y,0,782,1002,0,
West Bengal,dnv12345,,0,102,,0,0,Y,0,783,1003,0,
West Bengal,dnv123456,,0,103,,0,0,Y,0,784,1004,0,
