Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename
West Bengal,130001001000,,0,160,,0,0,Y,0,152.380952381,145.124716553,0,
West Bengal,110001000000,,0,1.6585,,0,0,Y,0,1.47619047619,1.39263252471,0,
West Bengal,110015000200,,0,334.4755,,0,0,Y,0,315.238095238,297.39442947,0,
ROI,120004000010,,0,7.49,,0,0,Y,0,6.66666666667,6.2893081761,0,
ROI,120004000110,,0,7,,0,0,Y,0,6.23052959502,5.87785810851,0,
ROI,140001000000,,0,3.9697,,0,0,Y,0,3.53333333333,3.33333333333,0,
ROI,110001000050,,0,17.8676625,,0,0,Y,0,17.380952381,16.3971248877,0,
ROI,110001000050,,0,357.35325,,0,0,Y,0,347.619047619,327.942497754,0,
ROI,110001000100,,0,35.735325,,0,0,Y,0,34.7619047619,32.7942497754,0,
ROI,110001000100,,0,357.35325,,0,0,Y,0,347.619047619,327.942497754,0,
ROI,110003000050,,0,30.818115,,0,0,Y,0,31.1428571429,30.2357836338,0,
ROI,110003000050,,0,616.3623,,0,0,Y,0,622.857142857,604.715672677,0,
ROI,110003000100,,0,61.63623,,0,0,Y,0,62.2857142857,60.4715672677,0,
West Bengal,110015000500,,0,331.444,,0,0,Y,0,312.380952381,294.69901168,0,
ROI,110003000100,,0,616.3623,,0,0,Y,0,622.857142857,604.715672677,0,
ROI,110005000050,,0,45,,0,0,Y,0,38.961038961,36.7556971331,0,
ROI,110008000050,,0,24.574155,,0,0,Y,0,23.9047619048,22.5516621743,0,
ROI,110008000050,,0,491.4831,,0,0,Y,0,478.095238095,451.033243486,0,
ROI,110009000100,,0,20.56005,,0,0,Y,0,20,18.8679245283,0,
ROI,110009000100,,0,205.6005,,0,0,Y,0,200,188.679245283,0,
ROI,110010000050,,0,15.5179425,,0,0,Y,0,15.0952380952,14.2407906559,0,
ROI,110010000050,,0,310.35885,,0,0,Y,0,301.904761905,284.815813118,0,
ROI,110010000100,,0,31.035885,,0,0,Y,0,30.1904761905,28.4815813118,0,
ROI,110010000100,,0,310.35885,,0,0,Y,0,301.904761905,284.815813118,0,
West Bengal,110012000050,,0,788.19,,0,0,Y,0,742.857142857,700.808625337,0,
ROI,110011000050,,0,73.722465,,0,0,Y,0,71.7142857143,67.6549865229,0,
ROI,110011000050,,0,1474.4493,,0,0,Y,0,1434.28571429,1353.09973046,0,
ROI,110012000050,,0,38.5256175,,0,0,Y,0,37.4761904762,35.3548966757,0,
ROI,110012000050,,0,770.51235,,0,0,Y,0,749.523809524,707.097933513,0,
ROI,110015000050,,0,16.6928025,,0,0,Y,0,16.2380952381,15.3189577718,0,
ROI,110015000050,,0,333.85605,,0,0,Y,0,324.761904762,306.379155436,0,
ROI,110015000100,,0,33.385605,,0,0,Y,0,32.4761904762,30.6379155436,0,
ROI,110015000100,,0,333.85605,,0,0,Y,0,324.761904762,306.379155436,0,
ROI,110015000200,,0,66.18378,,0,0,Y,0,64.380952381,60.7367475292,0,
ROI,110015000200,,0,330.9189,,0,0,Y,0,321.904761905,303.683737646,0,
West Bengal,110024100250,,0,133.386,,0,0,Y,0,125.714285714,118.598382749,0,
ROI,110015000500,,0,163.990875,,0,0,Y,0,159.523809524,150.494159928,0,
ROI,110015000500,,0,327.98175,,0,0,Y,0,319.047619048,300.988319856,0,
ROI,110017000050,,0,13.6577475,,0,0,Y,0,13.2857142857,12.5336927224,0,
ROI,110017000050,,0,273.15495,,0,0,Y,0,265.714285714,250.673854447,0,
ROI,110017000100,,0,27.315495,,0,0,Y,0,26.5714285714,25.0673854447,0,
ROI,110017000100,,0,273.15495,,0,0,Y,0,265.714285714,250.673854447,0,
ROI,110019000100,,0,16.44804,,0,0,Y,0,16,15.0943396226,0,
ROI,110019000100,,0,164.4804,,0,0,Y,0,160,150.943396226,0,
ROI,110020000050,,0,9.6436425,,0,0,Y,0,9.38095238095,8.84995507637,0,
ROI,110020000050,,0,192.87285,,0,0,Y,0,187.619047619,176.999101527,0,
West Bengal,110024100500,,0,133.386,,0,0,Y,0,125.714285714,118.598382749,0,
ROI,110020000100,,0,19.287285,,0,0,Y,0,18.7619047619,17.6999101527,0,
ROI,110020000100,,0,192.87285,,0,0,Y,0,187.619047619,176.999101527,0,
ROI,110021000050,,0,62.504,,0,0,Y,0,57.2380952381,55.5709662506,0,
ROI,110021000050,,0,1250.08,,0,0,Y,0,1144.76190476,1111.41932501,0,
ROI,110021000100,,0,125.008,,0,0,Y,0,114.476190476,111.141932501,0,
ROI,110021000100,,0,1250.08,,0,0,Y,0,1144.76190476,1111.41932501,0,
ROI,110021000200,,0,249.392,,0,0,Y,0,228.380952381,221.729079982,0,
