DNS Branch Code,Branch Name,Branch Location,Comp Code,Branch State,Branch Email,Branch Account Email,Alternative Email,Plant name,HQ,Is plant
332,AHMEDABAD,AHMEDABAD,DURO,GUJARAT,sales.ahd@sardaplywood.com,,,,,no
458,ASSAM,GUWAHATI,DURO,ASSAM,sales.guwahati@sardaplywood.co,,,,,no
553,BANGALORE,BANGALORE,DURO,KARNATAKA,rungta.blr@sardaplywood.com,,,,,no
446,BHOPAL,BHOPAL,DURO,MADHYA PRADESH,lm.bhopal@sardaplywood.com,,,,,no
216,BHUBANESWAR,BHUBANESWAR,DURO,ORISSA,ajoy.sarkar@sardaplywood.com,,,,,no
420,CHAMPA,CHAMPA,DURO,CHHATTISGARH,,,,,,no
551,CHENNAI,CHENNAI,DURO,TAMIL NADU,sales.chennai@sardaplywood.com,,,,,no
441,DELHI,NEW DELHI,DURO,DELHI,sales.del@sardaplywood.com,,,,,no
215,GUWAHATI,GUWAHATI,DURO,ASSAM,sales.guwahati@sardaplywood.com,,,,,no
443,HARYANA,LUDHIANA,DURO,HARYANA,pankaj.kapoor@duroply.com,,,,,no
221,HEAD OFFICE,KOLKATA,DURO,WEST BENGAL,corp@sardaplywood.com,,,,,no
554,HYDERABAD,HYDERABAD,DURO,ANDHRA PRADESH,sardahyd@sardaplywood.com,,,,,no
220,JEYPORE,JEYPORE(ASSAM),DURO,ASSAM,sardajeypore@duroply.com,,,,,no
333,MAHARASHTRA,,DURO,MAHARASHTRA,sales.mumbai@duroply.com,,,,,no
331,MUMBAI,MUMBAI,DURO,MAHARASTRA,sgp.bom@sardaplywood.com,,,,,no
361,NAGPUR,NAGPUR,DURO,MAHARASHTRA,sales.mumbai@duroply.com,,,,,no
451,NCR-1,DELHI,DURO,DELHI,infodelhi@duroply.com,,,,,no
452,NCR-2,DELHI,DURO,DELHI,infodelhi@duroply.com,,,,,no
219,PATNA,PATNA,DURO,BIHAR,patna@sardaplywood.com,,,,,no
552,PONDICHERRY,PONDICHERRY,DURO,TAMIL NADU,,,,,,no
362,PUNE,PUNE,DURO,MAHARASHTRA,sales.mumbai@duroply.com,,,,,no
454,PUNJAB,LUDHIANA,DURO,PUNJAB,sales.punjab@duroply.com,,,,,no
364,RAIPUR,RAIPUR,DURO,CHHATTISGARH,sales.raipur@duroply.com,,,,,no
427,RAJASTHAN,JAIPUR,DURO,RAJASTHAN,sales.jaipur@duroply.com,,,,,no
317,RAJKOT,SHAPAR(RAJKOT),DURO,GUJARAT,spirajkot@sardaplywood.com,,,,,no
311,RAJKOT DEPOT,RAJKOT,DURO,GUJARAT,acc.rajkot@duroply.com,,,,,no
222,RANCHI,RANCHI,DURO,JHARKHAND,ranchi@sardaplywood.com,,,,,no
447,UTTAR PRADESH,LUCKNOW,DURO,UTTAR PRADESH,sales.lucknow@duroply.com,,,,,no
359,VIDARBHA,NAGPUR,DURO,VIDARBHA,sales.mumbai@duroply.com,,,,,no
457,WEST BENGAL,KOLKATA,DURO,WEST BENGAL,sales.kolkata@duroply.com,,,,,no
525,Andhra Pradesh,Andhra Pradesh,DURO,Andhra Pradesh,,,,,,no
448,WESTERN U.P,WESTERN U.P,DURO,WESTERN U.P,,,,,,no
529,KERALA,Cochin,DURO,KERALA,sales.blr@duroply.com,,,,,no
