Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit,Prod size,Lead time,Buffer level,Max level marketing,UOM4,UOM5,Gross weight,FG_RM,Oil category,Alias,HSN/SAC,Packing Realization,Statename,Prod Full Form,Category,SP Login,Dealer Login
,1,DUROPLY,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,ANDHRA PRADESH,,,,
,2,DURO PUMAPLY,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,ANDHRA PRADESH,,,,
,3,DUROCON,BB / Plywood / Doors,,,0,N,N,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,
,4,DUROMARINE PLY,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,ANDHRA PRADESH,,,,
,5,DUROCOAT,BB / Plywood / Doors,,,0,N,N,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,
,6,DUROMAC PLY,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,ANDHRA PRADESH,,,,
,7,DUROPLATE,BB / Plywood / Doors,,,0,N,N,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,
,8,DUROMAT,BB / Plywood / Doors,,,0,N,N,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,
,9,DURODEN,BB / Plywood / Doors,,,0,N,N,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,
,10,DUROBURL,BB / Plywood / Doors,,,0,N,N,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,
,11,DUROPLUS PLY,BB / Plywood / Doors,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,,,0,ANDHRA PRADESH,,,,
,12,DUROPEARL,BB / Plywood / Doors,,,0,N,N,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,
,13,DUROFINE,BB / Plywood / Doors,,,0,N,N,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,
,14,DUROLUMBER,BB / Plywood / Doors,,,0,N,N,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,
