Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit,Prod size,Lead time,Buffer level,Max level marketing,UOM4,UOM5,Gross weight,FG_RM,Oil category,Alias,HSN/SAC,Packing Realization,Statename
,LUMA009C0535,MAXIMO 9W CL B22,LAMP,MAXIMO,,0,Y,N,,Pcs,,,60,,,0,,,,,,,,,,,,,,,0,
,LUMA005C0543,MAXIMO 5W CL B22,LAMP,MAXIMO,,0,Y,N,,Pcs,,,60,,,0,,,,,,,,,,,,,,,0,
,LUMA005W0544,Maximo 5W WL B22,LAMP,MAXIMO,,0,Y,N,,Pcs,,,60,,,0,,,,,,,,,,,,,,,0,
,LUMA007C0533,Maximo 7W CL B22,LAMP,MAXIMO,,0,Y,N,,Pcs,,,60,,,0,,,,,,,,,,,,,,,0,
,LUMA007W0534,MAXIMO 7W WL B22,LAMP,MAXIMO,,0,Y,N,,Pcs,,,60,,,0,,,,,,,,,,,,,,,0,
,LUMA009W0536,MAXIMO 9W WL B22,LAMP,MAXIMO,,0,Y,N,,Pcs,,,60,,,0,,,,,,,,,,,,,,,0,
,LUMA009C1283,MAXIMO 9W CL E27,LAMP,MAXIMO,,0,Y,N,,Pcs,,,60,,,0,,,,,,,,,,,,,,,0,
,LUMA012C1512,MAXIMO 12W CL B22,LAMP,MAXIMO,,0,Y,N,,Pcs,,,60,,,0,,,,,,,,,,,,,,,0,
,LUMA012W1513,MAXIMO 12W WL B22,LAMP,MAXIMO,,0,Y,N,,Pcs,,,60,,,0,,,,,,,,,,,,,,,0,
,LUMA014C0616,MAXIMO 14W CL B22,LAMP,MAXIMO,,0,Y,N,,Pcs,,,60,,,0,,,,,,,,,,,,,,,0,
,LUMA014W0617,MAXIMO 14W WL B22,LAMP,MAXIMO,,0,Y,N,,Pcs,,,60,,,0,,,,,,,,,,,,,,,0,
,LUMA020C1387,MAXIMO 20W CL 180,LAMP,MAXIMO,,0,Y,N,,Pcs,,,30,,,0,,,,,,,,,,,,,,,0,
,LUMA020W1389,MAXIMO 20W WL 180,LAMP,MAXIMO,,0,Y,N,,Pcs,,,30,,,0,,,,,,,,,,,,,,,0,
