Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit
,,BREAD BUN - CR,BUN,,,0,Y,N,,PC,,,,,,0,,,
,,CHOCO BUNS MRP 10/-,BUN,,,0,Y,N,,PC,,,,,,0,,,
,,CHOCO BUNS MRP 20/-,BUN,,,0,Y,N,,PC,,,,,,0,,,
,,CREAM ROLL CHOCLATE  MRP 10,CREAM ROLL,,,0,Y,N,,PC,,,,,,0,,,
,,CREAM ROLL VANILA (55 GM) MRP 10,CREAM ROLL,,,0,Y,N,,PC,,,,,,0,,,
,,MOREISH COCONUT CABANA,COOKIES,,,0,Y,N,,PC,,,,,,0,,,
,,MOREISH CREAM FILLED CHOCO CAKE,CAKE,,,0,Y,N,,PC,,,,,,0,,,
,,MOREISH CREAM FILLED VANILLA CAKE,CAKE,,,0,Y,N,,PC,,,,,,0,,,
,,MOREISH JINGLE JAM,COOKIES,,,0,Y,N,,PC,,,,,,0,,,
,,MOREISH KAJU KANTA,COOKIES,,,0,Y,N,,PC,,,,,,0,,,
,,MOREISH NUTTY NUGEST BADAM,COOKIES,,,0,Y,N,,PC,,,,,,0,,,
,,MOREISH ROYAL SPREAD,COOKIES,,,0,Y,N,,PC,,,,,,0,,,
,,MOREISH SHOKODREAM,COOKIES,,,0,Y,N,,PC,,,,,,0,,,
,,MOREISH TANGY AJWAN,COOKIES,,,0,Y,N,,PC,,,,,,0,,,
,,MOREISH WHOLE WHEAT,COOKIES,,,0,Y,N,,PC,,,,,,0,,,
,,MOREISH ZEERA PUNCH,COOKIES,,,0,Y,N,,PC,,,,,,0,,,
,,NICE BADAM BISCUIT,COOKIES,,,0,Y,N,,PC,,,,,,0,,,
,,NICE CHOCLATE 12PC,COOKIES,,,0,Y,N,,PC,,,,,,0,,,
,,NICE COCONUT 12PC,COOKIES,,,0,Y,N,,PC,,,,,,0,,,
,,NICE ELIACHI BISCUIT,COOKIES,,,0,Y,N,,PC,,,,,,0,,,
,,NICE SALT BISCUIT,COOKIES,,,0,Y,N,,PC,,,,,,0,,,
,,RUSK-140 GM,RUSK,,,0,Y,N,,PC,,,,,,0,,,
,,TOASTER CLASSIC 200 GM (RUSK),RUSK,,,0,Y,N,,PC,,,,,,0,,,
,,TOASTER ELAICHI 200 GM (RUSK),RUSK,,,0,Y,N,,PC,,,,,,0,,,
,,TOSTER CLASSIC 70 GM (RUSK),RUSK,,,0,Y,N,,PC,,,,,,0,,,
