Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename,UOM
,NEOLAYR MOISTURISING LOTION 250ML (Pump),,0,146.56,,0,0,Y,0,0,0,0,,
,NEOLAYR FOOT MOISTURISING CREAM 10GM,,0,13.79,,0,0,Y,0,0,0,0,,
,NEOLAYR FOOT MOISTURISING CREAM 50GM,,0,85.35,,0,0,Y,0,0,0,0,,
,NEOLAYR HAND MOISTURISING CREAM 10GM,,0,12.93,,0,0,Y,0,0,0,0,,
,NEOLAYR HAND MOISTURISING CREAM 50GM,,0,85.35,,0,0,Y,0,0,0,0,,
,NEOLAYR HAND MOISTURISING CREAM 80GM,,0,94.82,,0,0,Y,0,0,0,0,,
,NEOLAYR CG 25 ML (Pocket Spray),,0,43.11,,0,0,Y,0,0,0,0,,
,NEOLAYR CG 200 ML (with spray pump),,0,120.69,,0,0,Y,0,0,0,0,,
,NEOLAYR MOISTURISING LOTION 50ML,,0,42.24,,0,0,N,0,0,0,0,,
,NEOLAYR HAND WASH 200ML,,0,85.35,,0,0,N,0,0,0,0,,
,NEOLAYR CG 25ML POCKET SPRAY,,0,43.11,,0,0,Y,0,0,0,0,,
,NEOLAYR CALAMINE 50 ML,,0,85.35,,0,0,Y,0,0,0,0,,
,NEOLAYR CALAMINE 10 ML,,0,17.24,,0,0,Y,0,0,0,0,,
,NEOLAYR SUNSCREEN 50GM,,0,171.55,,0,0,Y,0,0,0,0,,
,NEOLAYR SUNSCREEN 10GM,,0,34.49,,0,0,N,0,0,0,0,,
,NEOLAYRe HAND SANITIZER 100 ML,,0,31.49,,0,0,Y,0,0,0,0,,
,NEOLAYRe HAND SANITIZER 200 ML SPRAY,,0,69.3,,0,0,Y,0,0,0,0,,
,NEOLAYRe HAND SANITIZER 500 ML PUMP,,0,157.49,,0,0,Y,0,0,0,0,,
,NEOLAYRe HAND SANITIZER 5 LTR,,0,923.91,,0,0,Y,0,0,0,0,,
,NEEM FACE WASH 50ML,,0,68.97,,0,0,Y,0,0,0,0,,
,NEEM FACE WASH 15ML,,0,12.93,,0,0,Y,0,0,0,0,,
,LEMON FACE WASH 50ML,,0,68.97,,0,0,Y,0,0,0,0,,
,LEMON FACE WASH 15ML,,0,12.93,,0,0,Y,0,0,0,0,,
,PAPAYA FACE WASH 50ML,,0,68.97,,0,0,Y,0,0,0,0,,
,PAPAYA FACE WASH 15ML,,0,12.93,,0,0,N,0,0,0,0,,
,ORANGE FACE WASH 50ML,,0,68.97,,0,0,Y,0,0,0,0,,
,ORANGE FACE WASH 15ML,,0,12.93,,0,0,Y,0,0,0,0,,
,CHARCOAL FACE WASH 50ML,,0,94.82,,0,0,Y,0,0,0,0,,
,CHARCOAL FACE WASH 15ML,,0,12.93,,0,0,Y,0,0,0,0,,
,NEOLAYR LIP CARE 10 GM,,0,38.8,,0,0,Y,0,0,0,0,,
,NML 50ML JAR (12+3),,0,362.04,,0,0,Y,0,0,0,0,,
,LIP CARE MINI JAR (18+2),,0,232.74,,0,0,Y,0,0,0,0,,
,NEEM - CHARCOAL FACE WASH COMBO,,0,64.66,,0,0,Y,0,0,0,0,,
,TRIFALA FACE WASH COMBO,,0,120.7,,0,0,N,0,0,0,0,,
,NEOLAYR LITE,,0,301.74,,0,0,Y,0,0,0,0,,
,NEOLAYR NATURAL PAPAYA GLOWING FACE SCRUB 50 GM,,0,77.59,,0,0,Y,0,0,0,0,,
,NEOLAYR NATURAL PAPAYA GLOWING FACE SCRUB 15 GM,,0,12.93,,0,0,N,0,0,0,0,,
,NEOLAYR NATURAL PAPAYA GLOWING FACE MASK 50 GM,,0,77.59,,0,0,Y,0,0,0,0,,
,PAPAYA FACE SCRUB 50 GM,,0,64.66,,0,0,N,0,0,0,0,,
,PAPAYA FACE SCRUB 15 GM,,0,12.93,,0,0,Y,0,0,0,0,,
,PAPAYA FACE MASK 50 GM,,0,64.66,,0,0,N,0,0,0,0,,
,PAPAYA FACE MASK 15 GM,,0,12.93,,0,0,Y,0,0,0,0,,
,PAPAYA FACIAL KIT,,0,189.66,,0,0,Y,0,0,0,0,,
,TRIFALA 15GM JAR,,0,155.16,,0,0,Y,0,0,0,0,,
,NEOLAYR MICELLAR CLEANSING WATER 100ML,,0,112.08,,0,0,Y,0,0,0,0,,
,NEOLAYR LITE FACE WASH,,0,112.07,,0,0,Y,0,0,0,0,,
,PRO ENLITE DAY CREAM (40 GM),,0,602.6,,0,0,Y,0,0,0,0,,
