Group name,Branch Code,Brand,Acedns
,A101,STAR CEMENT OPC 43,yes
,A101,ULTRATECH,yes
,A101,SURYA GOLD,yes
,A101,STAR CEMENT PSC(ADSTAR),no
,A101,AMRIT,yes
,A101,TOPCEM SDC,yes
,A101,MAX,yes
,A101,BEST,yes
,A101,TAJ,yes
,A101,DALMIA DSP,yes
,A101,STAR,no
,A101,BLACK TIGER,yes
,A101,NUVOCO DURAGUARD,yes
,A101,DALMIA,yes
,A101,STAR CEMENT PPC(ADSTAR),yes
,A101,TOPCEM,yes
,A101,STAR CEMENT ANTIRUST,yes
,A101,LAFARGE,no
,A101,STAR CEMENT PPC,yes
,A101,AMBUJA,yes
,A102,TOPCEM,yes
,A102,ULTRATECH,yes
,A102,LAFARGE,no
,A102,AMBUJA,yes
,A102,DALMIA DSP,yes
,A102,SURYA GOLD,yes
,A102,NUVOCO DURAGUARD,yes
,A102,AMRIT,yes
,A102,STAR CEMENT PPC(ADSTAR),yes
,A102,MAX,yes
,A102,STAR CEMENT ANTIRUST,yes
,A102,ACC,no
,A102,STAR CEMENT PPC,yes
,A102,BLACK TIGER,yes
,A102,DRAGON,yes
,A102,STAR CEMENT OPC 43,yes
,A102,STAR CEMENT PSC(ADSTAR),no
,A102,STAR,no
,A102,TOPCEM SDC,yes
,A102,DALMIA,yes
,A103,TOPCEM,yes
,A103,DALMIA DSP,yes
,A103,SURYA GOLD,yes
,A103,STAR CEMENT PPC(ADSTAR),yes
,A103,AMRIT,yes
,A103,STAR CEMENT ANTIRUST,yes
,A103,MAX,yes
,A103,STAR CEMENT PPC,yes
,A103,DRAGON,yes
,A103,STAR CEMENT OPC 43,yes
,A103,VIRGO,yes
,A103,STAR CEMENT PSC(ADSTAR),no
,A103,TOPCEM SDC,yes
,A103,STAR,no
,A103,DALMIA,yes
,A104,STAR CEMENT ANTIRUST,yes
,A104,TOPCEM,yes
,A104,STAR WEATHER SHIELD (TRADE),yes
,A104,STAR CEMENT PPC,yes
,A104,AMBUJA,yes
,A104,ULTRATECH,yes
,A104,STAR CEMENT OPC 43,no
,A104,LAFARGE,no
,A104,STAR CEMENT PSC(ADSTAR),no
,A104,BIRLA GOLD,no
,A104,TOPCEM SDC,yes
,A104,AMRIT,yes
,A104,MAX,yes
,A104,GOLD STONE,no
,A104,DALMIA DSP,yes
,A104,BEST,yes
,A104,BLACK TIGER,yes
,A104,NUVOCO DURAGUARD,yes
,A104,STAR,no
,A104,STAR CEMENT PPC(ADSTAR),no
,A104,DALMIA,yes
,A105,STAR CEMENT ANTIRUST,yes
,A105,AMBUJA,yes
,A105,STAR CEMENT PPC,yes
,A105,LAFARGE,no
,A105,STAR CEMENT OPC 43,no
,A105,STAR WEATHER SHIELD (TRADE),yes
,A105,BIRLA GOLD,no
,A105,STAR CEMENT PSC(ADSTAR),no
,A105,AMRIT,yes
,A105,TOPCEM SDC,yes
,A105,MAX,yes
,A105,ULTRATECH,yes
,A105,GOLD STONE,no
,A105,STAR,no
