Customer Code,Customer Name,April,April Achv.,April prev year,April prev year Achv.,May,May Achv.,May prev year,May prev year Achv.,June,June Achv.,June prev year.,June prev year Achv.,July,July Achv.,July prev year,July prev year Achv.,August,August Achv.,August prev year,August prev year Achv.,September,September Achv.,September prev year,September prev year Achv.,October,October Achv.,October prev year,October prev year Achv.,November,November Achv.,November prev year,November prev year Achv.,December,December Achv.,December prev year,December prev year Achv.,January,January Achv.,January  prev year,January prev year Achv.,February,February Achv.,February  prev year,February  prev year Achv.,March,March Achv.,March prev year,March prev year Achv.
WBS269,SUCHANA HARDWARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBK062,KABIR HARDWARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBH041,HOQUE BUILDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBT065,TANUJA HARDWARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBR049,RUJ HARDWARE (MURSHIDABAD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBM180,MEHERUNNESA BIBI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBJ059,JADAV CHANDRA PRAMANIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBE017,ELAHI BHAROSHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBS035,SHILPI BUILDERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBN082,NEW ASHA HARDWARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBH034,HOSSAIN HARDWARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBT063,TAHAJUDDIN MALLIK   (LEGAL),0,0,100,0,0,0,100,0,0,0,100,0,0,0,80,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,150,0,0,0,100,0,0,0,150,0,0,0,150,0,0,0,150,0
G127,GOUTAM SARKAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEZ025,Z ENTERPRISES,0,0,785,595,0,0,730,485,0,0,550,772,0,0,670,880,0,0,645,770,0,0,915,869.4,0,0,0,649.95,0,0,650,700,0,0,860,1003.2,0,0,655,679.2,0,0,1110,1307.9,0,0,1350,1344.55
WBK061,KAIRI BUILDERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBM258,M P CONSTRUCTION (AMTALA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBT064,TUHIBBUL ALAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBB091,B M ENTERPRISE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBA114,ANIK ENTERPRISE  (LEGAL),0,0,100,0,0,0,100,0,0,0,77,0,0,0,77,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0
WBS277,STEEL POINT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A195,ABDUR RASHID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBA055,ALEK ENTERPRISE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A221,ASIK ENTERPRISE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBB081,BABA BISHWANATH AGENCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBS216,SAFIKUL ISLAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBS234,SAYAN HARDWARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBD070,DIPANKAR PAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBJ049,JANAPRIYA HARDWARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBS244,SAHIDUL ISLAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B235,BHAI BHAI HARDWARE (MURSHIDABAD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M358,M/S. SUBODH KR. DAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBB102,BENGAL TRADERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBR153,RAJASTHAN MARBELS AND HARDWARE,0,0,25,15,0,0,25,21,0,0,25,35,0,0,25,30,0,0,25,30,0,0,25,20,0,0,20,11,0,0,25,0,0,0,25,20,0,0,20,10,0,0,30,20,0,0,20,10
WBM235,MURARI MOHAN RETAIL,0,0,90,146,0,0,100,160,0,0,100,75,0,0,100,122,0,0,100,25,0,0,50,40,0,0,100,56,0,0,100,10,0,0,100,22.5,0,0,100,105,0,0,50,175,0,0,100,279.5
R230,R I ENTERPRISE,0,0,50,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,20,13,0,0,50,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,75,0,0,0,0,0
WBM254,MAA ENTERPRISE (BALIADANGA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBM247,MD SAHAJAHAN,0,0,90,120,0,0,90,90,0,0,90,50,0,0,70,53,0,0,50,55,0,0,50,55,0,0,75,80,0,0,75,25,0,0,70,75,0,0,120,80,0,0,110,140,0,0,100,100
B164,BASIR ENTERPRISE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBA087,ARIB HARDWARE & COLOUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBR005,ROY SUPPLIERS,0,0,75,211,0,0,100,180,0,0,50,76,0,0,75,25,0,0,100,99.5,0,0,40,52,0,0,75,66,0,0,75,5,0,0,100,100,0,0,130,31,0,0,130,220.5,0,0,135,169.5
WBM243,MD YOUSUF ALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBT056,TRIRATNA HARDWARE,0,0,70,50,0,0,50,65,0,0,50,45,0,0,60,45,0,0,65,45,0,0,35,75,0,0,50,0,0,0,50,80,0,0,60,50,0,0,75,75,0,0,75,76,0,0,75,75
WBA110,ANSARI ENTERPRISE,0,0,260,0,0,0,195,165,0,0,195,88.7,0,0,120,134.25,0,0,170,178.5,0,0,120,184,0,0,130,89.9,0,0,150,80,0,0,150,114,0,0,160,127,0,0,170,130.7,0,0,200,75
WBA108,AMINUL TRADERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBA091,AYUSH TRADING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBT019,T C ENTERPRISE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L064,LOKNATH CONSTRUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEM420,MON KAMONA HARDWARE,0,0,100,74,0,0,130,90.5,0,0,80,77,0,0,75,26,0,0,100,39,0,0,60,39,0,0,35,78.5,0,0,100,65.5,0,0,100,52,0,0,50,26,0,0,50,52.5,0,0,50,78.5
WBL026,LOKNATH BUILDERS (D. DINAJPUR),0,0,60,53,0,0,60,0,0,0,35,0,0,0,20,10,0,0,10,10,0,0,10,16,0,0,15,15,0,0,20,0,0,0,10,10,0,0,15,30,0,0,50,10,0,0,55,31
L082,LAHA ENTERPRISE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDRE08569,YASH TRADERS (RSRY0332),0,15,0,0,0,25,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBB094,BURIMAA ENTERPRISE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,60,15
NEP292,PRATIMA ENTERPRISE,0,0,49,26,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBS249,SRI RAM CONSTRUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBP026,PAL BUILDERS (D DINAJPUR),0,0,160,168,0,0,130,130,0,0,130,133,0,0,80,112,0,0,110,115,0,0,60,145,0,0,110,110,0,0,135,65,0,0,120,181,0,0,100,101,0,0,140,286,0,0,200,292.5
WBS196,SABITRI LAHA,0,0,220,220,0,0,200,201,0,0,175,205,0,0,170,60,0,0,140,140,0,0,95,105.5,0,0,175,40,0,0,110,110,0,0,130,50,0,0,75,103,0,0,150,169,0,0,190,41
S569,SRI KRISHNA CONSTRUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBB115,BALAJI BUILDERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHM131,MAHARANI AGENCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBS238,SRI KRISHNA HARDWARE (BALURGHAT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBL005,LAXMI NARAYAN ENTERPRISE,0,0,230,297,0,0,200,168,0,0,180,158,0,0,200,233,0,0,230,111,0,0,170,276,0,0,265,312,0,0,280,189,0,0,180,295.5,0,0,200,315.5,0,0,250,311,0,0,315,544
NEC139,CHOUDHURY TRADERS,0,0,55,75,0,0,50,43,0,0,40,10,0,0,55,15,0,0,22,18.5,0,0,49.5,34.5,0,0,55,95,0,0,105,45,0,0,110,51,0,0,162.75,25.5,0,0,200,30,0,0,85,101
WBM208,MAA BIDDYASWARI CONSTRUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDRE08746,RAJESH HARDWARE - THAKURGANJ (RSRR0419),0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBM221,MAA KALI BUILDERS (D.DINAJPUR),0,0,155,260,0,0,170,260,0,0,170,193,0,0,165,206,0,0,200,78,0,0,130,192.5,0,0,165,219,0,0,200,100,0,0,130,145,0,0,160,161,0,0,180,186,0,0,190,211
WBG078,GOURI ENTERPRISE (DAKSHIN DINAJPUR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBK032,KAJAL LOUHA BHANDAR (D DINAJPUR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEC138,CLASSIC TYRES,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBM220,MAHALAXMI HARDWARES (D.DINAJPUR),0,0,120,76,0,0,115,140,0,0,105,113,0,0,80,90,0,0,110,80,0,0,60,56,0,0,50,20,0,0,100,42,0,0,65,30,0,0,60,18.5,0,0,120,20,0,0,110,13.5
WBN051,NEW BURIMA HARDWARE,0,0,250,181,0,0,225,231,0,0,200,205,0,0,200,203,0,0,230,200,0,0,165,179,0,0,180,180,0,0,225,225,0,0,165,313.5,0,0,200,258,0,0,280,285,0,0,300,506
WBR117,ROY ENTERPRISE (BALURGHAT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBM250,MAA ENTERPRISE (DEHABOND),0,0,80,55,0,0,80,50,0,0,70,0,0,0,50,35,0,0,60,20,0,0,35,45,0,0,60,25,0,0,60,50,0,0,100,50,0,0,50,25,0,0,100,55,0,0,110,55
SDRE08740,AK TRADERS (RSRA0413),0,55,0,0,0,35,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
