Branch Code,Branch name,Dns Prod Code,Prod Desc,Status
121,AGARTALA,CAT001,Wall Calendar - Lord Ganesha,Y
121,AGARTALA,CAT002,Wall Calendar - Lord Krishna,Y
121,AGARTALA,CAT003,Wall Calendar - Lord Buddha,Y
121,AGARTALA,CAT004,Wall Calendar - Lord Jesus,Y
121,AGARTALA,CAT005,Wall Calendar - Holly Mecca,Y
121,AGARTALA,CAT006,Wall Calendar - Baby Girl,Y
121,AGARTALA,CAT007,Desk Top Calendar Representative Image Only,Y
121,AGARTALA,CAT008,Dairy Representative Image Only,Y
142,ALIPURDUAR,CAT001,Wall Calendar - Lord Ganesha,Y
142,ALIPURDUAR,CAT002,Wall Calendar - Lord Krishna,Y
142,ALIPURDUAR,CAT003,Wall Calendar - Lord Buddha,Y
142,ALIPURDUAR,CAT004,Wall Calendar - Lord Jesus,Y
142,ALIPURDUAR,CAT005,Wall Calendar - Holly Mecca,Y
142,ALIPURDUAR,CAT006,Wall Calendar - Baby Girl,Y
142,ALIPURDUAR,CAT007,Desk Top Calendar Representative Image Only,Y
142,ALIPURDUAR,CAT008,Dairy Representative Image Only,Y
118,AP - BANDERDEWA,CAT001,Wall Calendar - Lord Ganesha,Y
118,AP - BANDERDEWA,CAT002,Wall Calendar - Lord Krishna,Y
118,AP - BANDERDEWA,CAT003,Wall Calendar - Lord Buddha,Y
118,AP - BANDERDEWA,CAT004,Wall Calendar - Lord Jesus,Y
118,AP - BANDERDEWA,CAT005,Wall Calendar - Holly Mecca,Y
118,AP - BANDERDEWA,CAT006,Wall Calendar - Baby Girl,Y
118,AP - BANDERDEWA,CAT007,Desk Top Calendar Representative Image Only,Y
118,AP - BANDERDEWA,CAT008,Dairy Representative Image Only,Y
119,AP - BHALUKPONG,CAT001,Wall Calendar - Lord Ganesha,Y
119,AP - BHALUKPONG,CAT002,Wall Calendar - Lord Krishna,Y
119,AP - BHALUKPONG,CAT003,Wall Calendar - Lord Buddha,Y
119,AP - BHALUKPONG,CAT004,Wall Calendar - Lord Jesus,Y
119,AP - BHALUKPONG,CAT005,Wall Calendar - Holly Mecca,Y
119,AP - BHALUKPONG,CAT006,Wall Calendar - Baby Girl,Y
119,AP - BHALUKPONG,CAT007,Desk Top Calendar Representative Image Only,Y
119,AP - BHALUKPONG,CAT008,Dairy Representative Image Only,Y
120,AP - LIKABALI,CAT001,Wall Calendar - Lord Ganesha,Y
120,AP - LIKABALI,CAT002,Wall Calendar - Lord Krishna,Y
120,AP - LIKABALI,CAT003,Wall Calendar - Lord Buddha,Y
120,AP - LIKABALI,CAT004,Wall Calendar - Lord Jesus,Y
120,AP - LIKABALI,CAT005,Wall Calendar - Holly Mecca,Y
120,AP - LIKABALI,CAT006,Wall Calendar - Baby Girl,Y
120,AP - LIKABALI,CAT007,Desk Top Calendar Representative Image Only,Y
120,AP - LIKABALI,CAT008,Dairy Representative Image Only,Y
113,AP - TINSUKIA,CAT001,Wall Calendar - Lord Ganesha,Y
113,AP - TINSUKIA,CAT002,Wall Calendar - Lord Krishna,Y
113,AP - TINSUKIA,CAT003,Wall Calendar - Lord Buddha,Y
113,AP - TINSUKIA,CAT004,Wall Calendar - Lord Jesus,Y
113,AP - TINSUKIA,CAT005,Wall Calendar - Holly Mecca,Y
113,AP - TINSUKIA,CAT006,Wall Calendar - Baby Girl,Y
113,AP - TINSUKIA,CAT007,Desk Top Calendar Representative Image Only,Y
113,AP - TINSUKIA,CAT008,Dairy Representative Image Only,Y
147,ARARIA,CAT001,Wall Calendar - Lord Ganesha,Y
147,ARARIA,CAT002,Wall Calendar - Lord Krishna,Y
147,ARARIA,CAT003,Wall Calendar - Lord Buddha,Y
147,ARARIA,CAT004,Wall Calendar - Lord Jesus,Y
147,ARARIA,CAT005,Wall Calendar - Holly Mecca,Y
147,ARARIA,CAT006,Wall Calendar - Baby Girl,Y
147,ARARIA,CAT007,Desk Top Calendar Representative Image Only,Y
147,ARARIA,CAT008,Dairy Representative Image Only,Y
145,BEGUSARAI,CAT001,Wall Calendar - Lord Ganesha,Y
145,BEGUSARAI,CAT002,Wall Calendar - Lord Krishna,Y
145,BEGUSARAI,CAT003,Wall Calendar - Lord Buddha,Y
145,BEGUSARAI,CAT004,Wall Calendar - Lord Jesus,Y
145,BEGUSARAI,CAT005,Wall Calendar - Holly Mecca,Y
145,BEGUSARAI,CAT006,Wall Calendar - Baby Girl,Y
145,BEGUSARAI,CAT007,Desk Top Calendar Representative Image Only,Y
145,BEGUSARAI,CAT008,Dairy Representative Image Only,Y
149,BHAGALPUR,CAT001,Wall Calendar - Lord Ganesha,Y
149,BHAGALPUR,CAT002,Wall Calendar - Lord Krishna,Y
149,BHAGALPUR,CAT003,Wall Calendar - Lord Buddha,Y
149,BHAGALPUR,CAT004,Wall Calendar - Lord Jesus,Y
149,BHAGALPUR,CAT005,Wall Calendar - Holly Mecca,Y
149,BHAGALPUR,CAT006,Wall Calendar - Baby Girl,Y
149,BHAGALPUR,CAT007,Desk Top Calendar Representative Image Only,Y
149,BHAGALPUR,CAT008,Dairy Representative Image Only,Y
138,COOCHBIHAR,CAT001,Wall Calendar - Lord Ganesha,Y
138,COOCHBIHAR,CAT002,Wall Calendar - Lord Krishna,Y
