Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit,Prod size,Lead time,Buffer level,Max level marketing,UOM4,UOM5,Gross weight,FG_RM,Oil category,Alias,HSN/SAC,Packing Realization,Statename,Prod Full Form,Category,SP Login,Dealer Login
,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN01,F000000001,STAR CEMENT PPC,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN01,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN01,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN02,F000000001,STAR CEMENT PPC,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN02,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN02,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN03,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN03,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN03,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN04,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN04,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN04,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN05,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN05,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN05,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN06,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN06,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN06,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN07,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN07,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN07,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN08,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN08,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN08,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN09,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN09,F000000146,STAR CEMENT PPC(ADSTAR),CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DN09,F000000103,STAR CEMENT ANTIRUST,CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS01,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS01,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS02,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS02,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS03,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS03,TGS0000008,STAR CEMENT PSC(ADSTAR),CEMENT,,,0,N,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
DS04,F000000001,STAR CEMENT PPC,CEMENT,,,0,Y,N,,MT,BAGS,0.05,,,,0,,0,,,,,,,,,,,,,0,,,,Y,Y
