Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename
,REDMI NOTE 6 Pro (4+64),,0,13372,,0,0,Y,0,0,0,0,
,REDMI 4(3+32),,0,8118,,0,0,Y,0,0,0,0,
,REDMI 4(4+64),,0,10029,,0,0,Y,0,0,0,0,
,REDMI 5(2+16),,0,7641,,0,0,Y,0,0,0,0,
,REDMI 5(3+32),,0,8596,,0,0,Y,0,0,0,0,
,REDMI 5(4+64),,0,10506,,0,0,Y,0,0,0,0,
,REDMI 6(3+32),,0,7641,,0,0,Y,0,0,0,0,
,REDMI 6(3+64),,0,8596,,0,0,Y,0,0,0,0,
,REDMI 6 Pro(3+32),,0,9551,,0,0,Y,0,0,0,0,
,REDMI 6 Pro(4+64),,0,11461,,0,0,Y,0,0,0,0,
,REDMI 4A,,0,5730,,0,0,Y,0,0,0,0,
,REDMI NOTE 6 Pro (6+64),,0,15282,,0,0,Y,0,0,0,0,
,REDMI 4A (3+32),,0,6685,,0,0,Y,0,0,0,0,
,MI MAX2,,0,15282,,0,0,Y,0,0,0,0,
,MI A1,,0,13372,,0,0,Y,0,0,0,0,
,MI A2,,0,13372,,0,0,Y,0,0,0,0,
,REDMI Y1,,0,6685,,0,0,Y,0,0,0,0,
,Mi Mix 2,,0,28655,,0,0,Y,0,0,0,0,
,REDMI Y1 (3+32),,0,8596,,0,0,Y,0,0,0,0,
,REDMI Y1 (4+64),,0,10506,,0,0,Y,0,0,0,0,
,REDMI Y2 (3+32),,0,8596,,0,0,Y,0,0,0,0,
,REDMI Y2 (4+64),,0,10506,,0,0,Y,0,0,0,0,
,REDMI NOTE 5(3+32),,0,9551,,0,0,Y,0,0,0,0,
,REDMI 5A (2+16),,0,5730,,0,0,Y,0,0,0,0,
,REDMI 5A (3+32),,0,6685,,0,0,Y,0,0,0,0,
,REDMI 6A (2+16),,0,5730,,0,0,Y,0,0,0,0,
,REDMI 6A (2+32),,0,6685,,0,0,Y,0,0,0,0,
,Poco - F1 (6+64),,0,19327,,0,0,Y,0,0,0,0,
,Poco - F1 (6+128),,0,22226,,0,0,Y,0,0,0,0,
,Poco - F1 (8+256),,0,27058,,0,0,Y,0,0,0,0,
,Poco - F1 (8+256) Kevlar,,0,28025,,0,0,Y,0,0,0,0,
,REDMI NOTE 5(4+64),,0,11461,,0,0,Y,0,0,0,0,
,REDMI NOTE 5 Pro (4+64),,0,12417,,0,0,Y,0,0,0,0,
,REDMI NOTE 5 Pro (6+64),,0,13372,,0,0,Y,0,0,0,0,
,REDMI NOTE 4(3+32),,0,9551,,0,0,Y,0,0,0,0,
,REDMI NOTE 4(4+64),,0,10506,,0,0,Y,0,0,0,0,
,REDMI 4(2+16),,0,6685,,0,0,Y,0,0,0,0,
