Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit,Prod size,Lead time,Buffer level,Max level marketing,UOM4,UOM5,Gross weight,FG_RM,Oil category,Alias
,,REDMI NOTE 5(3+32),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI NOTE 5(4+64),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI NOTE 5 Pro (4+64),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI NOTE 5 Pro (6+64),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI 4(2+16),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI 4(3+32),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI 4(4+64),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI 5(2+16),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI 5(3+32),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI 5(4+64),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI 6(3+32),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI 6(3+64),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI 6 Pro(3+32),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI 6 Pro(4+64),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,MI MAX2,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,MI A1,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,MI A2,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI Y1,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,Mi Mix 2,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI Y1 (3+32),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI Y2 (3+32),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI Y2 (4+64),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI 5A (2+16),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI 5A (3+32),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI 6A (2+16),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI 6A (2+32),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,Poco - F1 (6+64),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,Poco - F1 (6+128),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,Poco - F1 (8+256),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,Poco - F1 (8+256) Kevlar,,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
,,REDMI NOTE 6 Pro (4+64),,,,0,Y,N,,,,,,,,0,,,,,,,,,,,,,
