Branch code,route_name,Zone,Tranport mode,Truck Size,Frieght
1000D,Gangarampur,WB4,Truck,20,36000
1000D,Kaliachak,WB6,Truck,20,33000
1000D,Alipurduar,WB5,Truck,20,51500
1000D,Tufanganj,WB5,Truck,20,51700
1000D,Dharampur,WB4,Truck,20,40600
1000D,Darjeeling,WB5,Truck,20,45000
1000D,Kaliaganj,WB4,Truck,20,36000
1000D,Malda,WB6,Truck,20,33000
1000D,Dalkhola,WB4,Truck,20,39600
1000D,Balurghat,WB4,Truck,20,38000
1000D,Cooch Bihar,WB5,Truck,20,51000
1000D,Raiganj,WB4,Truck,20,36000
1000D,Uttar Dinajpur,WB4,Truck,20,41000
1000D,Falakata,WB5,Truck,20,50600
1000D,Jalpaiguri,WB5,Truck,20,48000
1000D,Siliguri,WB5,Truck,20,45000
