SKU Code,Description,Mapped SKU,Conversion1,Addition,Conversion2,Multiply
400000611,Bake Magic,400000611,0,no,0,no
400000396,Palm  15 ltr Jar,400000692,0,no,0,no
400000141,Palm 1 ltr Pouch (10pc),400000141,0,no,0,no
400000450,Palm 1 ltr Pouch (16pc),400000141,0,no,1.6,yes
400000692,Palm 15 kg Tin (New),400000692,0,no,0,no
400000691,Palm 15 ltr Tin (New),400000692,-90,yes,0,no
400000128,Palm 500 ml Pouch,400000141,9.52,yes,0,no
400000455,Rasoi 1 ltr Pouch (Siliguri),400000589,0,no,0,no
400000441,Rasoi 15 kg Jar (Blue),400000441,0,no,0,no
400000731,Rasoi 15 kg Jar (Blue-North),400000441,0,no,0,no
400000449,Rasoi 15 kg Jar (Gold),400000449,0,no,0,no
400000730,Rasoi 15 kg Tin (Blue-North),400000441,0,no,0,no
400000465,Rasoi 15 ltr Jar (Yellow),400000523,-80,yes,0,no
400000589,Rasoi No 1 - 1 ltr Pouch,400000589,0,no,0,no
400000594,Rasoi No 1 - 500ml Pouch,400000589,16,yes,0,no
400000523,Rasoi No 1 15 kg Jar,400000523,0,no,0,no
400000595,Rasoi No 1 15 kg Tin,400000523,0,no,0,no
400000635,Rasoi No 1 15 ltr Tin,400000523,-80,yes,0,no
400000521,Rasoi No-1 15 ltr Jar,400000523,-80,yes,0,no
400000562,Soyabean 1 ltr Bottle - Sidel,400000140,35,yes,0,no
400000140,Soyabean 1 ltr Pouch,400000140,0,no,0,no
400000693,Soyabean 15 kg Tin (New),400000693,0,no,0,no
400000397,Soyabean 15 ltr Jar,400000140,55,yes,1.25,yes
400000678,Soyabean 15 ltr Tin (New),400000693,-95.25,yes,0,no
400000566,Soyabean 200 ml Bottle - Sidel,400000140,144,yes,0,no
400000255,Soyabean 5 ltr Jar,400000140,140,yes,1.67,yes
400000564,Soyabean 500 ml Bottle - Sidel,400000140,84,yes,0,no
400000170,Soyabean 500 ml Pouch,400000140,10,yes,0,no
400000637,Sunflower 1 ltr Pouch (12pc),400000637,0,no,0,no
400000260,Sunflower 1 ltr Pouch (16pc),400000637,0,no,1.34,yes
400000715,Sunflower 15 kg Tin (LD),400000715,0,no,0,no
400000710,Sunflower 15 ltr Jar (LD),400000637,60,yes,1.25,yes
400000716,Sunflower 15 ltr Tin (LD),400000715,-95.25,yes,0,no
400000712,Sunflower 5 ltr Jar,400000637,140,yes,1.67,yes
400000782,Sunflower 500 ml Pouch,400000637,10,yes,0,no
