Route Code,Route Name
,""
BAROBISHA,"11001765;AEMP000799000681;11001774;1101153;11001835"
MANGALDOI,"1100790;1101083"
SIPAJHAR,"1100790;1101083"
DA02137,"13NO. GUMTI CHOWK"
MA01140,"18 MILE"
DNK0014,"24 PUR"
DAN0010,"24 PUR"
WA01806,"3 NO.BUS STAND"
ALI0011,"4 MAIL"
KA00310,"5 NO.HAAT"
KO00397,"58 NO GATE"
SHA0001,"58 NO GATE"
MA01000,"8 MILE"
TIRUPATI ENTERPRISE,"8474892737"
Y,"872757"
J.K. ENTERPRISE,"8751243250"
NTNE089,"A.P."
DIB1701,"A.T ROAD"
TIN0035,"A.T ROAD - TINSUKIA"
LIK0101,"AALO"
DH03200,"AANGWALI"
LA03233,"ABHAIPUR"
LBO1901,"ABHAYAPURI"
LBO2402,"ABHAYAPURI"
OTH0033,"ABHAYAPURI"
LOWO0001,"ABHAYAPURI"
OTH0647,"ABHAYAPURI (LOWER ASSAM 1)"
OTH0088,"ABHAYAPURI (NT)"
BU00161,"ABHIRAMPUR"
BI00078,"ABINASHPUR"
BUR0031,"ABU JHATI"
SILK0001,"ACHIMGANJ"
SILC0001,"ACHIMGANJ"
SIL5901,"ACHIMGANJ"
GHY6101,"ADABARI"
GUWU0001,"ADABARI"
RA02925,"ADALHATU"
BH01771,"ADAMPUR"
DA01260,"ADHIKARY"
GHY0009,"ADHIYARPAR"
GUWR0001,"ADHIYARPAR"
TA03359,"ADITYAPUR"
PUR0066,"ADRA"
GHY0020,"AEC ROAD"
KO00488,"AGARPARA"
NTNE001,"AGARTALA"
NDL001,"AGARTALA"
OTH0481,"AGARTALA (AGARTALA)"
B001DUM01,"AGARTALA (SCL)"
OTH0145,"AGARTALA AIRPORT"
OTH0004,"AGARTALA OFFICE"
AGR1801,"AGARTALA OFFICE"
OTH0038,"AGARTALA UNIVERSITY"
OTH0748,"AGARTALA UNIVERSITY (AGARTALA)"
LDH0101,"AGOMONI"
LOWO0057,"AGOMONI"
OTH0698,"AGOMONI (LOWER ASSAM 1)"
BI00079,"AHAMADPUR"
MU01391,"AHIRON"
BEG0009,"AHIYAPUR"
KO10031,"AHMERST STREET"
MA01001,"AIHO"
GA02336,"AIMA CHOWKI"
SILH0001,"AINAKHAL"
SIL4801,"AINAKHAL"
KO00597,"AIRPORT"
KO00570,"AIRPORT."
KRI0011,"AISHMALI"
OTH0121,"AIZAWL"
AIZ0015,"AIZAWL"
B003DUM01,"AIZAWL (SCL)"
NTNE002,"AIZWAL"
OTH0586,"AIZWAL TOWN (MIZORAM)"
MU01392,"AJAGARPARA"
WA01868,"AJIJGHAT"
WA01807,"AKBARPUR"
WA01874,"AKONA"
KA00377,"AKRA"
EA00242,"AKRA"
BA00001,"AKUI"
BI00080,"AKUPURCHUTI"
DA01999,"ALALPATTI"
MU02245,"ALAM NAGAR"
SA02249,"ALAM NAGAR"
SUP0001,"ALAM NAGAR"
MA01002,"ALAM PUR"
SHA0002,"ALAMPUR"
KO00398,"ALAMPUR"
SIL4001,"ALGAPUR"
SILC0060,"ALGAPUR"
SILH0002,"ALGAPUR"
DRJ0002,"ALGARA"
DRJ0042,"ALGARA-DARJEELING"
DRH0173,"ALGARA-DARJEELING"
DRH0003,"ALGARHA"
DRP0003,"ALGARHA"
DA01261,"ALGARHA"
BH01772,"ALIGANJ"
LAX0004,"ALIGANJ"
LA03224,"ALIGANJ MAIN ROAD"
DIB0501,"ALIMUR"
DA02185,"ALINAGAR"
MO00833,"ALINAGAR"
MA01255,"ALINAGAR"
MA01131,"ALINAGAR, MALDA"
DAK0007,"ALIPUR"
GA02296,"ALIPUR"
CO01456,"ALIPUR ROAD"
AL01539,"ALIPUR TOWN"
NTWB018,"ALIPURDUAR"
OTH0353,"ALIPURDUAR"
OTH0543,"ALIPURDUAR (ALIPURDUAR)"
COA014611,"ALIPURDUAR II"
ALI0001,"ALIPURDUAR TOWN"
NTWB176,"ALIPURDUAR- ALIPURDUAR"
ALI00011,"ALIPURDUAR-I"
LOWT0001,"ALIYA"
LNA0101,"ALIYA"
GUWR0002,"ALIYA1"
GHY8102,"ALIYA1"
BE02526,"ALOLI"
KIS0034,"ALTA"
MA01148,"ALTOR"
GUWR0042,"ALUPUTICHAR"
DA02120,"AMADA"
WES0008,"AMARDA"
AGR0022,"AMARPUR"
OTH0287,"AMARPUR"
UDI0101,"AMARPUR"
BH01773,"AMARPUR"
OTH0027,"AMARPUR (AGT)"
OTH0664,"AMARPUR - GOMATI (UDAIPUR)"
GAY0005,"AMARUT"
WA01808,"AMAWA"
TEZ0009,"AMBACHOWK"
NGN1701,"AMBAGAN"
DA01383,"AMBARI"
DRP0125,"AMBARI"
GUWU0002,"AMBARI"
DRH0125,"AMBARI"
GHY6301,"AMBARI"
JA01573,"AMBARI"
DA01262,"AMBARI BORDER"
DRP0004,"AMBARI BORDER"
NTWB107,"AMBARI FALAKATA"
DHA0020,"AMBASA"
OTH0637,"AMBASA (DHARMANAGAR)"
DHA0101,"AMBASSA"
DUM0030,"AMBEDKAR"
WA01828,"AMBER CHOK"
WA01901,"AMBERSHEKHANA"
WA01809,"AMBIKA BIGHA"
DRP0001,"AMBIKA NAGAR"
DRH0001,"AMBIKA NAGAR"
DA01259,"AMBIKA NAGAR"
BA00072,"AMBIKA NAGAR"
AGR0011,"AMC (SADAR)"
AGR0101,"AMC A"
AGR0201,"AMC B"
AGR0301,"AMC C"
AGR0401,"AMC D"
AGR0501,"AMC DUKLI SIDE"
AGR0601,"AMC E"
AGR0001,"AMC-A (WT)"
AGR0002,"AMC-B (WT)"
AGR0010,"AMC-C (WT)"
AGR0003,"AMC-D AGARTALA"
KA02590,"AMDABAD"
KAT0010,"AMDABAD"
BIR0019,"AMDAHARA"
KO00598,"AMDANGA"
KR00703,"AMDOBE"
BI00081,"AMDOLA"
DUM0046,"AMETHI"
KA00311,"AMGACHIA"
BIR0033,"AMGORI"
OTH0185,"AMGURI"
LBO0101,"AMGURI"
LOWO0002,"AMGURI"
JAL0017,"AMGURI"
JOR1201,"AMGURI"
SIB0101,"AMGURI"
OTH0491,"AMGURI - SIVASAGAR (JORHAT)"
GHY6701,"AMINGAON"
GUWR0003,"AMINGAON"
OTH0373,"AMINGAON (GUWAHATI RURAL)"
DA01627,"AMINPUR"
KR00704,"AMIYANARAYANPUR"
KRI0012,"AMLAPARA"
JHL0201,"AMLAREM"
OTH0771,"AMLAREM (JAINTIA HILLS)"
WES0001,"AMLASULI"
DA02000,"AMLATOLI"
CH02644,"AMNOUR"
DIB1801,"AMOLAPATTY"
OTH0169,"AMONI"
OTH0629,"AMONI (NAGAON)"
KA02591,"AMOUR"
PUR0029,"AMOUR"
TUR3901,"AMPATI"
TURP0001,"AMPATI"
OTH0222,"AMPATI"
OTH0671,"AMPATI (TURA PLAIN)"
UDI4601,"AMPI NAGAR"
AGR0026,"AMPINAGAR"
OTH0615,"AMPINAGAR (UDAIPUR)"
BUR0154,"AMRA"
SILC0002,"AMRAGHAT"
SIL3301,"AMRAGHAT"
RA00908,"AMRAI"
RA02971,"AMRITNAGAR"
MA01020,"AMRITY"
MA01165,"AMRITY , MALDA"
MA01003,"AMRITY MORE"
KO00399,"AMTA"
SHA0003,"AMTA"
MU01455,"AMTALA"
KO20024,"AMTALA"
DA01382,"AMTALA"
KO10025,"AMTALA"
KA00312,"AMTALA"
DRP0124,"AMTALA"
BU00162,"ANADABAZAAR"
OTH0627,"ANAND TINALI (LAKHIMPUR)"
BUR0089,"ANANDABAZAR"
SHA0004,"ANANDANAGAR"
KO00400,"ANANDANAGAR"
WE00960,"ANANDAPUR"
DA02044,"ANANDPUR"
PUR0049,"ANARA"
BA00002,"ANCHURI"
RA00909,"ANDAL"
RA00910,"ANDAL SOUTH BAZAR"
NTNE077,"ANDAMAN AND NICOBAR"
SI02677,"ANDAR"
GA02297,"ANDER"
WA01992,"ANDER"
WA01851,"ANDHANA"
DA02001,"ANDHRATHADHI"
WA01883,"ANDHRWARI"
KO00401,"ANDUL"
KO00402,"ANDUL"
SHA0005,"ANDUL"
SHA0006,"ANDUL"
WA01810,"ANEILA"
SA02822,"ANGAR GHAT"
BIR0044,"ANGARGARIA"
BI00082,"ANGARGORIA"
JAL0006,"ANGRAVASA"
DH03215,"ANGWALI"
SILK0002,"ANIPUR"
SIL1101,"ANIPUR"
WA01811,"ANSARNAGAR"
WES0040,"ANTRI"
TUR3501,"ANUGURI"
TURH0001,"ANUGURI"
OTH0347,"AP - BANDERDEWA"
OTH0348,"AP - BHALUPONG"
OTH0352,"AP - LIKABALI"
OTH0345,"AP - TINSUKIA"
AALO,"AP- LEKHABALI"
MA01052,"ARA PUR1"
MA01004,"ARABINDO PARK"
MA01096,"ARAIDANGA"
TURH0002,"ARAIMAIL"
TUR2001,"ARAIMAIL"
BUR0005,"ARAMBAG"
BU00163,"ARAMBAGH"
KR00705,"ARANGHATA"
MA01019,"ARAPUR"
KIS0008,"ARARIA"
NTBH002,"ARARIA"
ARA0003,"ARARIA"
OTH0734,"ARARIA (KISHANGANJ)"
DA02002,"ARARIYA"
MAL016,"ARBAR"
DA02124,"ARER"
EA00243,"ARGOAL"
RA02871,"ARGORA"
KO00403,"ARGORI"
SHA0007,"ARGORI"
KO00489,"ARIADAHA"
KO10041,"ARIDAHA"
MA01163,"ARJUN PUR"
PUR0031,"ARJUNJORA"
MU01393,"ARJUNPUR"
KO10057,"ARJUNPUR"
OTH0626,"ARKATIPUR (SILCHAR - CACHAR)"
MA01061,"AROBINDA PARK"
OTH0729,"ARUNACHAL (SILCHAR - CACHAR)"
DUM0005,"ARWAL"
GA02414,"ARWAL"
GA02298,"ARWALMORE"
DE03047,"ASANMANI"
KR00706,"ASANNAGAR"
RA00911,"ASANSOL"
RA00912,"ASANSOL TOWN-1"
RA00913,"ASANSOL TOWN-2"
MA01005,"ASAPUR"
